chemID	l_mean	m_mean	h_mean	monotonic_status
LPE[FA20:1]	0.03051842105263158	0.02797317073170732	0.03610909090909091	stable
HCER[FA18:0]	0.07226315789473685	0.06616341463414634	0.06699090909090909	stable
PC[FA14:0]	16.364351315789474	17.491536585365854	18.075854545454547	stable
SM[FA22:1]	33.75482763157895	33.474978048780486	34.12908181818182	stable
TAG[FA16:1]	137.60674736842105	155.1748512195122	132.96795454545455	stable
TAG[FA18:1]	1117.5947934210526	1123.0553146341463	1012.1793636363636	stable
DAG[FA14:0]	1.2865697368421052	1.4460658536585367	1.4253454545454545	stable
PC[FA20:2]	8.491719736842105	8.684641463414634	8.4063	stable
LPC[FA20:1]	0.31760657894736843	0.26890975609756096	0.3215090909090909	stable
CE[FA24:1]	0.4590276315789474	0.47387560975609755	0.4369636363636364	stable
CE[FA24:0]	0.2610657894736842	0.24533658536585365	0.2403909090909091	stable
LCER[FA18:0]	0.13698157894736843	0.12964878048780487	0.14536363636363636	stable
CE[FA18:3]	46.55703947368421	47.70170243902439	51.15653636363636	stable
LCER[FA22:1]	0.06639078947368421	0.06398780487804878	0.07537272727272727	stable
TAG[FA14:0]	83.15463157894737	91.47437073170732	88.90607272727273	stable
PE[FA18:2]	22.98603947368421	22.534863414634145	22.532327272727272	stable
LPC[FA16:0]	73.8728355263158	67.62913170731707	68.6465909090909	stable
LPC[FA17:0]	0.6890381578947369	0.6241268292682927	0.6353636363636364	stable
SM[FA24:0]	27.500913157894736	26.81960731707317	29.7985	stable
TAG[FA20:4]	55.075159210526316	64.1740731707317	53.77306363636364	stable
DAG[FA20:3]	0.49307763157894735	0.5730926829268292	0.48807272727272727	stable
LPC[FA22:6]	0.37029934210526316	0.31182073170731706	0.31284545454545454	stable
MAG[FA15:0]	0.13016447368421052	0.13220975609756097	0.1482181818181818	stable
CER[FA18:0]	0.10986315789473684	0.11512682926829268	0.10590909090909091	stable
LCER[FA18:1]	0.2624486842105263	0.2529170731707317	0.2745818181818182	stable
PI[FA18:1]	7.700565789473684	7.613212195121951	9.779427272727272	stable
FFA[FA24:0]	3.378626315789474	3.563839024390244	3.487690909090909	stable
SM[FA14:0]	17.98249342105263	17.18029024390244	18.846881818181817	stable
CE[FA18:2]	1353.8398184210525	1323.6068	1302.464609090909	stable
FFA[FA20:5]	8.726928947368421	8.733114634146341	8.4483	stable
LPE[FA20:4]	0.39896973684210524	0.40686585365853656	0.3825	stable
CE[FA17:0]	6.792986842105263	6.7119682926829265	7.1527	stable
CE[FA18:4]	0.9613842105263158	0.9472487804878049	1.1607818181818181	stable
HCER[FA24:0]	0.7423723684210526	0.6750024390243903	0.7888545454545455	stable
PC[FA22:5]	27.645969736842105	27.96040243902439	26.58010909090909	stable
CER[FA22:1]	0.04624473684210526	0.04680243902439024	0.05039090909090909	stable
PC[FA20:4]	349.9615552631579	366.53521219512197	313.4343272727273	stable
HCER[FA22:1]	0.0538	0.05301951219512195	0.05149090909090909	stable
CER[FA20:0]	0.10602368421052631	0.10469756097560975	0.10955454545454546	stable
TAG[FA17:0]	15.146882894736843	16.33770487804878	16.431454545454546	stable
Total[FA20:5]	83.03989736842105	68.08797317073171	82.46070909090909	stable
FFA[FA22:1]	12.016284210526315	12.881243902439024	11.841436363636364	stable
MAG[FA18:2]	0.11020921052631578	0.10258048780487805	0.09998181818181819	stable
HCER[FA22:0]	0.5393407894736842	0.4919512195121951	0.5507181818181818	stable
MAG[FA18:1]	0.17226447368421052	0.15794634146341463	0.1433090909090909	stable
MAG[FA18:3]	0.09246184210526316	0.09263170731707317	0.09760909090909091	stable
TAG[FA20:1]	9.557188157894737	9.607760975609756	8.540027272727272	stable
FFA[FA20:0]	11.584273684210526	11.675292682926829	10.914654545454546	stable
SM[FA18:0]	31.565092105263158	31.957851219512197	29.22689090909091	stable
TAG[FA22:6]	26.525228947368422	19.228451219512195	25.146027272727274	dynamic
Total[FA24:0]	34.14711447368421	33.43218292682927	36.875927272727274	stable
FFA[FA18:1]	120.8437	132.44999024390245	105.671	stable
CE[FA14:1]	1.036278947368421	1.054790243902439	1.4608363636363637	dynamic
DCER[FA22:0]	0.15294078947368422	0.15245365853658538	0.18006363636363637	stable
TAG[FA20:5]	12.424015789473684	9.281587804878049	11.369418181818181	dynamic
LCER[FA16:0]	3.443569736842105	3.3104341463414633	3.9108363636363634	stable
PE[FA20:4]	69.5987	68.07287317073171	66.05531818181818	stable
Total[FA12:0]	37.54686842105263	31.308924390243902	30.995045454545455	stable
FFA[FA20:4]	5.305488157894737	5.614453658536585	4.903745454545454	stable
LPC[FA20:4]	2.4982394736842104	2.4000195121951218	2.0990727272727274	stable
CE[FA15:0]	6.475643421052632	6.290229268292683	6.955418181818182	stable
FFA[FA20:3]	2.186578947368421	2.3182463414634147	2.0758272727272726	stable
LCER[FA24:0]	0.18810394736842107	0.15658536585365854	0.23121818181818182	dynamic
LPC[FA18:0]	26.746961842105264	24.78778292682927	26.3925	stable
PC[FA20:5]	28.607311842105265	23.922839024390246	28.782954545454544	stable
Total[FA16:0]	3184.5334210526316	3249.388146341463	3125.9505454545456	stable
CE[FA14:0]	22.454361842105264	21.95981951219512	27.554972727272727	stable
SM[FA20:0]	45.041228947368424	43.29188780487805	41.40196363636364	stable
DAG[FA20:2]	0.22473157894736842	0.24273170731707316	0.2144	stable
FFA[FA24:1]	6.110552631578948	6.399553658536585	6.2755636363636365	stable
DAG[FA22:5]	0.3155921052631579	0.31491463414634147	0.25943636363636363	stable
