	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
TAG54:1FA16:0	0.9173	2.567	0.8751	0.6933	0.3298	0.5319	0.258	0.2449	0.5071	0.9198	0.2887	0.2653	0.3978	0.2657	1.4295	0.8756	0.6578	0.7729	1.3616	0.458	0.3548	1.0442	1.4624	0.9546	0.4617	0.6739	0.8292	0.7705	3.2916	0.7599	0.7796	0.8626	0.4901	1.4077	2.0969	0.2453	0.2957	0.3485	0.3225	0.35600000000000004	2.4987	1.0439	0.4907	0.2652	0.6344	0.534	0.7088	0.3809	0.2252	0.3699	0.519	0.4981	0.1919	1.7547	0.8289	1.8973	1.2929	0.417	0.7072
TAG49:2FA17:0	0.3287	0.9932	0.197	0.2376	0.225	0.1887	0.0876	0.0395	0.1545	0.2293	0.0888	0.0757	0.138	0.0675	0.2308	0.1059	0.2034	0.2341	0.5841	0.0443	0.1019	0.4206	0.2433	0.7294	0.1978	0.2172	0.3381	0.3456	0.6216	0.2313	0.2489	0.6215	0.3568	0.7071	0.0668	0.113	0.1527	0.0802	0.1143	0.0581	1.0435	0.5425	0.0852	0.0372	0.2675	0.1355	0.1599	0.0998	0.1302	0.153	0.1811	0.1326	0.0523	0.7144	0.3403	0.6887	0.4995	0.091	0.0983
TAG54:8FA18:3	1.087	1.2427	2.3026	2.6073	0.7934	0.5622	0.3982	1.1576	0.6289	0.1995	0.4784	0.5338	0.8661	1.0906	0.7502	1.1022	0.242	0.254	0.7599	0.096	0.3806	2.516	1.6415	0.8695	1.0855	0.4879	0.6352	0.4607	0.5674	0.2053	0.3011	0.378	0.4222	2.4008	0.6449	0.5919	0.6234	0.235	0.2292	0.3428	2.0358	0.6055	0.0767	0.2034	0.3884	0.3457	0.3994	0.5957	0.7768	0.5185	0.4509	2.0345	1.4534	0.888	0.8034	1.5685	0.2562	0.0907	0.2833
DAG(16:1/18:0)	0.1986	0.2882	0.117	0.1379	0.2333	0.2149	0.1642	0.1255	0.1944	0.1632	0.1529	0.1157	0.1648	0.1405	0.2675	0.1795	0.2152	0.1475	0.1688	0.1287	0.1527	0.1726	0.1399	0.2922	0.1672	0.304	0.2449	0.2728	0.3095	0.1975	0.2021	0.2249	0.1619	0.1969	0.138	0.1756	0.1436	0.1374	0.1286	0.1884	0.2418	0.34	0.1274	0.0952	0.1337	0.1584	0.181	0.1485	0.1358	0.2046	0.1955	0.1401	0.1112	0.3031	0.1928	0.3946	0.2749	0.1393	0.1962
PC(16:0/18:0)	10.1929	14.6388	8.8518	16.878	18.7391	14.5597	13.5233	8.9321	10.9939	14.8756	8.1347	8.7649	10.5796	12.4991	15.35	13.8193	13.5946	15.1717	12.3526	18.1374	15.5454	15.1169	14.6304	15.042	15.9206	13.3086	21.6357	15.0134	14.1552	13.8747	14.9936	15.8611	13.9975	12.7814	10.0566	14.3655	12.2719	14.4655	14.1244	16.0717	17.9553	16.6698	14.2106	10.5201	11.699000000000002	11.720999999999998	10.4233	9.824	10.1072	13.3709	14.4846	14.9013	13.8694	14.7246	12.194	16.1145	16.2952	13.0877	10.8343
TAG54:5FA18:3	9.878	18.6384	19.0796	17.8213	9.2994	5.966	4.8837	8.7351	9.9884	6.1058	6.5447	8.4208	11.0626	10.1755	21.0137	23.2523	5.4851	4.3505	15.0831	3.7656	7.5302	18.9969	13.4404	9.9374	15.6072	7.6396	16.5131	7.1733	17.9559	6.7745	7.2153	5.5117	4.1109	16.189	18.804	4.6494	5.2444	2.0876	2.0685	4.0099	20.2904	14.2696	2.4109	3.9103	6.9825	6.8199	8.2617	6.7416	5.497000000000001	7.7364	6.9289999999999985	9.5679	6.2652	13.4031	9.6075	14.1237	4.1368	1.9085	7.6979
LPE(20:3)	0.1092	0.2094	0.0955	0.2539	0.2626	0.1115	0.0929	0.0427	0.0796	0.155	0.1084	0.1119	0.1486	0.1441	0.1403	0.1057	0.1943	0.115	0.1493	0.2904	0.1441	0.2022	0.2129	0.2012	0.2174	0.1077	0.1657	0.1812	0.2603	0.1643	0.1543	0.1507	0.1208	0.0567	0.0348	0.2258	0.2322	0.0957	0.0802	0.2198	0.3087	0.2866	0.0762	0.1153	0.0981	0.1194	0.1409	0.1098	0.0883	0.1304	0.115	0.182	0.2072	0.226	0.1164	0.2368	0.2618	0.1132	0.1563
TAG55:1FA18:1	0.9424	1.2551	2.9829	0.3488	0.2703	0.8029	0.67	0.4493	0.5809	0.2315	0.21600000000000005	0.3445	0.4699	0.7156	1.1499	1.6365	0.3779	0.3155	1.286	0.1259	0.1341	0.6265	0.5758	0.2381	0.2969	0.63	0.4988	0.3719	2.6013	0.3803	0.4394	0.3851	0.2708	2.0727	2.3877	0.2605	0.279	0.4315	0.3764	0.2925	1.5625	0.6711	0.298	0.3246	0.8196	0.44	0.609	0.5868	0.4637	0.2627	0.3308	0.4037	0.3132	0.7527	1.4257	3.0051	0.4656	0.3207	0.2833
TAG55:2FA18:2	0.7351	0.8448	2.9317	0.4425	0.2547	0.5692	0.6148	0.4606	0.398	0.1403	0.2045	0.24	0.4016	0.8802	0.5871	1.047	0.2091	0.1957	0.7395	0.0992	0.1264	0.5472	0.4733	0.2574	0.275	0.4474	0.3714	0.3083	0.8955	0.1721	0.238	0.2959	0.2526	1.6227	1.2162	0.2815	0.2578	0.318	0.2957	0.2177	1.2971	0.3893	0.1983	0.3055	0.5118	0.3029	0.3639	0.4781	0.5513	0.2302	0.2433	0.4017	0.426	0.6576	1.0883	2.7999	0.2735	0.1897	0.1771
PC(18:0/20:4)	82.8785	114.5172	85.2372	59.4595	67.263	52.5543	88.8271	44.3985	68.3217	54.1862	71.6917	54.0378	95.2635	130.6789	178.2041	158.5691	159.1741	121.3412	71.2959	55.5672	58.9421	103.2904	85.8891	51.7646	59.8329	109.9735	97.8355	62.0496	73.1473	133.0725	155.5427	121.3975	119.1062	54.2985	48.5779	42.8662	48.9906	99.8412	83.4321	101.9491	90.883	122.8128	107.6694	80.3773	156.5944	83.6965	89.5978	84.0269	85.6413	91.4948	90.1405	86.6427	86.4144	108.9751	106.8343	85.4333	69.3428	86.9078	67.1161
TAG54:5FA20:3	3.6363	7.1253	4.6017	2.8913	3.0482	1.8589	2.1381	1.0461	2.2498	2.1155	2.1176	1.3869999999999998	3.5849	3.5136	5.7621	3.2792	2.2859	2.3365	3.4461	1.0232	1.8686	4.1177	4.1622	3.9522	4.5309	4.1154	5.1011	4.1441	8.1826	4.2071	4.317	2.8407	1.9598	1.4671	0.9442	1.6179	2.1178	0.8583	0.9442	1.7729	6.8751	7.4825	1.2771	1.2253	3.6192	3.6623	3.7083	2.3151	2.3604	3.3442	3.7286	1.7575	1.524	5.9628	4.8932	4.9613	3.2502	1.4994	1.9708
TAG56:3FA20:1	1.4054	2.6974	1.9847	1.089	0.7888	0.6881	0.4547	0.8439	0.9042	1.4074	0.8088	0.8786	1.1131	0.9386	3.8019	2.7105	1.265	0.7486	2.7195	1.6437	0.9573	1.6131	1.0962	0.9967	1.8494	0.727	1.8207	0.8783	3.1551	1.0563	0.9957	0.7655	0.4674	1.8945	7.235	0.3173	0.4162	0.251	0.2307	0.5816	1.8048	2.028	0.4788	0.6633	1.1216	1.0741	1.3631	0.7999	0.4202	0.6706	0.6585	0.752	0.3797	1.6094	1.2264	1.4908	0.8126	0.5187	1.4483
