	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
dummyID	0.0	1.0	1.0	2.0	2.0	4.0	4.0	6.0	6.0	7.0	8.0	8.0	9.0	9.0	11.0	11.0	14.0	14.0	15.0	16.0	16.0	17.0	17.0	18.0	18.0	20.0	21.0	26.0	26.0	27.0	27.0	30.0	30.0	32.0	32.0	34.0	34.0	35.0	35.0	36.0	38.0	40.0	41.0	41.0	42.0	49.0	49.0	51.0	51.0	52.0	52.0	56.0	56.0	58.0	61.0	61.0	62.0	62.0	63.0
sex	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
age	75.0	70.0	71.0	69.0	69.0	64.0	64.0	78.0	79.0	62.0	67.0	68.0	64.0	65.0	66.0	67.0	73.0	74.0	64.0	67.0	69.0	39.0	39.0	76.0	77.0	68.0	67.0	71.0	72.0	62.0	63.0	70.0	70.0	67.0	68.0	40.0	40.0	61.0	62.0	65.0	75.0	68.0	64.0	65.0	67.0	80.0	81.0	61.0	61.0	61.0	62.0	42.0	43.0	62.0	59.0	60.0	62.0	62.0	52.0
DAS28	1.63195	2.58632	1.49195	1.78595	2.03795	1.70967	2.23112	2.07995	1.60395	2.3646	2.03498	2.02237	1.61795	1.57595	1.56195	1.47795	1.98407	2.34396	2.48581	1.51995	1.50595	1.56195	2.31795	2.51825	2.44603	2.30538	2.17795	1.77195	2.06595	2.04747	2.24335	1.44995	1.47795	2.3806	1.60057	1.84195	1.81395	1.56195	1.63195	2.35995	1.57595	1.44995	1.71595	1.58995	1.89795	2.33385	1.56195	1.47795	1.77195	1.95338	2.0925	1.5010700000000001	1.2070299999999998	2.12837	2.58067	1.56195	1.67395	2.4544799999999998	2.1291
TAG52:0FA20:0	0.4495	1.3142	0.3805	0.2628	0.1962	0.3111	0.1687	0.117	0.2609	0.4093	0.1641	0.0951	0.1815	0.1177	0.4665	0.3073	0.3051	0.3741	0.5046	0.1142	0.1532	0.6726	0.8796	0.5644	0.2009	0.3272	0.285	0.6709999999999999	1.499	0.3021	0.2834	0.4948	0.254	0.6604	0.3413	0.1419	0.1545	0.1974	0.2002	0.1608	1.6039	0.3687	0.2701	0.1241	0.3016	0.1957	0.355	0.2676	0.1679	0.1687	0.1838	0.1743	0.0751	0.9679	0.4609	1.111	0.7247	0.192	0.3218
TAG58:6FA22:5	0.2463	0.7673	1.1297	0.1215	0.145	0.2089	0.2852	0.1532	0.2946	0.171	0.16899999999999998	0.2109	0.2372	0.3169	0.7296	0.7975	0.297	0.2248	0.8122	0.0787	0.0942	0.4541	0.3125	0.1896	0.2124	0.35	0.4415	0.2534	0.5479	0.3304	0.3389	0.234	0.1641	0.7334	0.6619	0.0668	0.083	0.1533	0.1944	0.1368	0.5218	0.5920000000000001	0.332	0.1592	0.465	0.3747	0.3601	0.2921	0.1887	0.2386	0.2444	0.2217	0.1549	1.1435	0.6439	0.341	0.2486	0.2112	0.2224
TAG50:1FA20:1	0.1929	0.5878	0.116	0.1896	0.1622	0.1273	0.0532	0.0308	0.1275	0.2089	0.0661	0.0369	0.0798	0.0431	0.2232	0.0689	0.1064	0.1489	0.5322	0.0323	0.0885	0.314	0.2258	0.5012	0.1448	0.1037	0.1696	0.3532	0.8512	0.1725	0.1329	0.3512	0.1851	0.4484	0.1168	0.0541	0.0631	0.0552	0.0487	0.0445	0.5189	0.3211	0.0486	0.02	0.1845	0.0853	0.1222	0.0758	0.0611	0.0905	0.1259	0.0726	0.0219	0.4177	0.1961	0.3987	0.4456	0.0722	0.0944
TAG54:6FA20:3	0.6365	1.2183	1.0519	0.6556	0.6587	0.339	0.4435	0.2118	0.393	0.3141	0.4064	0.2844	0.7259	0.7957	0.9133	0.6768	0.434	0.3833	0.5515	0.2205	0.401	0.7232	0.5709	0.6442	0.9787	0.7485	0.8842	0.7032	1.1183	0.6483	0.7526	0.5173	0.4093	0.2958	0.1573	0.329	0.3884	0.1579	0.2076	0.4041	1.3268	1.4258	0.1965	0.2411	0.7023	0.5745	0.6388	0.4556	0.5026	0.5868	0.6252	0.4047	0.324	1.0015	0.8104	0.8673	0.5123	0.2602	0.3462
CE(24:0)	0.1647	0.2835	0.1993	0.13699999999999998	0.2676	0.2423	0.3813	0.2146	0.287	0.2232	0.1872	0.2229	0.1685	0.2061	0.6337	0.4717	0.2242	0.209	0.2939	0.1347	0.1941	0.2676	0.2815	0.2394	0.23	0.3303	0.2442	0.2151	0.266	0.2496	0.3682	0.2999	0.3478	0.2746	0.2988	0.2399	0.1821	0.4281	0.3453	0.1946	0.2791	0.2137	0.4014	0.2959	0.2564	0.1666	0.1568	0.194	0.2255	0.2272	0.2872	0.2414	0.1624	0.2282	0.2567	0.2573	0.2427	0.2622	0.2477
LCER(22:0)	0.1232	0.2925	0.1605	0.1735	0.2177	0.2703	0.3476	0.1248	0.1498	0.2631	0.1138	0.0915	0.1824	0.1937	0.2446	0.2104	0.2529	0.4631	0.1296	0.3135	0.2716	0.2015	0.3247	0.2092	0.2298	0.2146	0.2446	0.2352	0.2646	0.16699999999999998	0.1608	0.3314	0.3704	0.2067	0.2085	0.2274	0.2222	0.2941	0.3091	0.2874	0.2255	0.1744	0.3138	0.4362	0.2166	0.1927	0.1475	0.2343	0.2101	0.2271	0.2514	0.2497	0.2597	0.218	0.1879	0.2081	0.2614	0.308	0.3166
TAG48:4FA16:1	0.4195	0.7939	0.3518	0.4795	0.7076	0.2431	0.1316	0.0455	0.1738	0.2582	0.1867	0.1126	0.3338	0.1727	0.3648	0.1714	0.2098	0.2127	0.4895	0.1097	0.3232	0.5587	0.2598	0.9444	0.4436	0.42	0.5825	0.6977	0.8478	0.3343	0.2868	0.4913	0.3845	0.4627	0.0863	0.1774	0.2611	0.0888	0.098	0.1406	1.4651	0.8170000000000001	0.0823	0.0526	0.2685	0.1448	0.184	0.1355	0.142	0.1993	0.2185	0.108	0.0595	0.8965	0.4268	0.5537	0.5953	0.0738	0.1424
TAG51:4FA16:0	1.2238	1.6484	1.3313	1.2928	1.2679	1.1272	1.17	1.0743	1.1294	1.1197	1.1408	1.0347	1.2289	1.1723	1.2449	1.1852	1.0726	1.1574	1.267	1.0249	1.0693	1.3264	1.4136	1.4569	1.2606	1.2339	1.2258	1.2908	1.5161	1.1676	1.1206	1.1865	1.1524	1.3468	1.0699	1.2393	1.2993	1.0736	1.1773	1.1104	1.8673	1.3459	1.0556	1.0683	1.1725	1.1375	1.1718	1.175	1.1236	1.1425	1.2177	1.1351	1.0483	1.6411	1.3868	1.6967	1.2197	1.087	1.0157
PC(16:0/18:1)	146.6208	200.8526	144.0327	170.1177	189.828	185.0865	182.8949	101.672	151.8392	229.4359	143.0448	150.8439	159.9323	175.38	284.885	218.3493	203.7377	187.8296	195.0082	253.7292	227.879	219.477	225.6127	258.4024	253.7528	263.4382	288.5664	174.1645	211.3561	258.6424	269.6397	263.1155	240.772	178.0974	137.4998	156.9535	168.68900000000005	239.5074	189.0812	281.6224	261.2047	253.7984	228.9953	165.8146	154.6999	167.2344	176.7831	112.3779	85.2577	165.0469	178.4555	219.7287	166.4609	206.2359	210.06	288.3763	329.4413	236.2927	153.1866
TAG50:3FA14:1	1.0361	3.1496	0.9833	0.9122	1.1012	0.6069	0.4487	0.275	0.5669	0.9918	0.5573	0.5247	0.7628	0.5416	1.7567	1.09	1.2683	0.8647	2.1329	0.7331	0.9124	1.1651	0.8855	1.7965	1.1638	0.757	1.8768	1.018	2.1879	1.192	0.9721	1.2785	0.8319	1.5836	0.7308	0.3907	0.5698	0.2332	0.2683	0.4521	2.6003	2.3686	0.3308	0.339	0.8551	0.6087	1.0103	0.521	0.3949	0.6007	0.6003	0.4895	0.1856	1.9643	1.0803	0.8013	1.2654	0.3224	0.7095
CE(17:0)	3.3255	9.2897	5.8147	4.629	5.4805	5.1134	5.6939	4.9592	6.9349	6.9077	4.4921	5.4436	5.7578	4.5782	5.9856	6.57	7.1527	7.0494	6.7332	3.8015	4.7219	7.8879	7.659	8.6654	7.9564	9.1053	10.0201	5.1873	4.9815	7.9253	9.6134	10.0835	9.1891	9.4687	6.0724	5.3002	6.8346	9.9827	8.9621	3.9671	11.5767	7.1275	18.9827	7.5263	9.9098	5.294	5.3961	4.7787	4.8496	5.829	6.7115	5.5791	5.329	6.4976	5.9676	6.3404	11.3866	8.8025	7.146
TAG56:6FA22:6	1.1713	1.0396	3.2057	0.2928	0.32299999999999995	0.7987	0.7123	0.4195	1.0443	0.2495	0.2387	0.5645	0.3119	0.34	2.0327	2.4455	0.2037	0.2429	3.0665	0.0574	0.0992	0.8478	0.7437	0.2884	0.2285	1.1635	0.7684	0.7887	1.324	0.6284	0.5794	0.3322	0.3379	2.3118	1.952	0.0848	0.0818	0.5459	0.6179	0.1336	1.5512	0.9449	0.4875	0.1801	0.6337	0.4629	0.4333	0.6479	0.4142	0.3461	0.4986	0.1382	0.1419	1.0474	2.8061	2.5918	0.8266	0.4942	0.2331
PC(18:1/16:1)	3.9734	6.4867	5.0173	7.9104	9.9916	6.3092	6.5383	3.2452	4.649	7.267	5.7881	5.6847	7.2761	6.3552	11.1306	7.3146	9.5458	4.6487	6.5381	14.1446	12.3424	7.2185	5.9270000000000005	9.8988	12.6279	10.9185	14.4011	7.4914	7.4222	8.9168	9.3572	9.7597	9.2908	5.0891	3.3283	5.073	6.3232	7.8928	6.3514	12.3857	12.1517	11.0496	6.2639999999999985	6.3751	6.6701	5.2708	6.7091	4.1799	3.3310000000000004	5.992000000000001	6.3384	7.7789	6.5070000000000014	6.7429999999999986	7.6479	5.5097	8.5898	5.8517	5.9758
TAG53:3FA16:0	1.0216	2.2437	0.8338	0.9136	0.5564	0.5158	0.3878	0.2849	0.696	0.6958	0.5066	0.2857	0.8693	0.4428	1.1526	0.8059	0.5185	0.5831	1.3429	0.2381	0.4302	1.2827	2.026	1.2045	0.9207	0.6832	1.2657	0.957	2.4087	0.7165	0.8506	1.0571	0.6577	1.5051	0.9336	0.4117	0.4914	0.2217	0.2501	0.2831	1.8862	1.1843	0.4198	0.2856	1.0963	0.6792	0.8177	0.5066	0.3119	0.6174	0.6762	0.5942	0.2733	2.7486	1.2165	2.9624	0.9877	0.3148	0.4532
TAG54:4FA20:4	2.6833	3.8768	3.0872	0.727	0.7571	1.304	0.8352	0.4833	1.2392	1.1277	0.7456	0.4797	1.3468	1.2487	3.3807	1.7272	1.4016	1.443	1.7938	0.2401	0.4859	2.1407	2.454	1.6163	1.024	2.0238	1.9888	2.3205	4.1895	1.9391	2.2209	1.5208	1.1999	1.7246	1.1434	0.5375	0.7788	0.9931	1.0255	0.9424	4.7867	3.249	1.31	0.5311	2.189	1.8179	1.7913	1.2177	0.7451	1.1934	1.4032	0.7125	0.4979	4.2483	2.6393	4.8369	2.1433	1.1158	1.1623
DAG(14:0/20:4)	0.0485	0.1131	0.0244	0.0201	0.0166	0.0242	0.0177	0.0151	0.0187	0.0166	0.0093	0.0096	0.018000000000000002	0.0186	0.00465	0.00465	0.034	0.0247	0.0465	0.00465	0.00465	0.0483	0.0319	0.0447	0.0149	0.0358	0.0229	0.07400000000000001	0.0969	0.0273	0.0241	0.0361	0.0596	0.00465	0.00465	0.0097	0.0209	0.0232	0.0233	0.0134	0.1438	0.0346	0.0157	0.0106	0.0511	0.0149	0.0307	0.0199	0.017	0.00465	0.00465	0.00465	0.00465	0.0452	0.0552	0.1157	0.0648	0.0197	0.00465
CE(18:2)	867.3445	1744.53	979.9751	1580.875	1538.082	1379.616	1717.98	1065.562	1354.546	1422.517	986.5347	987.4986	1176.879	1265.99	1610.716	1555.507	1198.702	1313.8429999999996	1362.993	1140.505	1661.112	1566.474	1542.221	1630.3470000000002	1566.967	1549.516	2020.036	1170.573	1261.112	1349.352	1760.671	1698.703	1533.356	1553.546	1397.152	1249.776	1262.816	1674.0870000000002	1531.96	1019.869	1767.261	1197.737	1788.186	1303.38	1365.869	1049.748	922.2839	905.6632	1156.087	1528.085	1656.884	1390.27	1267.018	1580.531	1206.357	1344.747	1533.0279999999998	1225.637	1289.141
DAG(14:1/18:1)	0.1469	0.208	0.1232	0.0921	0.1616	0.122	0.13699999999999998	0.0827	0.1609	0.1343	0.1506	0.1505	0.1438	0.1099	0.2308	0.1039	0.1281	0.1221	0.1739	0.1267	0.1269	0.1515	0.1334	0.3231	0.1499	0.1402	0.1734	0.2209	0.2814	0.1554	0.1243	0.1504	0.1388	0.1833	0.1055	0.0797	0.0941	0.1186	0.0926	0.1681	0.3961	0.2158	0.1062	0.0718	0.1383	0.112	0.1223	0.1303	0.1006	0.1364	0.1146	0.0843	0.0984	0.1798	0.132	0.1826	0.2776	0.1498	0.0991
DCER(20:0)	0.0359	0.0755	0.0517	0.0699	0.0418	0.0698	0.0635	0.0447	0.0553	0.0599	0.0413	0.0479	0.0426	0.0504	0.0629	0.0516	0.0676	0.0898	0.0469	0.0607	0.0383	0.0465	0.0539	0.0744	0.0653	0.0723	0.0723	0.06	0.0875	0.0585	0.062	0.059	0.0711	0.0529	0.0502	0.0407	0.061	0.0486	0.0586	0.0587	0.0659	0.0772	0.0468	0.0602	0.0713	0.0518	0.0648	0.0511	0.0502	0.0681	0.0714	0.0411	0.0589	0.0848	0.0705	0.0712	0.0654	0.0589	0.0727
LCER(20:1)	0.0265	0.0388	0.0232	0.0344	0.0291	0.0311	0.0404	0.0246	0.0272	0.0518	0.0286	0.0211	0.0349	0.0387	0.045	0.0355	0.0392	0.0397	0.0363	0.0441	0.0322	0.0357	0.0482	0.0548	0.0519	0.0291	0.0356	0.0418	0.0558	0.0292	0.0277	0.0502	0.0513	0.0427	0.0333	0.0264	0.0231	0.0453	0.0446	0.0444	0.057	0.0343	0.0412	0.043	0.0473	0.0314	0.0226	0.028	0.0285	0.0211	0.0354	0.0322	0.0279	0.0419	0.0346	0.0405	0.0418	0.035	0.0402
TAG54:3FA16:0	3.5027	8.5905	4.5822	3.5652	3.4331	1.9821	2.3504	1.3692	3.0482	4.6783	2.7248	1.9743	3.7629	3.0943	8.0708	5.3723	2.3584	2.7265	8.0458	1.6082	3.1871	4.2173	4.7019	6.145	6.8597	4.2558	7.1867	4.7599	10.3554	4.3007	4.6277	3.6010000000000004	2.0759	3.9285	3.0788	1.3612	1.5435	0.7929	0.9666	1.5028	6.0772	7.8871	1.6446	1.1798	3.4825	4.4415	4.2088	2.1643	1.5058	4.0426	4.4484	1.6816	1.0594	6.5002	5.2726	5.4758	4.9068	1.7973	2.9576
TAG48:3FA14:0	2.9589	5.9029	2.2425	4.2687	4.6091	1.7752	0.8715	0.3134	1.5545	1.9877	1.247	0.6999	2.1019	1.0549	2.9061	1.4282	1.3603	1.6001	4.3364	0.6788	1.8603	4.7948	2.6742	7.9308	3.1842	2.7031	4.5062	5.5351	9.2463	2.0932	1.9342	3.7597	3.0526	4.8701	0.7340000000000001	1.0367	1.4932	0.5786	0.5686	0.7939	8.1656	5.4119	0.6108	0.2832	2.0625	1.0915	1.4404	0.9086	0.7854	1.7735	1.7864	0.9952	0.3481	7.5973	3.1088	4.9598	3.7044	0.5498	1.0564
TAG56:1FA18:1	0.6813	0.8197	0.4307	0.4799	0.1237	0.2365	0.1165	0.1551	0.2406	0.3131	0.0855	0.1189	0.1154	0.1476	1.0244	0.596	0.2866	0.4198	0.7119	0.6245	0.1137	0.5607	0.6043	0.1847	0.1271	0.1754	0.2517	0.2615	2.0816	0.2551	0.2039	0.2652	0.1319	0.5195	2.6143	0.1144	0.1397	0.1434	0.1127	0.1292	1.0139	0.3204	0.1715	0.14	0.343	0.2179	0.3037	0.1811	0.1167	0.0921	0.129	0.2857	0.1096	0.5857	0.3463	0.8363	0.3018	0.1056	0.2651
TAG58:9FA18:1	0.6391	0.7182	2.536	0.2489	0.2282	0.4785	0.6579	0.7112	0.6773	0.1893	0.2203	0.5135	0.3116	0.5656	0.9236	1.5299	0.2779	0.2606	1.8135	0.135	0.1019	0.555	0.4333	0.1726	0.2239	0.5018	0.4547	0.3156	1.0974	0.2687	0.2821	0.2431	0.2491	1.5934	2.1946	0.2064	0.183	0.4444	0.4667	0.2196	1.0529	0.4428	0.3544	0.3254	0.5399	0.3953	0.4478	0.6413	0.5925	0.2111	0.2345	0.2807	0.2638	0.6831	1.3174	1.6561	0.3248	0.2909	0.2049
PE(P18:1/22:4)	0.5204	1.2255	0.6794	0.7969	0.6447	0.636	0.731	0.2847	0.2778	0.8196	0.4291	0.44	1.3713	0.9215	0.6943	0.4101	2.5295	2.0033	0.5447	1.5362	1.0102	0.5016	1.281	0.4714	0.6193	0.6196	0.7833	0.6895	0.9527	0.7073	0.8716	1.2622	1.519	0.4047	0.5114	1.0576	1.1302	0.6126	0.6501	1.2254	0.7256	0.6784	1.0686	1.0173	0.8803	0.6969	0.836	0.6992	0.7140000000000001	0.6081	0.8057	1.0333	1.4608	1.3418	0.5403	0.5574	0.5825	0.8688	1.2915
TAG54:4FA16:0	5.1016	11.4611	6.7232	4.6157	4.4899	2.7054	3.0959	1.5288	3.6945	4.848	3.0845	2.2888	4.8916	4.1702	9.6612	5.6458	3.2807	3.3096	7.6089	1.4653	3.2598	5.4882	6.4101	7.8192	7.2841	5.8642	8.639	7.0139	13.429	5.7125	5.9324	4.1282	2.5898	3.6214	2.2986	2.0871	2.5531	1.3999	1.4959	2.0468	9.714	11.2333	2.2255	1.5714	4.9573	5.7982	5.7815	3.055	2.9217	5.3788	6.3293	2.1575	1.5725	9.1008	7.5755	9.2933	6.2642	2.4281	3.2912
PC(18:2/16:1)	5.0275	15.6751	8.4141	18.0464	17.9389	12.8517	15.5057	8.179	8.7465	11.8014	8.5981	8.3113	10.9208	11.5181	10.9363	10.4218	11.4009	9.4798	10.2208	20.1637	19.8232	12.7455	11.0515	20.9901	24.1807	15.8614	18.2292	10.9692	12.816	8.888	10.8296	17.1635	15.1643	7.6554	5.853	9.1683	11.9375	14.2963	11.9394	14.423	18.4131	11.3406	9.6508	14.6682	9.3774	7.6278	8.6904	6.5120000000000005	7.3733	11.0492	9.9943	12.1354	11.9367	13.791	14.4933	9.4034	12.3943	8.6714	8.096
DAG(14:0/18:1)	0.4101	0.946	0.3578	0.2843	0.3642	0.2313	0.1397	0.0857	0.3233	0.3989	0.2556	0.2125	0.2669	0.1843	0.6348	0.3498	0.3582	0.4054	0.861	0.1789	0.2413	0.6149	0.4339	1.1358	0.4171	0.3931	0.5173	0.872	2.0294	0.6685	0.3502	0.4222	0.3464	0.7188	0.2076	0.1148	0.1528	0.1419	0.1493	0.2122	0.9773	0.6759	0.1889	0.1014	0.3728	0.1589	0.2619	0.1945	0.1694	0.2344	0.3146	0.1482	0.0917	0.6492	0.4734	0.7309	0.9118	0.2394	0.2754
TAG46:2FA14:1	0.4485	1.4401	0.1616	0.2884	0.4739	0.3505	0.0828	0.0218	0.1345	0.4677	0.1427	0.0845	0.173	0.0635	0.3984	0.1017	0.3658	0.4058	0.8276	0.0918	0.28800000000000003	0.4496	0.282	1.7715	0.2466	0.5115	0.4648	0.7072	1.1422	0.5145	0.3599	0.9036	0.6133	0.674	0.0494	0.1378	0.2481	0.1302	0.1476	0.1475	2.3152	0.7969	0.08199999999999999	0.0359	0.3079	0.1249	0.26	0.1029	0.1357	0.18600000000000005	0.2324	0.0809	0.0339	1.3105	0.3921	0.9667	1.5325	0.1393	0.1318
TAG52:4FA20:0	0.5821	1.2266	0.7963	0.8342	0.5872	0.2762	0.4215	0.3352	0.5205	0.409	0.3396	0.2478	0.509	0.5782	0.644	0.7785	0.2544	0.3033	0.6138	0.2017	0.3906	1.0418	0.9551	0.6643	0.7916	0.5276	1.0418	0.7262	1.2246	0.3211	0.42	0.4191	0.2771	0.6864	0.5121	0.2956	0.3341	0.1169	0.1115	0.1497	1.0224	0.5997	0.2805	0.1869	0.4211	0.43	0.4	0.3616	0.3459	0.5581	0.455	0.3593	0.3142	1.2844	0.6735	0.755	0.292	0.1235	0.3245
PC(18:0/18:2)	111.1258	213.2087	116.5708	265.3377	263.8579	196.2595	213.344	120.681	159.6705	213.6156	98.2812	102.3221	129.1885	190.252	196.0773	209.7434	160.90200000000004	203.0455	166.5063	208.6336	247.0938	242.7157	208.6648	305.7574	247.9261	148.7105	266.2338	161.1213	209.4909	156.7912	183.2447	241.1296	204.4777	185.2377	143.9499	166.9525	179.2462	217.5136	174.2207	190.5525	282.1351	197.5474	164.45	205.2858	150.3359	106.9237	99.1536	111.0163	145.1001	188.9644	188.166	201.3286	171.3722	249.9169	170.5296	211.7052	161.9411	115.8603	133.6368
PE(P16:0/22:4)	1.9456	4.3210000000000015	1.8778	3.05	2.9622	1.7144	2.7414	1.0736	0.6406	2.7784	1.4329	1.1977	2.9873	2.9552	1.9662	1.0281	7.3357	8.6314	1.5459	4.8434	2.8374	2.527	3.8877	2.7294	2.91	2.1048	2.1237	1.9245	3.2186	2.9861	2.7064	3.7701	3.9679	1.0345	1.213	2.8936	3.2886	2.0269	1.822	4.4054	2.1236	2.0098	2.8927	2.9397	4.231	2.6154	2.7128	1.7993	2.0757	2.0586	3.0822	3.3242	3.7992	5.7626	1.7982	2.2936	2.3626	2.7498	3.1909
TAG50:4FA16:0	2.1076	2.7158	1.9982	1.5081	1.736	1.3344	0.7683	0.3205	0.7464	1.2454	0.7706	0.5541	1.4117	0.9565	2.1927	1.2641	0.8706	0.9543	1.1352	0.2858	0.9841	2.4278	1.8343	3.429	1.9812	2.1722	2.4055	3.0252	4.3694	1.3577	1.4405	1.325	1.0226	1.5814	0.6172	0.7376	1.0682	0.5283	0.4993	0.8362	5.8523	2.4712	0.4654	0.2204	1.123	0.8275	0.8323	0.7379	0.5112	1.2281	1.2432	0.409	0.3487	3.7663	2.3987	5.5805	2.0939	0.5395	0.6905
DAG(18:1/20:1)	0.0972	0.1696	0.1569	0.0658	0.0563	0.0676	0.0767	0.0723	0.0873	0.0936	0.0951	0.0991	0.1127	0.0586	0.2075	0.1121	0.0876	0.0677	0.2197	0.1102	0.0914	0.1425	0.1168	0.1192	0.1463	0.1048	0.1802	0.131	0.2323	0.134	0.172	0.0981	0.0711	0.1363	0.195	0.038	0.0445	0.0471	0.0526	0.0538	0.1496	0.1771	0.0596	0.0538	0.091	0.1015	0.1079	0.0557	0.0635	0.0907	0.0916	0.0445	0.0397	0.129	0.1176	0.1063	0.1273	0.0597	0.1022
LPC(15:0)	0.1866	0.2019	0.2802	0.2506	0.1822	0.1582	0.1471	0.1958	0.2174	0.185	0.2298	0.1926	0.05045	0.05045	0.2533	0.2061	0.2337	0.1965	0.2775	0.05045	0.05045	0.1741	0.1479	0.2306	0.1913	0.2949	0.2729	0.05045	0.05045	0.2196	0.1996	0.262	0.2887	0.2377	0.165	0.1835	0.1449	0.2319	0.2057	0.1688	0.483	0.27	0.2742	0.2195	0.211	0.1959	0.1558	0.05045	0.05045	0.1688	0.213	0.1927	0.1493	0.2563	0.2207	0.3436	0.2218	0.1983	0.2738
TAG48:3FA18:2	7.4246	12.8652	5.7017	13.8622	11.8022	3.1891	1.5126	0.8246	10.9737	4.1321	2.2728	1.4872	3.2361	1.8951	5.2467	2.6843	2.8528	4.1901	23.0594	1.3871	3.9529	22.4117	5.1837	16.0963	5.9613	3.7848	7.7254	15.0009	42.9361	3.468	3.1026	9.0717	6.5713	21.6775	9.1522	2.0675	2.8909	1.0816	1.1869	1.3395	15.8834	9.2877	2.0403	0.6984	4.2213	2.0378	4.6838	1.7341	1.6694	2.7086	2.9152	2.5366	0.6667	14.6956	5.2577	6.7506	6.039	0.9837	2.4073
TAG52:6FA22:6	0.718	0.6148	1.0251	0.2412	0.3205	0.5375	0.236	0.1061	0.4591	0.1443	0.1072	0.1787	0.1358	0.1239	0.562	0.3473	0.097	0.1264	2.3292	0.0344	0.065	0.4578	0.2956	0.3516	0.1371	0.4942	0.2483	0.7259	1.1212	0.2313	0.2136	0.3133	0.2743	1.5051	0.3697	0.0699	0.0836	0.3087	0.3413	0.0651	1.0732	0.4102	0.1663	0.0589	0.2988	0.1448	0.1596	0.1941	0.212	0.1746	0.2668	0.0819	0.0611	0.5956	1.2595	1.9946	0.7478	0.1771	0.1143
TAG56:7FA18:3	0.452	0.7699	0.8507	0.3767	0.3593	0.2727	0.3154	0.2718	0.327	0.1713	0.2282	0.2356	0.4925	0.6053	0.6014	0.5541	0.3205	0.3137	0.4655	0.1185	0.2317	0.6044	0.461	0.4092	0.5377	0.4006	0.5027	0.2991	0.5362	0.3414	0.3944	0.2896	0.1977	0.362	0.2269	0.2215	0.1984	0.1875	0.1962	0.2313	0.8812	0.7166	0.1558	0.1665	0.4334	0.3985	0.4244	0.3137	0.3785	0.3387	0.3454	0.3871	0.3547	0.6098	0.5462	0.4821	0.2049	0.141	0.2262
PC(18:0/22:6)	11.8647	10.4012	17.4589	9.9723	14.9	16.5776	22.1722	9.1262	14.5358	11.3115	10.2683	14.9653	7.5858	10.3658	26.7475	39.083	11.337	11.5704	17.1905	5.3618	4.7365	14.5361	10.3557	5.7024	7.4469	17.1393	17.1331	13.1963	11.9677	10.9535	13.0993	16.9929	14.49	14.1469	11.4682	5.5381	4.0206	19.5623	16.6308	4.5426	18.9302	13.0825	14.7087	9.8213	19.0211	7.0747	7.8982	10.6812	9.2094	12.8608	16.1688	4.6235	8.5068	8.4952	26.4341	23.8789	11.7559	11.1932	7.4041
SM(26:1)	0.3962	0.6068	0.5232	0.4981	0.6511	0.5233	0.6309	0.3834	0.4223	0.5535	0.5275	0.4382	0.5259	0.5503	0.5883	0.5043	0.5294	0.5443	0.487	0.5512	0.5342	0.4664	0.5098	0.4308	0.4392	0.5996	0.628	0.4573	0.3596	0.3616	0.4468	0.6742	0.7691	0.6625	0.5588	0.5288	0.5196	0.9527	0.7818	0.4533	0.645	0.5166	0.9424	0.7317	0.7356	0.4399	0.3764	0.4915	0.495	0.597	0.5625	0.5196	0.5739	0.5002	0.4248	0.4445	0.6525	0.7172	0.5333
