chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
TAG52:0FA20:0	0.183659901806846	0.0521110194114508	0.197614792231374	0.678126193920583
TAG58:6FA22:5	0.417594570005872	0.639167309286264	0.248976140503894	0.728749007427721
TAG50:1FA20:1	0.507462016020602	0.214043042989745	0.205611666361663	0.669758180957827
TAG54:6FA20:3	0.658308201945537	0.321205864978689	0.227396065512443	0.743819053728364
CE(24:0)	0.324699899250163	0.773275537153459	0.227476154808071	0.71569354440803
LCER(22:0)	0.829194991053652	0.887564819585143	0.236942275449815	0.70309951985947
TAG48:4FA16:1	0.732213511752747	0.508188997727858	0.219766674068911	0.742270546463182
TAG51:4FA16:0	0.95345276077314	0.7695914310077	0.238174340648294	0.697944280307166
PC(16:0/18:1)	0.822935038061352	0.642519169602076	0.299437565324104	0.647332937501354
TAG50:3FA14:1	0.397010650487918	0.389372048724191	0.237525494159546	0.662260667694104
CE(17:0)	0.985925055068725	0.380137786923087	0.297914902476005	0.646224618593734
TAG56:6FA22:6	0.638810803156067	0.733265833086705	0.240805257696001	0.731918177491636
PC(18:1/16:1)	0.527015283263381	0.993884502770559	0.270508809369721	0.702435838587388
TAG53:3FA16:0	0.966459703817173	0.865384417038595	0.237046248719423	0.698169272282136
TAG54:4FA20:4	0.561995374447162	0.826871434013813	0.232432696501152	0.697482006686191
DAG(14:0/20:4)	0.123805584357798	0.0255900135000553	0.214622682563831	0.625440305212872
CE(18:2)	0.311670979271677	0.39991273591061	0.163231490757187	0.749145380441486
DAG(14:1/18:1)	0.917980482013122	0.89350640596773	0.246830981007869	0.701029037465773
DCER(20:0)	0.292632057959281	0.0864128674289737	0.185170497675296	0.845189624264524
LCER(20:1)	0.435650041361527	0.119298178536111	0.410883016753429	0.571685982310104
TAG54:3FA16:0	0.78780284913386	0.87437058103476	0.240808253552704	0.70728878412811
TAG48:3FA14:0	0.890294497319202	0.868438856610616	0.236293207883834	0.706064136004842
TAG56:1FA18:1	0.488472243756257	0.22530928600704	0.200760779784186	0.65800843232543
TAG58:9FA18:1	0.125008179328487	0.332042712231164	0.261249283339273	0.785400952016088
PE(P18:1/22:4)	0.894655437874632	0.75006755660878	0.226592462033458	0.677373647085513
TAG54:4FA16:0	0.92853218476146	0.958399759888928	0.240333693991759	0.698649777322087
PC(18:2/16:1)	0.924172686222951	0.85964793036331	0.259455595153555	0.730833913722411
DAG(14:0/18:1)	0.770038264704968	0.418324077477175	0.220912293139384	0.667394362820887
TAG46:2FA14:1	0.175673410449798	0.355082335059594	0.22665598474469	0.671988521346612
TAG52:4FA20:0	0.317499625400938	0.269716492793713	0.224092901618646	0.704685189078867
PC(18:0/18:2)	0.981378196917864	0.735503302073751	0.367686934642618	0.661809561356391
PE(P16:0/22:4)	0.630805611277914	0.839726181142089	0.232829785257541	0.696924901715266
TAG50:4FA16:0	0.997143439798791	0.327101639843083	0.224853056001639	0.72722851612584
DAG(18:1/20:1)	0.606130122608498	0.967911877990632	0.239694864508944	0.701364695961536
LPC(15:0)	0.642673552251477	0.0591173278029605	0.126696342699205	0.828555075366246
TAG48:3FA18:2	0.601028474282428	0.8515824133356	0.239549626190121	0.705547405152193
TAG52:6FA22:6	0.789813013962941	0.831889202092707	0.238477550341983	0.683882377832903
