chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/scenario2/MLR.clp.sc.ready.ignor.norm.qc.fillna.l.tsv	/Users/m221138/RA_project/data/filled_qc_data/scenario2/MLR.clp.sc.ready.ignor.norm.qc.fillna.m.tsv
TAG52:0FA20:0	0.280044513881942	0.370943421052632	0.428736585365854
TAG58:6FA22:5	0.60004048681961	0.343278947368421	0.316385365853659
TAG50:1FA20:1	0.207707307379221	0.174438157894737	0.206048780487805
TAG54:6FA20:3	0.362932755998298	0.573323684210526	0.635375609756098
CE(24:0)	0.205074193484182	0.261065789473684	0.245336585365854
LCER(22:0)	0.00434141689178488	0.228067105263158	0.190117073170732
TAG48:4FA16:1	0.326092171055895	0.329305263157895	0.388987804878049
TAG51:4FA16:0	0.894912530975952	1.21718421052632	1.22698292682927
PC(16:0/18:1)	0.7038016997195	199.486705263158	198.489187804878
TAG50:3FA14:1	0.378772335559052	0.962960526315789	1.05570975609756
CE(17:0)	0.810887090906304	6.79298684210526	6.71196829268293
TAG56:6FA22:6	0.243483551206072	0.817489473684211	0.598724390243902
PC(18:1/16:1)	0.85859225990199	7.41361315789474	7.80104390243902
TAG53:3FA16:0	0.651125065435994	0.842781578947368	0.907236585365854
TAG54:4FA20:4	0.196943580322348	1.69670394736842	1.99513902439024
DAG(14:0/20:4)	0.0748388228309128	0.0297934210526316	0.0400170731707317
CE(18:2)	0.139052473781327	1353.83981842105	1323.6068
DAG(14:1/18:1)	0.612609596974448	0.149467105263158	0.151768292682927
DCER(20:0)	0.0330720617880836	0.0585710526315789	0.0515341463414634
LCER(20:1)	0.0918829943713803	0.0359552631578947	0.0339487804878049
TAG54:3FA16:0	0.702693633825668	3.81077894736842	3.93418048780488
TAG48:3FA14:0	0.44376046932522	2.44765921052632	2.80503170731707
TAG56:1FA18:1	0.403337745451299	0.367568421052632	0.402109756097561
TAG58:9FA18:1	0.137801961177773	0.574468421052632	0.388780487804878
PE(P18:1/22:4)	0.21169112828351	0.857152631578947	0.81750487804878
TAG54:4FA16:0	0.390272831381974	4.91862763157895	5.43093414634146
PC(18:2/16:1)	0.545635308760728	11.7742973684211	12.040856097561
DAG(14:0/18:1)	0.395322088777408	0.398076315789474	0.430563414634146
TAG46:2FA14:1	0.133420171243657	0.409132894736842	0.542580487804878
TAG52:4FA20:0	0.729262257436073	0.505576315789474	0.509814634146341
PC(18:0/18:2)	0.151944382463124	178.604798684211	176.922892682927
PE(P16:0/22:4)	0.350306263274619	2.75991052631579	2.74349024390244
TAG50:4FA16:0	0.331995516035883	1.45072763157895	1.72780487804878
DAG(18:1/20:1)	0.582062047988771	0.103160526315789	0.104453658536585
LPC(15:0)	0.235474890424373	0.192110526315789	0.184046341463415
TAG48:3FA18:2	0.925284296364701	6.06927105263158	6.00149512195122
TAG52:6FA22:6	0.712695309854891	0.402122368421053	0.352019512195122
TAG56:7FA18:3	0.651905150886548	0.376915789473684	0.39549756097561
PC(18:0/22:6)	0.202709990944748	13.1157289473684	11.8918268292683
SM(26:1)	0.266997852440642	0.548671052631579	0.537256097560976
TAG48:2FA14:0	0.342295922794395	10.0655355263158	11.8083853658537
TAG48:3FA18:1	0.742282341127189	4.09643421052632	3.44222682926829
DAG(16:1/18:2)	0.341949855594997	0.871477631578947	1.03306829268293
TAG53:6FA18:3	0.453734197900743	2.85619605263158	2.82874878048781
PC(16:0/12:0)	0.138124924624914	0.539407894736842	0.473351219512195
TAG51:5FA18:2	0.472718860469595	0.232746052631579	0.212382926829268
PE(P16:0/20:4)	0.342520849531201	10.4034973684211	9.83685609756098
TAG49:1FA16:1	0.182320798506732	0.268239473684211	0.3401
TAG56:5FA20:1	0.426808448551607	0.452051315789474	0.401417073170732
LPE(18:0)	0.0757124083462187	1.12843421052632	1.05791219512195
FFA(20:4)	0.0942810761562017	5.30548815789474	5.61445365853659
TAG46:1FA14:1	0.0691104668176272	1.08590921052632	1.24061219512195
TAG46:3FA14:0	0.526700449547118	0.258928947368421	0.284987804878049
PE(P18:1/22:5)	0.232198908547024	0.907982894736842	0.871092682926829
TAG50:1FA14:0	0.490573507949982	3.11685789473684	3.29303414634146
TAG56:8FA20:4	0.209058427070671	2.23872368421053	2.60903658536585
TAG56:4FA20:1	0.578180827786412	1.09738421052632	0.981285365853659
MAG(18:3)	0.535565511182444	0.0924618421052632	0.0926317073170732
PE(18:0/20:4)	0.755151616065102	15.8137144736842	16.3759780487805
TAG53:2FA18:1	0.659447789985615	6.05656842105263	6.23134634146341
TAG54:7FA22:5	0.888779346609378	0.257392105263158	0.252987804878049
TAG60:12FA22:6	0.105182195214761	0.276785526315789	0.136885365853659
PC(18:0/20:2)	0.629552567705494	1.65042763157895	1.69427804878049
LPC(18:2)	0.0560102794613938	8.36251842105263	7.32421707317073
PC(15:0/18:2)	0.650456770173383	1.18521842105263	1.18869024390244
DAG(18:1/18:1)	0.96614499267609	3.85775526315789	3.8559487804878
TAG56:4FA22:4	0.104442013263835	0.160176315789474	0.198948780487805
TAG56:9FA20:5	0.29891984239036	0.763243421052632	0.487934146341463
TAG49:2FA14:0	0.262154423551845	0.400022368421053	0.467546341463415
PC(16:0/18:3)	0.982588404511336	6.8196	7.1343243902439
LPE(22:5)	0.718693192061021	0.148360526315789	0.155685365853659
TAG54:6FA20:5	0.518343147152363	2.73264605263158	2.15573902439024
TAG56:7FA22:6	0.211532614131726	6.11244605263158	4.3013
TAG51:4FA16:1	0.555208102382027	0.282961842105263	0.31449756097561
TAG52:5FA20:5	0.990858877795735	0.665317105263158	0.604890243902439
