chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/scenario2/MLR.clp.fac.ready.ignor.norm.qc.fillna.h.tsv	/Users/m221138/RA_project/data/filled_qc_data/scenario2/MLR.clp.fac.ready.ignor.norm.qc.fillna.l.tsv
LPE[FA20:1]	0.352847668838306	0.0361090909090909	0.0305184210526316
HCER[FA18:0]	0.685847907903367	0.0669909090909091	0.0722631578947368
PC[FA14:0]	0.279106888843315	18.0758545454545	16.3643513157895
SM[FA22:1]	0.606627730174302	34.1290818181818	33.7548276315789
TAG[FA16:1]	0.374638325748507	132.967954545455	137.606747368421
TAG[FA18:1]	0.0546576767234252	1012.17936363636	1117.59479342105
DAG[FA14:0]	0.365980484544519	1.42534545454545	1.28656973684211
PC[FA20:2]	error	8.4063	8.49171973684211
LPC[FA20:1]	0.965231623828375	0.321509090909091	0.317606578947368
CE[FA24:1]	0.696264107583961	0.436963636363636	0.459027631578947
CE[FA24:0]	0.763229135387993	0.240390909090909	0.261065789473684
LCER[FA18:0]	0.67967454041003	0.145363636363636	0.136981578947368
CE[FA18:3]	0.0597735386147861	51.1565363636364	46.5570394736842
LCER[FA22:1]	0.53896880966754	0.0753727272727273	0.0663907894736842
TAG[FA14:0]	0.581007869319792	88.9060727272727	83.1546315789474
PE[FA18:2]	error	22.5323272727273	22.9860394736842
LPC[FA16:0]	0.982033426432088	68.6465909090909	73.8728355263158
LPC[FA17:0]	0.685450397265961	0.635363636363636	0.689038157894737
SM[FA24:0]	0.664222757477023	29.7985	27.5009131578947
TAG[FA20:4]	0.325837467952802	53.7730636363636	55.0751592105263
DAG[FA20:3]	0.847729983984273	0.488072727272727	0.493077631578947
LPC[FA22:6]	0.493704594309521	0.312845454545455	0.370299342105263
MAG[FA15:0]	0.995605744154074	0.148218181818182	0.130164473684211
CER[FA18:0]	0.475097669490796	0.105909090909091	0.109863157894737
LCER[FA18:1]	0.506876366379784	0.274581818181818	0.262448684210526
PI[FA18:1]	2.92782274396024e-08	9.77942727272727	7.70056578947368
FFA[FA24:0]	0.786372370679486	3.48769090909091	3.37862631578947
SM[FA14:0]	0.430283871811478	18.8468818181818	17.9824934210526
CE[FA18:2]	0.723040017429352	1302.46460909091	1353.83981842105
FFA[FA20:5]	0.884712767105165	8.4483	8.72692894736842
LPE[FA20:4]	0.733096987833005	0.3825	0.398969736842105
