chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
HCER	0.457473077069386	0.483749733826452	0.267612910650513	0.655700622705702
PE	0.934770167596275	0.773772442274785	0.302703638278071	0.668458209156413
PC	0.662784687984902	0.795995221319516	0.41592650917258	0.565566822789495
DCER	0.24529851269449	0.401930281860436	0.391608162395084	0.496588771839364
DAG	0.969001606457481	0.957444401852064	0.322424456087598	0.58834933781319
LCER	0.751811009431708	0.824093030854118	0.34726962230189	0.599316757045076
PI	0.490073945620958	0.637688614697986	0.436750957129746	0.599667952836985
SM	0.760322612608759	0.947093862968798	0.341635922733599	0.603003765559547
CER	0.516161330551635	0.114599421646968	0.452580763035127	0.361854634512714
CE	0.451928227859104	0.856230943562536	0.314630149575698	0.598629440586225
LPC	0.0465140500839055	0.0126215214312899	0.190320693459521	0.485114498890846
LPE	0.536318272125071	0.260754684349837	0.256581086178754	0.535269149907339
MAG	0.232493801273665	0.0299000142967961	0.293285596336737	0.758775315479771
TAG	0.835716836867792	0.706965798250727	0.324921084793692	0.603094877336796
FFA	0.496128957701667	0.762342475122117	0.340466484979671	0.579042577214953
