chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
HCER	0.478045644343592	0.462673940638418	0.195234341759255	0.766671450715861
PE	0.855637431120749	0.657919093163962	0.208795635924692	0.79816052978731
PC	0.699176737299134	0.854934399230179	0.310229746581395	0.678241827550277
DCER	0.298863318207365	0.469431761009956	0.287617485172462	0.614336634526164
DAG	0.928211624334244	0.936367384664892	0.238877092887757	0.699922159503499
LCER	0.758637181521187	0.853034545946153	0.258855446466492	0.705418609304457
PI	0.487074681046574	0.67160590834944	0.338649373112652	0.702495634341595
SM	0.927469799316562	0.975022434336486	0.268598646195956	0.707012145843334
CER	0.474970181348433	0.125235699182171	0.348947096129146	0.442589586939976
CE	0.568340080425141	0.862855908409272	0.237748589140717	0.708652250116909
LPC	0.0346042595362867	0.0091923555965458	0.119433067826036	0.597264030833527
LPE	0.46165957933279	0.228407884261192	0.179449764007214	0.634334077986145
MAG	0.136965000817962	0.0194522893901152	0.214168759284652	0.867174301962708
TAG	0.696307925668715	0.601358635378213	0.242344988849766	0.713121970013882
FFA	0.534242612538213	0.83215480753237	0.251301024036393	0.68918087911415
