chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
HCER	0.341933043232948	0.386607454365846	0.256524621013559	0.794465238650317
PE	0.787647456978004	0.721872045383228	0.287766945014635	0.785609827928383
PC	0.57069652162999	0.860468280192813	0.386847059088741	0.681819527844273
DCER	0.326340642480472	0.49089668857747	0.362421881170843	0.619430529465271
DAG	0.990970224040992	0.987009214514048	0.316691533829277	0.700134656322631
LCER	0.939681456694201	0.879412962403643	0.331276289446445	0.704558669523735
PI	0.509334815680162	0.649783057210385	0.427388636229635	0.706777235092267
SM	0.756316432280634	0.926509082422794	0.331107004339188	0.72079877151743
CER	0.564713357796879	0.127940197040162	0.4226226414217	0.438281589676486
CE	0.414165811084089	0.8009890513453	0.299889807774113	0.719516985043645
LPC	0.0440300540718705	0.0100102107271139	0.18121650370748	0.596474604031783
LPE	0.495522583499552	0.270411339611739	0.255353728687255	0.644696756663783
MAG	0.183528399552382	0.0153751197577446	0.294206945308863	0.86432952121399
TAG	0.791601298234426	0.669821575334848	0.321587742932427	0.713143888888701
FFA	0.527939065495014	0.80291914477851	0.330956261510839	0.691157328851679
