chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
HCER	0.401624037717319	0.402611234415622	0.169900334768476	0.821924962800244
PE	0.937607318151026	0.720491603795781	0.200462587537595	0.820435618406675
PC	0.900567689394642	0.710171379329747	0.320000123944008	0.695297120768577
DCER	0.258086791807606	0.43605069940151	0.266652060984052	0.646311103058477
DAG	0.811107195529984	0.881480091899027	0.219080837587071	0.733553475052886
LCER	0.88673078951228	0.945635049703498	0.231680255241967	0.740725880175887
PI	0.394354781482251	0.604639468233655	0.327806975527856	0.745508569879209
SM	0.994683232444758	0.958624819414409	0.260407317646261	0.734915933739524
CER	0.30945565262709	0.0806975842958489	0.326376479641497	0.44685241270777
CE	0.79140203413368	0.94640607875761	0.244806804275746	0.734597979081385
LPC	0.09762370440553	0.020585414126162	0.133172702605725	0.628388408849468
LPE	0.562495202952004	0.26461233666289	0.171224310559804	0.675934147108642
MAG	0.207036939157807	0.0259849344176204	0.206995409003179	0.892191406066858
TAG	0.984450728867863	0.807433346236791	0.223344130341001	0.743517787057687
FFA	0.577679907589537	0.864188943797499	0.229614638120733	0.730966052525823
