chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
HCER	0.587985774098997	0.546702167847377	0.285985604899266	0.739643870445954
PE	0.792963033462278	0.690639905525537	0.302677796882078	0.772386166275657
PC	0.575230969141684	0.887525169303634	0.406165899724388	0.668202978722634
DCER	0.277307431081386	0.440698422688525	0.400696767736001	0.595077161559306
DAG	0.971692000476026	0.966412443071986	0.339591974316631	0.683012495071259
LCER	0.634325063862196	0.782437944291343	0.378376267705337	0.694008032982615
PI	0.546557922158985	0.649064770029892	0.45079930534288	0.688144396222547
SM	0.960242672363779	0.927589922996413	0.396817388023146	0.674201259795541
CER	0.424281480956155	0.101639318951783	0.493102632755216	0.417677558388758
CE	0.556825179157608	0.907946049153434	0.343013712930816	0.689498748331696
LPC	0.0500544384128639	0.0148444647513019	0.2028178401711	0.583269346908838
LPE	0.500027231286566	0.258834625978421	0.272788645692892	0.621515607622578
MAG	0.174048797655827	0.022904130807234	0.326234154989336	0.841876912667465
TAG	0.849037321160804	0.667320000530752	0.342375024401303	0.693852123065968
FFA	0.547447615181183	0.813956014352931	0.353702098491641	0.672979321914162
