chemID	l_mean	m_mean	h_mean	monotonic_status	pval	endpoint_log2fc
TAG52:0FA20:0	0.37094342105263156	0.4287365853658537	0.5403272727272728	up	0.072	0.542634349610578
TAG58:6FA22:5	0.3432789473684211	0.3163853658536585	0.29366363636363635	down	0.0746	0.2252167509310494
TAG56:1FA18:1	0.3675684210526316	0.40210975609756094	0.5334090909090909	up	0.0943	0.5372295874699247
TAG46:2FA14:1	0.4091328947368421	0.542580487804878	0.6200818181818182	up	0.0844	0.599889051749874
TAG48:3FA18:1	4.096434210526316	3.442226829268293	2.986381818181818	down	0.1489	0.4559700147649624
TAG56:5FA20:1	0.45205131578947366	0.4014170731707317	0.33852727272727273	down	0.0647	0.4172144871145797
TAG46:1FA14:1	1.0859092105263157	1.2406121951219513	1.3640545454545454	up	0.0416	0.3289978466626423
TAG56:4FA20:1	1.0973842105263159	0.9812853658536586	0.8604272727272727	down	0.0701	0.3509435638590323
TAG48:4FA18:3	0.7381526315789474	0.6772658536585365	0.5920090909090909	down	0.1184	0.3182998304408796
TAG58:9FA22:5	0.4109842105263158	0.3768975609756098	0.29862727272727274	down	0.0709	0.46073704005069954
TAG56:2FA16:0	0.1999236842105263	0.23911463414634146	0.26694545454545454	up	0.081	0.41709559061296075
TAG50:1FA18:0	5.000477631578947	5.804275609756098	6.396118181818181	up	0.0717	0.3551306922609247
TAG49:1FA18:1	2.5446105263157897	3.026048780487805	3.2878727272727275	up	0.0746	0.36970959694640115
TAG49:1FA17:0	0.5481736842105264	0.6726073170731708	0.7469727272727272	up	0.0772	0.4464224983484203
TAG44:2FA16:0	0.5603184210526315	0.6336268292682927	0.6998181818181818	up	0.101	0.32073322394651127
TAG47:0FA15:0	0.3339671052631579	0.39781951219512196	0.46901818181818183	up	0.0909	0.4899378422530677
TAG52:1FA16:1	0.42883026315789474	0.4617121951219512	0.5067636363636363	up	0.0489	0.2409062828825534
TAG47:1FA15:0	0.38716052631578945	0.47482439024390244	0.5280818181818182	up	0.0849	0.4478296029730436
TAG50:5FA14:0	0.7540934210526316	0.6956780487804878	0.6125636363636363	down	0.0843	0.2998835364797238
TAG45:1FA16:0	0.12952763157894737	0.15418536585365855	0.19414545454545454	up	0.0842	0.5838780356222997
TAG54:5FA22:1	0.26068684210526316	0.2315341463414634	0.1929	down	0.0593	0.43446462280618253
TAG58:8FA22:5	0.8858881578947368	0.7940414634146341	0.6586363636363637	down	0.0679	0.42764240607132453
TAG51:1FA17:0	2.267317105263158	2.6529000000000003	2.863481818181818	up	0.0641	0.33678426359705316
TAG48:3FA12:0	3.4724276315789475	2.8200780487804877	2.3842363636363637	down	0.1628	0.5424173616032615
TAG46:0FA14:0	2.8409618421052634	3.412639024390244	3.8486818181818183	up	0.0963	0.4379849499017166
TAG52:1FA20:0	0.3107092105263158	0.35941463414634145	0.4090818181818182	up	0.0579	0.3968244087394604
TAG54:7FA18:2	5.273697368421052	4.161878048780488	3.7841545454545455	down	0.0962	0.4788437746301038
TAG47:0FA16:0	0.7722131578947369	0.904970731707317	1.0691636363636363	up	0.0906	0.46941163363436295
TAG49:2FA17:0	0.2538013157894737	0.2994219512195122	0.3239181818181818	up	0.072	0.3519299015691524
TAG54:5FA18:3	9.28568552631579	7.77680243902439	6.720972727272727	down	0.0628	0.46633837313819787
TAG56:3FA20:1	1.2605328947368422	1.1026975609756098	1.0164545454545455	down	0.0934	0.3104880659585565
TAG48:4FA18:2	2.411959210526316	1.8705829268292682	1.4533454545454545	down	0.1489	0.7308278428145054
TAG44:1FA16:1	0.4608486842105263	0.5194365853658537	0.7017818181818182	up	0.0949	0.6067294391464684
TAG54:5FA18:2	51.355944736842105	46.43659512195122	38.0739	down	0.061	0.4317289300531352
TAG42:1FA12:0	0.9467888157894737	0.5624792682926829	0.4847727272727273	down	0.2401	0.9657341271142793
TAG46:1FA14:0	3.4624342105263155	4.291839024390244	4.718563636363637	up	0.0898	0.4465611011239317
TAG54:4FA22:1	0.24366315789473683	0.22047317073170733	0.1846	down	0.0556	0.40048557768090015
TAG47:0FA17:0	0.20558815789473683	0.23563658536585366	0.2593909090909091	up	0.0777	0.3353707520476979
TAG47:1FA16:1	0.21627631578947368	0.27000243902439025	0.2948363636363636	up	0.0772	0.44703878435868893
TAG48:5FA18:3	0.29601973684210525	0.20073658536585365	0.17682727272727272	down	0.1586	0.7433525653112516
TAG50:2FA14:1	0.2589144736842105	0.2874609756097561	0.3563636363636364	up	0.066	0.460874514410921
TAG48:4FA12:0	1.4394263157894738	1.028060975609756	0.8284272727272727	down	0.1603	0.797046984711508
TAG58:10FA22:5	0.11456710526315789	0.09424146341463414	0.0857909090909091	down	0.0924	0.4172961895708953
TAG54:6FA18:2	22.79775	20.19570243902439	16.44140909090909	down	0.0826	0.4715574974067024
TAG51:1FA18:0	0.6531342105263158	0.7269609756097561	0.8905454545454545	up	0.0703	0.4473097729810132
TAG36:0FA12:0	0.6713230263157894	0.3503280487804878	0.0795	down	0.2813	3.077980362055026
TAG46:1FA16:1	1.2995723684210527	1.7602048780487805	1.9624454545454548	up	0.0894	0.5946155809347913
TAG42:1FA14:0	0.23513815789473683	0.26068780487804877	0.30016363636363635	up	0.1089	0.35224053420796375
DAG(16:0/18:0)	0.6895105263157895	0.7519487804878049	0.8510272727272727	up	0.0456	0.3036327898474149
TAG46:2FA16:1	1.0016592105263158	1.213460975609756	1.305	up	0.0845	0.38165805565813593
TAG49:0FA17:0	0.5031631578947369	0.5935756097560976	0.6825636363636364	up	0.0832	0.43993726625863533
