	ST-00010415_t1	ST-00010415_t2	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044073_t1	ST-00044073_t2	ST-00044885_t1	ST-00044885_t2	ST-00045433_t1	ST-00045433_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00057532_t2	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00075023_t1	ST-00075023_t2	ST-00128432_t1	ST-00128432_t2	ST-00177454_t1	ST-00177454_t2	ST-00242187_t1	ST-00242187_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t1	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00320227_t1	ST-00320227_t2	ST-00339988_t1	ST-00339988_t2	ST-00360236_t1	ST-00360236_t2	ST-00418342_t1	ST-00418342_t2	ST-00423444_t1	ST-00423444_t2	ST-00466055_t1	ST-00466055_t2	ST-00505289_t1	ST-00505289_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00550067_t1	ST-00550067_t2	ST-00596988_t1	ST-00596988_t2	ST-00597582_t1	ST-00597582_t2	ST-00606222_t1	ST-00606222_t2	ST-00611296_t1	ST-00611296_t2	ST-00616972_t1	ST-00616972_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00630737_t2	ST-00631493_t1	ST-00631493_t2	ST-00632345_t1	ST-00632345_t2	ST-00634998_t1	ST-00634998_t2	ST-00641613_t1	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t1	ST-00651926_t2	ST-00652037_t1	ST-00652037_t2	ST-00653378_t1	ST-00653378_t2	ST-00656708_t1	ST-00656708_t2	ST-00659767_t1	ST-00659767_t2	ST-00660767_t1	ST-00660767_t2	ST-00685031_t1	ST-00685031_t2	ST-00705243_t1	ST-00705243_t2	ST-00705245_t1	ST-00705245_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00711931_t1	ST-00711931_t2	ST-00714687_t1	ST-00714687_t2	ST-00718962_t1	ST-00718962_t2	ST-00723045_t1	ST-00723045_t2	ST-00730777_t1	ST-00730777_t2	ST-00731125_t1	ST-00731125_t2	ST-00731336_t1	ST-00731336_t2	ST-00731705_t1	ST-00731705_t2	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t1	ST-00745902_t2
DAS28	l	l	l	l	l	l	l	m	l	l	m	m	l	l	l	m	l	l	l	l	m	m	l	l	m	l	h	m	l	l	l	l	l	l	l	l	l	l	m	m	m	l	m	l	m	l	h	h	m	h	l	l	l	l	l	l	l	h	m	m	l	l	l	m	l	l	l	m	l	l	l	l	l	m	m	m	h	l	l	m	l	l	l	l	m	l	m	m	m	m	m	m	m	m	m	l	m	l	l	l	h	h	l	l	l	l	l	h	m	m	m	m	l	l	m	m	l	m	h	h	l	m	l	l	l	l	l	l
TAG48:4FA18:2	3.5278	1.7801	4.2941	3.0158	11.1898	5.7349	0.4201	0.6899	0.8695	0.4435	1.0772	3.9318	0.5195	6.0103	0.8866	1.0298	0.6717	0.5016	0.9494	0.754	2.4684	2.0771	1.0249	0.7731	1.1891	0.1902	2.1886	1.0298	0.6256	1.2661	3.6889	10.9751	0.3626	1.0998	17.3773	2.2992	4.3428	1.8352	2.7798	4.0248	0.6975	0.5866	2.6045	1.7862	0.2516	0.4769	1.3579	1.4132	1.0705	1.5035	0.4894	1.1071	6.8238	19.5973	0.4987	0.4579	0.9783	1.8565	1.7447	4.2248	3.1165	2.4866	0.3363	0.4925	13.7483	2.9861	1.9178	4.8502	0.8269	1.0391	0.251	0.2467	0.2644	0.3098	1.3357	0.9915	3.2938	4.3049	2.2946	0.6069	2.1476	1.8880000000000001	0.6983	0.2819	2.1128	1.3743	0.5546	2.2163	0.4555	0.9031	2.8616	1.6380000000000001	1.6468	2.5452	1.0398	0.601	0.7923	0.552	0.5646	1.6485	0.3555	0.4272	0.6938	0.8647	0.6727	0.698	1.0177	1.2711	9.7041	3.5221	2.6268	1.5571	2.4253	0.2828	0.7719	0.2611	4.3723	1.1953	1.1246	1.1949	2.6284	0.8116	1.3808	2.2483	0.9375	0.1817	0.4176	0.6802
TAG48:4FA12:0	2.0126	1.0261	2.4854	1.8507	6.7918	3.6535	0.1603	0.3381	0.5315	0.2481	0.5995	2.314	0.2968	4.0218	0.4736	0.4711	0.3179	0.2922	0.4915	0.3736	1.3507	1.0112	0.5561	0.4372	0.6101	0.0713	1.2081	0.5133	0.3588	0.7136	1.9559	6.9661	0.1421	0.5573	10.1261	1.1777	2.7231	0.9925	1.3805	2.2319	0.2401	0.2033	1.4055	0.895	0.1172	0.2203	0.7756	0.8613	0.4392	0.9531	0.1893	0.5161	4.4579	13.232999999999999	0.1956	0.1854	0.5007	1.1767	0.9568	2.9218	1.7386	1.4812	0.1803	0.2326	8.7828	2.5873	0.9821	2.4382	0.462	0.5162	0.1002	0.11800000000000001	0.1289	0.1284	0.6127	0.5747	1.7930000000000001	2.3957	1.3581	0.2754	1.4522	0.9827	0.4012	0.1421	1.3043	0.7163	0.2621	1.1103	0.1819	0.4315	1.4882	0.8739	0.9426	1.2802	0.7478	0.3307	0.2637	0.2503	0.3096	1.0417	0.1619	0.2188	0.361	0.4286	0.3359	0.3424	0.6603	0.8299	6.3262	2.1981	1.2587	0.8874	1.2547	0.1527	0.3659	0.0938	2.1436	0.5459	0.5154	0.6189	1.6415	0.425	0.7257	1.3059	0.46399999999999997	0.1016	0.2262	0.3923
TAG36:0FA12:0	0.0576	0.0324	0.0959	0.3016	0.8679	22.1714	0.00705	0.00705	0.0285	0.0254	0.019	0.0671	0.0187	0.6499	0.0186	0.0172	0.00705	0.00705	0.0204	0.0196	0.0236	0.0258	0.0254	0.0174	0.0645	0.0166	0.0664	0.0304	0.043	0.0291	0.0259	0.563	0.0151	0.0203	1.1549	0.0312	0.05	0.0231	0.0331	0.1619	0.0236	0.0287	0.027000000000000003	0.025	0.00705	0.00705	0.0332	0.2417	0.0316	0.0734	0.0163	0.0223	3.9818	14.1573	0.0208	0.0248	0.0168	0.2469	0.0253	0.3373	0.1839	0.1008	0.0247	0.0152	2.2148	1.1562	0.1959	0.2837	0.0316	0.0273	0.0157	0.018000000000000002	0.015	0.0377	0.0232	0.0221	0.0653	0.3383	0.0347	0.0271	0.7490000000000001	0.016	0.2686	0.0149	0.0678	0.0492	0.0141	0.064	0.0196	0.0323	0.0345	0.1201	0.0489	0.1211	0.1704	0.0172	0.00705	0.00705	0.0315	0.2423	0.00705	0.00705	0.0254	0.07	0.0207	0.0159	0.0534	0.0354	2.9278	9.2747	0.0285	0.0366	0.0292	0.0166	0.00705	0.00705	0.0956	0.0374	0.028999999999999998	0.0691	0.1542	0.034	0.0251	0.031	0.0257	0.0249	0.0171	0.0182
TAG40:0FA12:0	0.1993	0.0706	0.3544	0.3196	1.2906	10.6336	0.006	0.006	0.0589	0.0203	0.0343	0.5695	0.006	0.006	0.063	0.0269	0.0176	0.012	0.006	0.006	0.0706	0.0263	0.006	0.006	0.006	0.006	0.1003	0.0491	0.1047	0.115	0.0286	2.0749	0.006	0.006	3.0808	0.0548	0.5341	0.028999999999999998	0.0886	0.588	0.0267	0.0277	0.006	0.006	0.0184	0.0586	0.2014	0.8215	0.0279	0.4307	0.0284	0.0525	7.8663	29.0766	0.0227	0.0224	0.0336	1.5036	0.0794	0.8361	0.7209	0.4418	0.006	0.006	4.9415	1.4936	0.5314	0.8084	0.0365	0.0439	0.0213	0.0193	0.0161	0.1167	0.0259	0.0604	0.1857	1.044	0.182	0.0474	0.8611	0.0378	0.3651	0.0134	0.2254	0.1522	0.0255	0.1872	0.019	0.0432	0.1131	0.4852	0.2138	0.33399999999999996	0.5586	0.025	0.006	0.006	0.038	0.6432	0.006	0.006	0.0594	0.1869	0.0175	0.0285	0.1978	0.1763	4.372	7.6308	0.0388	0.1318	0.006	0.006	0.0438	0.0157	0.2479	0.1166	0.0587	0.1128	0.4728	0.054000000000000006	0.0611	0.1646	0.0943	0.0308	0.006	0.006
FFA(17:0)	18.2065	17.7313	17.0564	15.0038	13.5319	15.6702	18.4049	20.6952	14.2383	14.1715	1012.7360000000001	1219.076	13.7354	15.8558	12.2816	15.1821	27.6161	18.5139	1122.9289999999999	1082.259	18.7498	14.4475	14.6797	15.4839	13.4766	17.7796	16.5626	18.7968	20.8535	20.0227	14.1604	14.4169	22.4067	19.1548	14.2797	15.0067	917.4169	1000.56	13.0445	13.8835	16.0626	18.0098	1254.345	1277.759	1217.3419999999999	1066.87	16.0451	13.0317	14.7075	13.6612	16.5288	14.3423	19.0122	21.1787	15.0753	16.874000000000002	17.6823	14.6744	15.084000000000001	139.1917	17.3911	18.4237	13.7398	18.2505	18.1919	15.9522	17.3907	16.7363	15.7624	15.479000000000001	16.0926	16.0822	18.2236	17.2212	18.752	16.452	18.0727	15.4667	15.6324	14.6784	15.7179	14.843	18.0884	17.3638	18.2799	15.5084	18.585	115.7413	16.047	13.4178	17.1726	15.1992	13.5421	16.3016	18.2533	15.9119	14.7447	14.9125	13.0967	15.1032	20.1718	22.9777	15.5384	15.3478	18.1596	16.5219	14.2537	14.0965	17.0841	17.0911	12.1147	1363.35	15.4544	17.3508	18.0081	17.0231	16.6829	18.9305	1339.339	944.3995	14.8341	16.5439	16.495	15.014000000000001	19.9739	22.2103	16.5996	18.1066
TAG38:0FA12:0	0.1201	0.0391	0.2289	0.1651	0.7357	13.9784	0.0294	0.0328	0.0439	0.0423	0.0465	0.1484	0.0324	0.4648	0.0456	0.048	0.0375	0.0219	0.0347	0.0336	0.0386	0.0442	0.0361	0.0294	0.0933	0.0318	0.0769	0.0491	0.098	0.0811	0.044000000000000004	0.8964	0.0233	0.0317	1.2790000000000001	0.0638	0.1412	0.0315	0.0604	0.3381	0.0325	0.0426	0.0078	0.0078	0.0212	0.0534	0.0787	0.2298	0.0421	0.1617	0.0266	0.0416	2.6544	9.6397	0.0196	0.0302	0.0218	0.6066	0.0412	0.4027	0.4636	0.2092	0.0442	0.0262	2.9136	0.8981	0.3699	0.4978	0.0482	0.0357	0.0357	0.0339	0.044000000000000004	0.0743	0.0303	0.0404	0.1344	0.6112	0.0691	0.06	0.5897	0.0273	0.3099	0.0215	0.16	0.0868	0.031	0.1234	0.028999999999999998	0.0343	0.0783	0.2692	0.1245	0.2152	0.2522	0.0419	0.0156	0.0206	0.0286	0.3439	0.027000000000000003	0.0287	0.0701	0.1305	0.023	0.0244	0.0926	0.0766	2.8893	7.9211	0.0434	0.0707	0.0507	0.0256	0.0362	0.0351	0.1656	0.0861	0.0493	0.0671	0.2865	0.0476	0.0439	0.0641	0.0645	0.0384	0.0325	0.0423
TAG42:2FA18:2	0.6372	0.1604	0.7216	0.2825	1.3291	1.7026	0.0431	0.0473	0.17300000000000001	0.0358	0.0646	0.2779	0.0462	1.2428	0.0624	0.0901	0.0565	0.0445	0.0636	0.0451	0.1478	0.1021	0.0551	0.0487	0.2765	0.0307	0.4064	0.2364	0.1447	0.1677	0.2538	1.5531	0.0364	0.0493	2.5242	0.3933	0.4319	0.0405	0.589	1.2309	0.0632	0.0489	0.1257	0.0949	0.042	0.0824	0.4642	0.2882	0.0873	0.2506	0.0852	0.2645	2.1951	9.4272	0.045	0.05	0.0772	0.6962	0.1901	0.5657	0.9557	0.5227	0.0489	0.0305	4.1179	1.0248	0.7332	1.6616	0.1764	0.1712	0.0645	0.053	0.066	0.1105	0.0695	0.1336	0.5668	0.8064	0.14	0.098	0.4172	0.0971	0.1805	0.0435	0.4737	0.3539	0.0757	0.5279	0.0407	0.1442	0.271	0.4003	0.3261	0.6594	0.2803	0.0826	0.0371	0.0361	0.1252	0.5384	0.054000000000000006	0.0475	0.1554	0.1377	0.0457	0.0606	0.0868	0.0788	2.9905	1.8349	0.1346	0.1197	0.3533	0.0361	0.0657	0.0306	1.0455	0.1396	0.0993	0.106	0.6164	0.0651	0.2486	0.5676	0.1585	0.0381	0.0593	0.0861
TAG44:1FA14:1	0.1391	0.0644	0.6575	0.0323	0.0904	0.1152	0.0229	0.038	0.1507	0.0259	0.0447	0.371	0.0245	0.0457	0.1614	0.1563	0.0307	0.0376	0.0327	0.0224	0.1793	0.1309	0.0937	0.0272	0.0558	0.016	0.1092	0.0471	0.1014	0.1404	0.1022	0.2775	0.0193	0.0428	0.1609	0.111	0.6882	0.0448	0.5919	0.5670000000000001	0.0929	0.1366	0.3318	0.0813	0.0152	0.0402	0.243	0.1034	0.2167	0.4457	0.0424	0.297	0.2157	0.4412	0.1155	0.0702	0.0456	1.1466	0.0914	0.1899	0.4672	0.2284	0.0076	0.0076	0.4259	0.0174	0.5429999999999999	0.9656	0.0641	0.0609	0.0617	0.0727	0.0312	0.1969	0.0625	0.1539	0.2459	1.0172	0.0651	0.06	0.0932	0.1484	0.0212	0.0168	0.2147	0.1149	0.0318	0.2044	0.0994	0.3271	0.1504	0.3375	0.2308	0.2826	0.1828	0.0593	0.0442	0.0193	0.0431	0.1419	0.0499	0.0623	0.0574	0.1057	0.0392	0.0721	0.0405	0.0431	0.3945	0.0769	0.0592	0.1091	0.0481	0.0224	0.0294	0.0176	0.5105	0.1692	0.2295	0.0522	0.3483	0.0257	0.1003	0.5248	0.6493	0.042	0.034	0.0421
