	ST-00010415_t1	ST-00010415_t2	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044073_t1	ST-00044073_t2	ST-00044885_t1	ST-00044885_t2	ST-00045433_t1	ST-00045433_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00057532_t2	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00075023_t1	ST-00075023_t2	ST-00128432_t1	ST-00128432_t2	ST-00177454_t1	ST-00177454_t2	ST-00242187_t1	ST-00242187_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t1	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00320227_t1	ST-00320227_t2	ST-00339988_t1	ST-00339988_t2	ST-00360236_t1	ST-00360236_t2	ST-00418342_t1	ST-00418342_t2	ST-00423444_t1	ST-00423444_t2	ST-00466055_t1	ST-00466055_t2	ST-00505289_t1	ST-00505289_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00550067_t1	ST-00550067_t2	ST-00596988_t1	ST-00596988_t2	ST-00597582_t1	ST-00597582_t2	ST-00606222_t1	ST-00606222_t2	ST-00611296_t1	ST-00611296_t2	ST-00616972_t1	ST-00616972_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00630737_t2	ST-00631493_t1	ST-00631493_t2	ST-00632345_t1	ST-00632345_t2	ST-00634998_t1	ST-00634998_t2	ST-00641613_t1	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t1	ST-00651926_t2	ST-00652037_t1	ST-00652037_t2	ST-00653378_t1	ST-00653378_t2	ST-00656708_t1	ST-00656708_t2	ST-00659767_t1	ST-00659767_t2	ST-00660767_t1	ST-00660767_t2	ST-00685031_t1	ST-00685031_t2	ST-00705243_t1	ST-00705243_t2	ST-00705245_t1	ST-00705245_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00711931_t1	ST-00711931_t2	ST-00714687_t1	ST-00714687_t2	ST-00718962_t1	ST-00718962_t2	ST-00723045_t1	ST-00723045_t2	ST-00730777_t1	ST-00730777_t2	ST-00731125_t1	ST-00731125_t2	ST-00731336_t1	ST-00731336_t2	ST-00731705_t1	ST-00731705_t2	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t1	ST-00745902_t2
DAS28	l	l	l	l	l	l	l	m	l	l	m	m	l	l	l	m	l	l	l	l	m	m	l	l	m	l	h	m	l	l	l	l	l	l	l	l	l	l	m	m	m	l	m	l	m	l	h	h	m	h	l	l	l	l	l	l	l	h	m	m	l	l	l	m	l	l	l	m	l	l	l	l	l	m	m	m	h	l	l	m	l	l	l	l	m	l	m	m	m	m	m	m	m	m	m	l	m	l	l	l	h	h	l	l	l	l	l	h	m	m	m	m	l	l	m	m	l	m	h	h	l	m	l	l	l	l	l	l
Total[FA17:0]	41.028999999999996	38.1315	91.2903	49.956	36.0378	40.4058	46.6117	40.593	34.2552	32.6559	1041.741	1266.021	30.094	42.7157	42.4951	48.136	48.6823	38.5151	1148.203	1103.131	52.9089	51.638999999999996	52.9855	54.4368	27.686	32.6153	50.1058	36.5937	51.8814	48.494	67.7878	56.0521	38.1855	38.991	54.0681	48.7745	961.3728	1036.486	70.4282	48.7889	45.4612	49.8911	1310.1680000000001	1326.649	1236.003	1087.9560000000001	35.5106	28.0817	48.0833	46.5548	40.6987	44.9878	45.1675	63.075	54.2939	56.5793	43.522	55.0578	48.6896	172.8763	60.3122	51.8685	34.6481	42.0885	63.316	40.4048	64.6428	78.7009	33.9619	36.1062	44.4379	40.7785	32.5368	45.695	55.1661	40.1144	88.4425	86.2431	38.5444	37.8493	57.187	65.5644	58.7354	40.2104	50.74100000000001	53.6073	39.5454	149.0737	35.8789	33.0651	61.0675	48.4642	43.6961	44.5022	47.4401	43.8392	63.0446	36.1347	39.8222	43.5794	48.6312	52.7043	36.7743	34.9118	42.4521	42.321999999999996	34.7482	37.1666	53.3257	43.7883	51.4863	1399.529	37.4418	36.9418	39.2582	34.6136	63.0113	53.2136	1365.4360000000001	968.6073	45.4401	32.1453	54.3174	64.8292	61.5075	45.4793	37.0879	44.1704
FFA[FA17:0]	18.2065	17.7313	17.0564	15.0038	13.5319	15.6702	18.4049	20.6952	14.2383	14.1715	1012.7360000000001	1219.076	13.7354	15.8558	12.2816	15.1821	27.6161	18.5139	1122.9289999999999	1082.259	18.7498	14.4475	14.6797	15.4839	13.4766	17.7796	16.5626	18.7968	20.8535	20.0227	14.1604	14.4169	22.4067	19.1548	14.2797	15.0067	917.4169	1000.56	13.0445	13.8835	16.0626	18.0098	1254.345	1277.759	1217.3419999999999	1066.87	16.0451	13.0317	14.7075	13.6612	16.5288	14.3423	19.0122	21.1787	15.0753	16.874000000000002	17.6823	14.6744	15.084000000000001	139.1917	17.3911	18.4237	13.7398	18.2505	18.1919	15.9522	17.3907	16.7363	15.7624	15.479000000000001	16.0926	16.0822	18.2236	17.2212	18.752	16.452	18.0727	15.4667	15.6324	14.6784	15.7179	14.843	18.0884	17.3638	18.2799	15.5084	18.585	115.7413	16.047	13.4178	17.1726	15.1992	13.5421	16.3016	18.2533	15.9119	14.7447	14.9125	13.0967	15.1032	20.1718	22.9777	15.5384	15.3478	18.1596	16.5219	14.2537	14.0965	17.0841	17.0911	12.1147	1363.35	15.4544	17.3508	18.0081	17.0231	16.6829	18.9305	1339.339	944.3995	14.8341	16.5439	16.495	15.014000000000001	19.9739	22.2103	16.5996	18.1066
