chemID	l_mean	m_mean	h_mean	monotonic_status
TAG52:0FA20:0	0.37094342105263156	0.4287365853658537	0.5403272727272728	up
TAG48:3FA18:1	4.096434210526316	3.442226829268293	2.986381818181818	down
TAG47:0FA15:0	0.3339671052631579	0.39781951219512196	0.46901818181818183	up
TAG45:1FA16:0	0.12952763157894737	0.15418536585365855	0.19414545454545454	up
TAG48:3FA12:0	3.4724276315789475	2.8200780487804877	2.3842363636363637	down
TAG47:0FA16:0	0.7722131578947369	0.904970731707317	1.0691636363636363	up
TAG54:5FA18:3	9.28568552631579	7.77680243902439	6.720972727272727	down
TAG48:4FA18:2	2.411959210526316	1.8705829268292682	1.4533454545454545	down
TAG42:1FA12:0	0.9467888157894737	0.5624792682926829	0.4847727272727273	down
TAG48:4FA12:0	1.4394263157894738	1.028060975609756	0.8284272727272727	down
TAG36:0FA12:0	0.6713230263157894	0.3503280487804878	0.0795	down
TAG49:0FA17:0	0.5031631578947369	0.5935756097560976	0.6825636363636364	up
TAG40:0FA12:0	0.9150302631578947	0.4424170731707317	0.32754545454545453	down
FFA(17:0)	100.44311315789474	167.71563902439024	221.18474545454544	up
TAG49:0FA15:0	0.29570526315789475	0.3418317073170732	0.4304818181818182	up
TAG38:0FA12:0	0.5234171052631579	0.35702682926829266	0.13970909090909092	down
TAG42:1FA18:1	0.8434723684210527	0.6415780487804879	0.5339727272727273	down
TAG54:6FA18:3	8.526851315789473	7.039670731707317	6.091627272727273	down
TAG56:1FA16:0	0.19233552631578948	0.24823658536585366	0.28766363636363634	up
TAG49:0FA16:0	1.1589223684210526	1.372509756097561	1.6058999999999999	up
TAG42:2FA18:2	0.5157513157894736	0.36237560975609756	0.278	down
TAG44:1FA16:0	1.2448263157894737	1.4379829268292683	1.8405909090909092	up
TAG47:1FA16:0	0.42926184210526314	0.5264804878048781	0.6208454545454546	up
TAG48:1FA14:1	0.2772657894736842	0.3375780487804878	0.4316909090909091	up
TAG44:1FA14:1	0.14896973684210527	0.18423658536585366	0.24825454545454545	up
TAG45:0FA15:0	0.14369605263157895	0.16714390243902438	0.20983636363636363	up
