chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
TAG52:0FA20:0	0.0835488868507383	0.0236698564882547	0.0620933621060889	0.436715104436606
TAG58:6FA22:5	0.514841715680985	0.800366575652862	0.0958919720852057	0.482158739736774
TAG50:1FA20:1	0.259678039091293	0.104181896484501	0.0650569547241047	0.426645075457982
TAG54:6FA20:3	0.961903337754793	0.545655223308322	0.0913486226815848	0.493393364038677
CE(24:0)	0.397074346681021	0.80413643365938	0.0877883963751631	0.480316856929632
LCER(22:0)	0.432162166942282	0.441174010549138	0.0665499254160023	0.486206152000868
TAG48:4FA16:1	0.402077255268405	0.817370001339876	0.0906685279773651	0.4821330262791
TAG51:4FA16:0	0.783968014385373	0.925857626704149	0.0920670616419207	0.465745564035534
PC(16:0/18:1)	0.685364979301034	0.604939618066485	0.128564752234507	0.422716415107158
TAG50:3FA14:1	0.179930710012987	0.202912471750092	0.0838010038021098	0.415571883499086
CE(17:0)	0.8406036095059	0.543920550813505	0.116867472070721	0.44142869551834
TAG56:6FA22:6	0.721129565263843	0.873037721290337	0.0931630354567705	0.483221651868702
PC(18:1/16:1)	0.291366800292737	0.836610777179997	0.132455348662123	0.449827255010108
TAG53:3FA16:0	0.676169351671188	0.647357923025875	0.0877221554416741	0.466617445517049
TAG54:4FA20:4	0.399269721360637	0.564939247099076	0.0806923264496449	0.464000887579764
DAG(14:0/20:4)	0.0525699246895582	0.0106954796340938	0.0698665770531608	0.386173576422248
CE(18:2)	0.366820882834605	0.314277890224254	0.0523416173464025	0.517371799024619
DAG(14:1/18:1)	0.768163309953476	0.781242201354011	0.0868420229090242	0.456140459807627
DCER(20:0)	0.19338582822413	0.0690441619014935	0.0621069618331834	0.602721547308609
LCER(20:1)	0.378661124361977	0.158102325424529	0.180612569222525	0.374442263367628
TAG54:3FA16:0	0.909166406029181	0.822124521644652	0.0904423033528513	0.45490488268249
TAG48:3FA14:0	0.550119596279698	0.83888297096042	0.0933566713928052	0.456758192438138
TAG56:1FA18:1	0.31547850807774	0.135408278035013	0.0653727297869611	0.418154691740694
TAG58:9FA18:1	0.151168488101543	0.422494753758766	0.103102090175517	0.532621375996634
PE(P18:1/22:4)	0.88854286468948	0.616991074207883	0.0822611674998368	0.43839920023633
TAG54:4FA16:0	0.676846302036667	0.765486212161057	0.0891034696367888	0.45719023067822
PC(18:2/16:1)	0.789442904435872	0.875743411003078	0.116784297302825	0.497540047100719
DAG(14:0/18:1)	0.507104947778982	0.25991516806553	0.0757230581127369	0.427017058318583
TAG46:2FA14:1	0.074803281238855	0.186993993846127	0.0770898272771907	0.427050010634835
TAG52:4FA20:0	0.555156197737112	0.431422427623887	0.0900139590376632	0.473389979996701
PC(18:0/18:2)	0.914784937773305	0.9962775197649	0.132827613569965	0.471820449601434
PE(P16:0/22:4)	0.669009789855926	0.752960885037921	0.0869787549680292	0.46403151014118
TAG50:4FA16:0	0.735329635697846	0.508308442447652	0.090211720282101	0.48645514729043
DAG(18:1/20:1)	0.903989965558464	0.739733121402398	0.0895382489288632	0.445750834710034
LPC(15:0)	0.737258848458512	0.0771585824941537	0.0470688185019746	0.570801527824797
TAG48:3FA18:2	0.892088289810816	0.908875994434208	0.0912928843862852	0.46151477886214
TAG52:6FA22:6	0.619045900687948	0.644844559807071	0.0898271886783633	0.439775669317288
TAG56:7FA18:3	0.567895433602047	0.65028122053689	0.0916957375850829	0.476320968537556
PC(18:0/22:6)	0.793310481890005	0.871835992773304	0.0926368522393301	0.509144677227555
SM(26:1)	0.959704936663209	0.819204340830295	0.0915173250235444	0.483222040180786
TAG48:2FA14:0	0.36859710870028	0.418576679075606	0.0865095509063844	0.44738888305742
TAG48:3FA18:1	0.543851148232531	0.952029197278242	0.0931046726558987	0.46809851309483
DAG(16:1/18:2)	0.377942074187627	0.974247118340419	0.0941072634476394	0.468955634879039
TAG53:6FA18:3	0.768067472794587	0.946083178987165	0.0954826923710478	0.466372125038712
PC(16:0/12:0)	0.325297994731606	0.788002375949382	0.0872567781549635	0.508388979375328
TAG51:5FA18:2	0.439148338211453	0.579170662087464	0.0907077411547993	0.473160009940793
PE(P16:0/20:4)	0.733176947724059	0.814332595822712	0.0894496867762133	0.480389806195949
TAG49:1FA16:1	0.169041622835095	0.384281113853607	0.0848798792001024	0.456526134139152
TAG56:5FA20:1	0.171611403976993	0.363180170879657	0.0935654697404614	0.482062106994709
LPE(18:0)	0.958011080672281	0.23982335261413	0.0527635874621376	0.527823692882488
FFA(20:4)	0.649483300171805	0.907137495567625	0.0922336611392965	0.46821823127239
TAG46:1FA14:1	0.16013237681272	0.0553574405817474	0.035036584978398	0.467765758626288
TAG46:3FA14:0	0.545986145953604	0.485234045356645	0.0854574086816888	0.443932224606367
PE(P18:1/22:5)	0.682900460923908	0.504744788868385	0.133780886849653	0.421071495088817
TAG50:1FA14:0	0.390028228670753	0.160681021358587	0.0667646354812172	0.416515304679069
TAG56:8FA20:4	0.617804642030663	0.83097076469026	0.0912874894341275	0.469575899496871
TAG56:4FA20:1	0.356786652976181	0.53805026346949	0.099011018139144	0.486303045172024
MAG(18:3)	0.620829974478317	0.928210848638772	0.115766902708513	0.46199267757009
PE(18:0/20:4)	0.824843480700898	0.477593487146921	0.0748368281760777	0.544055662968426
TAG53:2FA18:1	0.587489819006407	0.385322844683468	0.0840496588172725	0.427546918678909
TAG54:7FA22:5	0.817369232931728	0.752034578078493	0.0957187954308636	0.479734293288833
