chemID	r_mean	l_mean	m_mean	h_mean	monotonic_status	pval	endpoint_log2fc
LPE[FA20:1]	0.029394915254237288	0.034029411764705884	0.029497560975609755	0.031027272727272726	down	0.0541	0.07797027208537602
HCER[FA18:0]	0.07199661016949152	0.06052941176470589	0.06944634146341463	0.07431818181818181	up	0.0876	0.045786225400171465
PC[FA14:0]	16.438994915254238	17.669929411764706	16.922851219512197	17.777427272727273	dynamic	0.7422	0.11292445929523616
SM[FA22:1]	33.20396610169492	32.98833529411765	34.27299268292683	35.29386363636364	stable	0.4535	0.08806179436961963
TAG[FA16:1]	143.3020881355932	155.3192	130.79515609756098	165.9162	dynamic	0.7671	0.21139512533587854
TAG[FA18:1]	1060.1257491525423	1300.677623529412	1058.5054609756098	1278.0711363636362	dynamic	0.7677	0.26973273432023803
DAG[FA14:0]	1.1980152542372882	1.9743941176470587	1.225180487804878	1.6606181818181818	down	0.1179	0.4710741213269275
PC[FA20:2]	8.516471186440677	7.966817647058823	8.83770487804878	8.514245454545454	dynamic	0.6921	0.00037708952048922826
LPC[FA20:1]	0.30414745762711864	0.3174176470588235	0.29434146341463413	0.2992	dynamic	0.6876	0.023660769526607124
CE[FA24:1]	0.4957457627118644	0.4227705882352941	0.4315536585365854	0.4538	dynamic	0.6928	0.12754383234814864
CE[FA24:0]	0.24900508474576272	0.2462	0.25766829268292685	0.28209090909090906	dynamic	0.6572	0.1799849703309842
LCER[FA18:0]	0.1339949152542373	0.1335	0.13880731707317073	0.13262727272727273	stable	0.4542	0.014800781674219625
CE[FA18:3]	45.59826610169492	46.018247058823526	50.272231707317076	47.55066363636364	dynamic	0.7239	0.060486509876699394
LCER[FA22:1]	0.06707457627118645	0.06631764705882354	0.06752439024390244	0.05863636363636364	dynamic	0.6384	0.19397039882151074
TAG[FA14:0]	74.64630677966102	124.27738823529411	79.71820487804878	114.80671818181818	down	0.1247	0.6210642790573089
PE[FA18:2]	21.8050406779661	24.56988823529412	23.168958536585365	24.055563636363637	dynamic	0.7419	0.14170892121756098
LPC[FA16:0]	70.03530847457627	77.56893529411765	70.2579	73.71940000000001	dynamic	0.5548	0.07396188521526387
LPC[FA17:0]	0.666364406779661	0.6724411764705882	0.6446560975609756	0.7061090909090909	stable	0.2336	0.08357974850239844
SM[FA24:0]	27.246083050847457	26.604629411764705	28.083680487804877	27.838936363636364	stable	0.555	0.031055251304130223
TAG[FA20:4]	54.20637288135593	69.91271764705883	56.514963414634146	64.04973636363636	down	0.1055	0.2407301573767614
DAG[FA20:3]	0.4965457627118644	0.5482705882352941	0.5198146341463414	0.5827545454545454	dynamic	0.7648	0.23096166662336937
LPC[FA22:6]	0.3358635593220339	0.4406411764705882	0.3275719512195122	0.3301272727272727	down	0.0879	0.024852945365247892
MAG[FA15:0]	0.13316440677966102	0.14971176470588235	0.12816829268292682	0.11698181818181819	down	0.0442	0.18692420180884806
CER[FA18:0]	0.11608305084745763	0.10364117647058824	0.1067780487804878	0.11328181818181818	dynamic	0.7311	0.035241015254191314
LCER[FA18:1]	0.2513542372881356	0.2681176470588235	0.2706048780487805	0.2594	stable	0.7211	0.04545646963708515
PI[FA18:1]	7.641294915254237	8.147311764705883	8.015063414634147	7.9091000000000005	stable	0.1445	0.0496963933564956
FFA[FA24:0]	3.465401694915254	3.7761176470588236	3.273107317073171	3.491590909090909	down	0.0277	0.01086194280869117
SM[FA14:0]	17.42870508474576	18.255305882352943	18.09490487804878	17.986563636363638	stable	0.2068	0.04545419925875558
CE[FA18:2]	1350.9828694915254	1336.7945705882353	1300.8274317073171	1429.0358181818183	stable	0.572	0.08103269607373514
FFA[FA20:5]	8.687220338983051	9.313376470588235	8.604941463414635	8.232690909090909	down	0.0062	0.07753056781899859
LPE[FA20:4]	0.38437118644067797	0.44132352941176467	0.38684878048780486	0.46995454545454546	dynamic	0.7176	0.2900210327762766
CE[FA17:0]	6.81351186440678	6.652294117647059	6.57600243902439	7.766827272727273	dynamic	0.6929	0.1889267889122182
CE[FA18:4]	0.9085033898305085	1.1766294117647058	1.0260560975609756	0.8180272727272727	down	0.1084	0.15134295460026492
HCER[FA24:0]	0.7354949152542373	0.6680588235294117	0.7234731707317074	0.7599272727272728	up	0.0829	0.04714598737319331
PC[FA22:5]	27.09315254237288	26.82001176470588	28.978839024390243	27.025709090909093	dynamic	0.6918	0.003595803030633177
CER[FA22:1]	0.04694067796610169	0.04823529411764706	0.04630243902439024	0.045445454545454546	stable	0.4	0.04670267564261617
PC[FA20:4]	347.2787508474576	340.2668705882353	353.77289268292685	390.37525454545454	dynamic	0.6597	0.16876746658354183
HCER[FA22:1]	0.05524237288135593	0.04921764705882353	0.05074146341463415	0.05932727272727273	dynamic	0.6909	0.10292017321782859
CER[FA20:0]	0.10836779661016949	0.10664705882352941	0.10282439024390244	0.103	stable	0.2823	0.07329176085822384
TAG[FA17:0]	14.196418644067796	19.49215882352941	14.539553658536585	21.51617272727273	dynamic	0.7597	0.5998944513662166
Total[FA20:5]	71.79095762711864	95.49381764705882	84.20049024390244	63.49321818181818	down	0.1297	0.1771996385736292
FFA[FA22:1]	12.8640593220339	11.245917647058823	12.073887804878048	11.494081818181819	dynamic	0.4316	0.16245474072749114
MAG[FA18:2]	0.10663389830508474	0.12260588235294118	0.10400975609756098	0.09467272727272727	down	0.0577	0.17164534740322288
HCER[FA22:0]	0.534593220338983	0.4845529411764706	0.5254219512195122	0.5361	up	0.0845	0.004060593526580616
