MLR.clp.sc.ready.ignor.norm.qc.fillna.rl.mh.tsv
chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/2class_v2/MLR.clp.sc.ready.ignor.norm.qc.fillna.rl.tsv	/Users/m221138/RA_project/data/filled_qc_data/2class_v2/MLR.clp.sc.ready.ignor.norm.qc.fillna.mh.tsv
TAG52:3FA20:3	0.103648964651024	0.908971052631579	1.18146923076923
TAG49:1FA17:0	0.111303874173481	0.548173684210526	0.688338461538462
TAG56:7FA18:1	0.334332618272762	3.43934342105263	2.98586538461538
TAG50:2FA18:0	0.422677376737269	1.94743815789474	2.12533653846154
TAG44:2FA16:0	0.305546751849496	0.560318421052632	0.647628846153846
TAG44:3FA18:2	0.670086529727917	0.217126973684211	0.222922115384615
TAG47:0FA15:0	0.212846661135776	0.333967105263158	0.412880769230769
TAG54:7FA16:1	0.703288274724035	0.538503947368421	0.564
TAG52:3FA20:2	0.37570650242338	0.656757894736842	0.733217307692308
TAG52:5FA16:1	0.32061127148761	9.09626184210526	8.39674423076923
TAG51:2FA15:0	0.537685870808013	2.44983815789474	2.54394615384615
TAG54:7FA20:4	0.229809646840472	1.35126315789474	1.55773653846154
PE(P18:1/18:2)	0.442903946322091	1.89813552631579	1.79957115384615
TAG52:1FA16:1	0.409298756016438	0.428830263157895	0.471242307692308
TAG47:1FA15:0	0.136104915230093	0.387160526315789	0.486090384615385
TAG50:5FA14:0	0.468707774365183	0.754093421052632	0.678096153846154
TAG55:1FA16:0	0.234052864800987	0.956427631578947	0.749432692307692
TAG56:3FA18:0	0.954863541055419	0.430640789473684	0.427494230769231
TAG50:2FA14:0	0.622287822071575	14.7415092105263	15.3130615384615
TAG56:2FA18:1	0.948597464993566	1.74805263157895	1.67055769230769
TAG51:3FA18:2	0.60748324492633	4.18411842105263	4.43167884615385
PC(16:0/16:1)	0.131525359830779	9.15834210526316	11.3014942307692
TAG51:1FA16:0	0.143888398407856	2.74423947368421	3.32118846153846
TAG52:3FA18:1	0.699486839720786	187.937310526316	187.114659615385
TAG56:4FA18:1	0.488033499481423	2.56200394736842	2.35099038461538
TAG54:4FA20:1	0.475450032466935	0.337560526315789	0.316438461538462
TAG56:7FA18:0	0.327150870648894	0.260476315789474	0.2079
TAG54:4FA18:3	0.210262565937643	2.4348	2.13347884615385
TAG56:7FA20:3	0.719902573468569	0.693457894736842	0.713571153846154
PE(18:0/18:1)	0.881497040587419	1.89582236842105	1.93736538461538
TAG50:4FA14:1	0.665961360921346	0.715763157894737	0.752844230769231
TAG47:2FA18:2	0.363047088613238	0.278982894736842	0.310573076923077
TAG50:5FA18:1	0.838941403233805	0.207622368421053	0.200903846153846
TAG53:4FA18:0	0.745375983544007	1.11377631578947	1.11208461538462
PC(16:0/20:3)	0.130675802402299	58.6759605263158	65.8290961538462
TAG56:6FA18:2	0.867983205385477	2.58859210526316	2.56672692307692
PC(14:0/20:4)	0.197928219555924	3.59809868421053	3.92601730769231
PC(18:1/22:5)	0.400499682888656	1.31900394736842	1.29188653846154
LCER(24:1)	0.329095518091999	0.317098684210526	0.301251923076923
DAG(15:0/18:1)	0.33100085143759	0.117960526315789	0.13015
TAG45:1FA16:0	0.130688515570949	0.129527631578947	0.162638461538462
TAG56:4FA20:3	0.786376696830705	0.674886842105263	0.686461538461538
TAG60:10FA22:6	0.294804970820007	0.187543421052632	0.142834615384615
TAG54:5FA22:1	0.146735607073095	0.260686842105263	0.223361538461538
PE(16:0/22:6)	0.734889355137267	4.06811842105263	4.08920192307692
LPE(18:2)	0.144816184881029	0.485682894736842	0.441488461538462
TAG54:6FA20:4	0.251285027791282	8.2344302631579	9.46517884615385
TAG54:2FA18:1	0.505473964485759	35.2952078947368	31.7595596153846
TAG56:8FA16:1	0.275113245417564	0.324632894736842	0.259075
TAG58:9FA20:4	0.0876711833994095	0.723992105263158	0.873398076923077
PE(16:0/18:1)	0.257822909774182	0.837171052631579	0.952986538461538
DAG(16:1/16:1)	0.41261903501471	0.092225	0.100928846153846
PC(18:1/22:6)	0.355948939019017	3.41427434210526	3.22157596153846
TAG52:4FA20:2	0.800352759379439	0.248984210526316	0.244476923076923
TAG42:0FA16:0	0.851746458428287	1.20286052631579	1.06524038461538
TAG52:2FA20:1	0.211710849628512	0.547993421052632	0.622721153846154
TAG52:4FA16:1	0.390345792704492	22.9561526315789	21.5819403846154
TAG58:8FA22:5	0.256960081983675	0.885888157894737	0.765398076923077
TAG56:8FA16:0	0.25152827138383	1.19581710526316	0.932665384615385
FFA(20:2)	0.999544044194741	9.18120394736842	7.67131538461538
TAG46:3FA18:1	0.492013566024763	0.540107894736842	0.55875
TAG50:4FA20:4	0.0945121683737652	0.482759210526316	0.648644230769231
TAG53:2FA17:0	0.637872537880083	3.13665789473684	3.21353846153846
PE(18:1/18:2)	0.597299132688096	2.06231710526316	2.05795961538462
TAG51:1FA17:0	0.156014491275287	2.26731710526316	2.69744615384615
TAG54:2FA20:2	0.617722846378888	0.288494736842105	0.298955769230769
TAG56:6FA18:1	0.900576237834424	5.47654342105263	5.38106153846154
FFA(22:1)	0.127262766074335	12.0162842105263	12.6612846153846
LPC(16:1)	0.96853608710866	1.00928289473684	1.05133846153846
PC(14:0/20:3)	0.209714841896168	0.919661184210526	1.05480096153846
TAG48:3FA12:0	0.593821911316419	3.47242763157895	2.72788076923077
TAG54:6FA16:0	0.761138175593143	3.42996315789474	3.54478846153846
TAG46:0FA14:0	0.22320116657025	2.84096184210526	3.50487884615385
FFA(22:5)	0.207163952959096	4.50673157894737	4.62166730769231
TAG56:2FA20:1	0.920302334510015	0.366897368421053	0.343992307692308
TAG58:5FA18:1	0.963857284618277	0.192057894736842	0.193503846153846
TAG50:4FA20:3	0.199956930593972	0.120268421052632	0.141665384615385
TAG52:1FA20:0	0.100472583230741	0.310709210526316	0.369921153846154
PE(O18:0/22:5)	0.805978297453416	0.450402631578947	0.450384615384615
TAG53:7FA18:3	0.270224909257876	0.341893421052632	0.334946153846154
TAG50:3FA18:0	0.69935330092684	0.331294736842105	0.343761538461538
TAG46:3FA18:3	0.63570444031837	0.369781578947368	0.290128846153846
TAG54:7FA18:1	0.104819496958616	0.897086842105263	0.703744230769231
TAG55:4FA18:2	0.513476543505279	0.486097368421053	0.449653846153846
PE(P18:0/22:6)	0.227001512939336	7.52782631578947	6.92848076923077
