chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.hd4.ready.ignor.norm.qc.fillna.h.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.hd4.ready.ignor.norm.qc.fillna.r.tsv
100021136	0.575776577880389	0.958509090909091	1.18496610169492
100000882	0.636074189172783	1.10373636363636	1.16259491525424
409	0.00196993465406142	1.37493636363636	1.05354406779661
100002254	0.54184990775285	1.54805454545455	1.91711694915254
361	0.744518375488921	3.61163636363636	1.49502033898305
100019975	0.638336074711726	1.27309090909091	1.3264406779661
100000257	0.00868726397840585	1.6003	1.00727288135593
100001232	0.635082345758231	1.15919090909091	1.31759322033898
100001948	0.488454394599359	1.0879	1.00802203389831
100001073	0.639831255520647	0.633309090909091	1.2487186440678
100015637	0.676291019647766	1.06563636363636	1.13562033898305
100006360	0.827391678997644	4.52792727272727	3.6355813559322
1488	0.895592366397094	1.03135454545455	1.02327118644068
100002253	0.816498658656117	1.33358181818182	1.40807966101695
1023	0.435855300446453	1.09115454545455	1.01102372881356
100004284	0.995335435972969	3.56112727272727	6.79327288135593
100001251	0.807942938068118	0.886436363636364	1.20726440677966
362	error	1.53049090909091	1.25154576271186
100006620	0.8453627215023	0.973681818181818	1.17965084745763
111	0.0222578644237539	1.25854545454545	1.07297627118644
100009045	0.0415957234646419	0.935081818181818	1.0646593220339
100002927	0.964029713363535	1.22416363636364	1.31970508474576
100015641	0.0661442398131225	1.21943636363636	1.14426271186441
1114	0.871198796442991	0.865354545454545	1.28103728813559
100020409	0.12582485495607	2.27309090909091	1.24099152542373
158	0.7451939548875	1.02202727272727	1.11240508474576
1224	0.615848519830801	1.40164545454545	1.07473898305085
100001620	0.848458874148045	1.16701818181818	1.08326610169492
100020893	0.0264690003532204	1.14069090909091	1.02896949152542
100002458	0.4788956537423	0.993218181818182	1.17506779661017
100001112	0.87609887062334	1.262	1.2164406779661
100002953	0.0674038247626118	1.00056363636364	1.19765593220339
1141	0.0593559012801314	1.20669090909091	1.03983389830508
100015834	0.547583024167804	1.26210909090909	1.2396593220339
100004561	0.545092346018708	1.12912727272727	1.20458813559322
100020497	0.632582834874376	0.936354545454545	1.01174406779661
498	0.581996804595613	1.01660909090909	1.1161593220339
100006051	0.827519857751386	1.06022727272727	1.19775593220339
1668	0.0483086248814462	3.02819090909091	1.71772542372881
100004523	0.702049463905156	0.974236363636364	1.01951016949153
100001604	0.420920493808627	1.28091818181818	1.6227406779661
100001002	0.582789158293272	0.917918181818182	1.04100677966102
100001987	0.766175332736764	1.0366	2.44117966101695
100002462	error	1.21905454545455	1.05590169491525
466	0.85482316190843	1.42064545454545	1.36563898305085
100000665	0.0873174002794994	1.22330909090909	1.25249322033898
445	0.0629621671464584	1.35133636363636	1.34727118644068
2029	error	1.09778181818182	1.37547627118644
100006438	0.777004537366904	0.958236363636364	2.19594237288136
100001398	0.0114987817866627	2.74698181818182	1.3753813559322
235	0.856481788362953	1.3894	1.15343898305085
100000997	0.837406878333183	1.66807272727273	1.2617779661017
100002094	error	1.03564545454545	1.13021355932203
1052	0.495648073017265	1.0634	1.02062881355932
100020823	0.679757531479079	1.93008181818182	1.28477288135593
100001806	0.896950106216312	0.8895	1.96954745762712
100006092	0.701693438063026	1.51463636363636	1.41570508474576
100001415	0.427348620234313	1.22163636363636	1.0237406779661
100000008	0.552006256407819	1.36248181818182	1.03114576271186
565	0.575339931429523	0.933863636363636	1.05590677966102
100015851	0.793246967705054	0.997672727272727	1.16902203389831
100001866	0.561167132044594	1.24741818181818	1.05350169491525
100020546	0.936061004127162	1.01696363636364	1.86636440677966
100016110	0.957394021798934	0.840518181818182	0.94333220338983
100001254	0.736222497268293	1.08900909090909	1.15839322033898
100006260	0.691683721122347	1.45696363636364	1.10090169491525
826	0.721112814043664	1.13458181818182	1.0258186440678
100001872	0.798225671468124	1.63554545454545	1.2832813559322
