chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.lc.ready.ignor.norm.qc.fillna.h.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.lc.ready.ignor.norm.qc.fillna.r.tsv
HCER	0.606063894580481	2.74368181818182	2.76871186440678
PE	0.585557286301052	159.406890909091	158.090293220339
PC	0.652978231733504	1647.82463636364	1684.21679661017
DCER	0.396105359913182	1.11688181818182	1.02986440677966
DAG	0.845691836241107	27.3779	29.9864728813559
LCER	0.578304725870505	5.63326363636364	5.03118474576271
PI	0.537158059198439	45.5362545454545	42.983513559322
SM	0.633820400794019	471.073327272727	465.31373220339
CER	0.00583963329548673	4.23961818181818	3.97804406779661
CE	0.763528694807483	2670.06054545455	2733.93342372881
LPC	0.0599720446191057	121.479109090909	129.995689830508
LPE	0.583828166199384	4.41030909090909	4.33061525423729
MAG	0.0393315505413509	2.51809090909091	2.6779186440678
TAG	0.717131660373321	985.386590909091	1093.39315762712
FFA	0.812957482532684	1599.47472727273	1564.40915254237
