chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.m.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.r.tsv
LPE[FA20:1]	0.424909806983134	0.0279731707317073	0.0305949152542373
HCER[FA18:0]	0.208278755946584	0.0661634146341463	0.0732576271186441
PC[FA14:0]	0.477157261228844	17.4915365853659	17.0461186440678
SM[FA22:1]	0.556381656861456	33.4749780487805	34.139806779661
TAG[FA16:1]	0.869273016802619	155.174851219512	139.545213559322
TAG[FA18:1]	0.0971325394416239	1123.05531463415	1134.68457118644
DAG[FA14:0]	0.760692612379061	1.44606585365854	1.3528186440678
PC[FA20:2]	0.920605916770689	8.68464146341463	8.67586779661017
LPC[FA20:1]	0.0316589260070534	0.268909756097561	0.319793220338983
CE[FA24:1]	0.376120190740698	0.473875609756098	0.451357627118644
CE[FA24:0]	0.506198570768506	0.245336585365854	0.258506779661017
LCER[FA18:0]	0.268977113934846	0.129648780487805	0.138442372881356
CE[FA18:3]	0.52040031530137	47.7017024390244	48.5819644067797
LCER[FA22:1]	0.367178294186502	0.0639878048780488	0.0675559322033898
TAG[FA14:0]	0.98148825579974	91.4743707317073	87.6627457627119
PE[FA18:2]	0.283221840043492	22.5348634146341	23.8218711864407
LPC[FA16:0]	0.0890403871309051	67.6291317073171	74.6544457627119
LPC[FA17:0]	error	0.624126829268293	0.695689830508475
SM[FA24:0]	0.376218484402959	26.8196073170732	27.8537288135593
TAG[FA20:4]	0.326647997591054	64.1740731707317	54.8755525423729
DAG[FA20:3]	0.483644536214532	0.573092682926829	0.492383050847458
LPC[FA22:6]	0.351944497542649	0.311820731707317	0.361476271186441
MAG[FA15:0]	0.608563488510575	0.132209756097561	0.133445762711864
CER[FA18:0]	0.920295206166391	0.115126829268293	0.108493220338983
LCER[FA18:1]	0.139746969477548	0.252917073170732	0.266513559322034
PI[FA18:1]	0.397554057634093	7.61321219512195	7.92180677966102
FFA[FA24:0]	0.522877824030261	3.56383902439024	3.38406779661017
SM[FA14:0]	0.184575345377328	17.1802902439024	18.5405576271186
CE[FA18:2]	0.149695414565149	1323.6068	1385.21618644068
FFA[FA20:5]	0.516052502836786	8.73311463414634	8.7516
LPE[FA20:4]	0.901139336829709	0.406865853658537	0.396945762711864
CE[FA17:0]	0.747220118460748	6.71196829268293	7.02249491525424
CE[FA18:4]	0.542004485314881	0.947248780487805	1.02622542372881
HCER[FA24:0]	0.216753993393876	0.67500243902439	0.762340677966102
PC[FA22:5]	0.401027628967234	27.9604024390244	28.0701152542373
CER[FA22:1]	0.409098330058623	0.0468024390243902	0.0467423728813559
PC[FA20:4]	0.339859240066959	366.535212195122	346.223806779661
HCER[FA22:1]	0.838200350557974	0.053019512195122	0.0551983050847458
CER[FA20:0]	0.534072516898887	0.10469756097561	0.107345762711864
TAG[FA17:0]	0.909647401064306	16.3377048780488	15.5802694915254
Total[FA20:5]	0.407511418965847	68.0879731707317	85.8723355932203
FFA[FA22:1]	0.151533512112295	12.881243902439	11.9522271186441
MAG[FA18:2]	0.467104582253814	0.102580487804878	0.11278813559322
HCER[FA22:0]	0.206327908321518	0.491951219512195	0.559427118644068
MAG[FA18:1]	0.429283565348387	0.157946341463415	0.175445762711864
MAG[FA18:3]	0.946941317175164	0.0926317073170732	0.0937966101694915
TAG[FA20:1]	0.642737504750796	9.60776097560976	9.77054915254237
FFA[FA20:0]	0.920640326846058	11.6752926829268	11.6998237288136
SM[FA18:0]	0.774934194498832	31.9578512195122	31.6708983050847
TAG[FA22:6]	0.180452820289825	19.2284512195122	26.0902745762712
Total[FA24:0]	0.406383461240868	33.4321829268293	34.5792254237288
FFA[FA18:1]	0.27107618167823	132.449990243902	119.440074576271
CE[FA14:1]	0.8194516365738	1.05479024390244	1.10856440677966
DCER[FA22:0]	0.602706665954488	0.152453658536585	0.157072881355932
TAG[FA20:5]	0.409264766517157	9.28158780487805	12.9845915254237
LCER[FA16:0]	0.513016426564409	3.31043414634146	3.51067118644068
PE[FA20:4]	0.669527558953034	68.0728731707317	68.6508627118644
Total[FA12:0]	0.571590982675592	31.3089243902439	41.8426237288136
FFA[FA20:4]	0.18713712096587	5.61445365853659	5.25124406779661
LPC[FA20:4]	0.795651535411269	2.40001951219512	2.43090677966102
CE[FA15:0]	0.511551480613031	6.29022926829268	6.79306949152542
FFA[FA20:3]	0.357572021512257	2.31824634146341	2.18997288135593
LCER[FA24:0]	0.0410742050889391	0.156585365853659	0.195483050847458
LPC[FA18:0]	0.04324725237174	24.7877829268293	26.9666355932203
PC[FA20:5]	0.523514029544962	23.9228390243902	29.7186813559322
Total[FA16:0]	0.733814744153779	3249.38814634146	3230.13644067797
CE[FA14:0]	0.419499777333928	21.9598195121951	23.5306813559322
SM[FA20:0]	0.164924640424742	43.2918878048781	46.7519016949153
DAG[FA20:2]	0.578480356248587	0.242731707317073	0.223528813559322
FFA[FA24:1]	0.242285137296154	6.39955365853659	6.08465762711864
DAG[FA22:5]	0.331860590106881	0.314914634146341	0.313745762711864
CE[FA12:0]	0.310686970745203	0.722265853658537	0.872537288135593
LPE[FA16:0]	0.121548064275248	0.811646341463415	0.89851186440678
PC[FA16:1]	0.332435857755656	32.6059243902439	30.2380491525424
DAG[FA16:1]	0.659618951744753	3.13566829268293	2.68027627118644
FFA[FA22:4]	0.574534368617161	3.49363902439024	3.5072593220339
FFA[FA18:4]	0.595631026269749	3.12824634146341	3.09834915254237
