chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.h.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.l.tsv
LPE[FA20:1]	0.486095334923174	0.0361090909090909	0.0302529411764706
HCER[FA18:0]	0.740569302656844	0.0669909090909091	0.0688117647058824
PC[FA14:0]	3.24392591233639e-12	18.0758545454545	13.9982176470588
SM[FA22:1]	0.687920227621958	34.1290818181818	32.4187235294118
TAG[FA16:1]	0.891522979835279	132.967954545455	130.879129411765
TAG[FA18:1]	0.592988217013695	1012.17936363636	1058.28321176471
DAG[FA14:0]	0.207296576373813	1.42534545454545	1.05664705882353
PC[FA20:2]	5.59580126904923e-07	8.4063	7.85261764705882
LPC[FA20:1]	0.984126883763328	0.321509090909091	0.310017647058824
CE[FA24:1]	0.49622554538984	0.436963636363636	0.485647058823529
CE[FA24:0]	0.307265446066236	0.240390909090909	0.269947058823529
LCER[FA18:0]	0.365649210468055	0.145363636363636	0.131911764705882
CE[FA18:3]	error	51.1565363636364	39.5293588235294
LCER[FA22:1]	0.271202873564957	0.0753727272727273	0.0623470588235294
TAG[FA14:0]	0.156218567817345	88.9060727272727	67.5088235294118
PE[FA18:2]	error	22.5323272727273	20.0852117647059
LPC[FA16:0]	0.61843147625357	68.6465909090909	71.1601882352941
LPC[FA17:0]	0.814410099628396	0.635363636363636	0.665952941176471
SM[FA24:0]	0.123740544474266	29.7985	26.2764352941176
TAG[FA20:4]	0.805678247552977	53.7730636363636	55.7679117647059
DAG[FA20:3]	0.8093835597459	0.488072727272727	0.495488235294118
LPC[FA22:6]	0.201615734574812	0.312845454545455	0.400920588235294
MAG[FA15:0]	0.178135380668499	0.148218181818182	0.118776470588235
CER[FA18:0]	error	0.105909090909091	0.114617647058824
LCER[FA18:1]	0.209877139203344	0.274581818181818	0.248341176470588
PI[FA18:1]	error	9.77942727272727	6.93272941176471
FFA[FA24:0]	0.568087889886221	3.48769090909091	3.35974117647059
SM[FA14:0]	5.67605121778383e-15	18.8468818181818	16.0456823529412
CE[FA18:2]	error	1302.46460909091	1244.94536470588
FFA[FA20:5]	0.667890064766994	8.4483	8.64130588235294
LPE[FA20:4]	0.433549234646507	0.3825	0.405994117647059
CE[FA17:0]	error	7.1527	5.99645882352941
CE[FA18:4]	3.32848689181979e-110	1.16078181818182	0.736347058823529
HCER[FA24:0]	0.525586703707078	0.788854545454545	0.673070588235294
PC[FA22:5]	0.964509053594729	26.5801090909091	26.1739352941176
CER[FA22:1]	0.310016171931365	0.0503909090909091	0.0445176470588235
PC[FA20:4]	0.126579588401175	313.434327272727	362.933741176471
HCER[FA22:1]	0.257851933187762	0.0514909090909091	0.0489470588235294
CER[FA20:0]	0.543353892604759	0.109554545454545	0.101435294117647
TAG[FA17:0]	0.191893120273605	16.4314545454545	13.6427764705882
Total[FA20:5]	0.00957534746502097	82.4607090909091	73.2096705882353
FFA[FA22:1]	error	11.8414363636364	12.2386
MAG[FA18:2]	0.959702745867097	0.0999818181818182	0.101258823529412
HCER[FA22:0]	0.391990895220753	0.550718181818182	0.469629411764706
MAG[FA18:1]	0.347407975014657	0.143309090909091	0.161223529411765
MAG[FA18:3]	0.354776407866489	0.0976090909090909	0.0878294117647059
TAG[FA20:1]	0.627835369660683	8.54002727272727	8.8167
FFA[FA20:0]	0.940317603782571	10.9146545454545	11.1832470588235
SM[FA18:0]	0.402226552427508	29.2268909090909	31.1978823529412
TAG[FA22:6]	0.595497447530601	25.1460272727273	28.0347764705882
Total[FA24:0]	0.11898116869063	36.8759272727273	32.6474352941176
FFA[FA18:1]	error	105.671	125.715105882353
CE[FA14:1]	3.94018843832771e-10	1.46083636363636	0.785405882352941
DCER[FA22:0]	0.423500876158835	0.180063636363636	0.1386
TAG[FA20:5]	0.836482340828411	11.3694181818182	10.4784882352941
LCER[FA16:0]	0.238427714660817	3.91083636363636	3.21068823529412
PE[FA20:4]	0.447191100607069	66.0553181818182	72.8882529411765
Total[FA12:0]	0.0999800995292186	30.9950454545455	22.6380705882353
FFA[FA20:4]	0.194936252088279	4.90374545454545	5.49374705882353
LPC[FA20:4]	0.137322843744078	2.09907272727273	2.73192352941176
CE[FA15:0]	0.00901889099655878	6.95541818181818	5.37398823529412
FFA[FA20:3]	0.790800693417302	2.07582727272727	2.1748
LCER[FA24:0]	0.0524836165203597	0.231218181818182	0.162494117647059
LPC[FA18:0]	0.992483177119789	26.3925	25.9845647058824
PC[FA20:5]	0.0772622303609163	28.7829545454545	24.7502058823529
Total[FA16:0]	0.398184536488455	3125.95054545455	3026.26411764706
CE[FA14:0]	error	27.5549727272727	18.7189
SM[FA20:0]	0.0932036804682807	41.4019636363636	39.1041882352941
DAG[FA20:2]	0.58411343051062	0.2144	0.228905882352941
FFA[FA24:1]	0.946774226385093	6.27556363636364	6.20042352941176
DAG[FA22:5]	0.308814817656836	0.259436363636364	0.322
CE[FA12:0]	0.154692094491795	1.38062727272727	0.655405882352941
LPE[FA16:0]	0.991860412160122	0.881518181818182	0.829588235294118
PC[FA16:1]	error	32.3032272727273	27.2814529411765
DAG[FA16:1]	0.964222134464961	2.59140909090909	2.5153
FFA[FA22:4]	0.0171037079422958	3.03578181818182	3.19146470588235
FFA[FA18:4]	0.490808434673124	2.92225454545455	3.105
Total[FA26:0]	0.00105200379117394	0.513090909090909	0.460464705882353
Total[FA20:4]	0.183738930960229	663.243054545454	753.618194117647
