chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.lc.ready.ignor.norm.qc.fillna.l.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.lc.ready.ignor.norm.qc.fillna.m.tsv
HCER	0.711851649669622	2.46899411764706	2.50805853658537
PE	0.292610866578331	158.364747058824	151.946465853659
PC	0.627099648371527	1556.183	1668.17831707317
DCER	0.923141326022498	0.966794117647059	0.989124390243902
DAG	0.37171406480205	27.5720411764706	31.1195317073171
LCER	0.772829319330676	4.53324705882353	4.64345365853659
PI	0.603619032213925	40.8388411764706	43.7195829268293
SM	0.746344173085701	437.630247058824	450.198885365854
CER	0.501677376428108	3.67632941176471	3.8172243902439
CE	0.710051205374782	2508.89270588235	2644.23968292683
LPC	0.21241357908804	124.839876470588	117.954131707317
LPE	0.855004751338684	3.96287058823529	3.99181219512195
MAG	0.41977573365262	2.54314705882353	2.42877317073171
TAG	0.312797047424812	982.610805882353	1100.75999756098
FFA	0.722263307572689	1534.21682352941	1646.98041463415
