chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.hd4.ready.ignor.norm.qc.fillna.l.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.hd4.ready.ignor.norm.qc.fillna.r.tsv
100021136	0.616266132775001	1.24454117647059	1.18496610169492
100000882	0.532418517416212	1.03071176470588	1.16259491525424
409	0.679605277273273	1.08575294117647	1.05354406779661
100002254	0.151701855387039	3.48045294117647	1.91711694915254
361	0.336369239340952	1.36864117647059	1.49502033898305
100019975	error	1.02219411764706	1.3264406779661
100000257	0.486899511567827	1.25362352941176	1.00727288135593
100001232	0.682034068212118	1.09541764705882	1.31759322033898
100001948	0.388186453051974	0.956252941176471	1.00802203389831
100001073	error	1.0499	1.2487186440678
100015637	0.273121963796072	0.943441176470588	1.13562033898305
100006360	0.278316084869436	2.6319	3.6355813559322
1488	0.401288031425476	1.05550588235294	1.02327118644068
100002253	0.66624304225713	1.50980588235294	1.40807966101695
1023	0.281216681219432	0.940282352941176	1.01102372881356
100004284	0.254535960866802	3.64931176470588	6.79327288135593
100001251	0.0147650521859181	1.82364705882353	1.20726440677966
362	0.325200691291062	1.06497058823529	1.25154576271186
100006620	0.170409384866185	1.6283	1.17965084745763
111	0.941441757775965	1.28511764705882	1.07297627118644
100009045	0.873679762987603	1.11548823529412	1.0646593220339
100002927	0.778337422594102	1.53941764705882	1.31970508474576
100015641	0.818074207875041	1.04499411764706	1.14426271186441
1114	0.0589748869344595	1.3098	1.28103728813559
100020409	error	1.21717058823529	1.24099152542373
158	0.0775613209441683	0.952070588235294	1.11240508474576
1224	0.282910830678644	0.939323529411765	1.07473898305085
100001620	0.015646030642925	1.00619411764706	1.08326610169492
100020893	0.623383107753221	1.08369411764706	1.02896949152542
100002458	0.426646554762432	1.44766470588235	1.17506779661017
100001112	0.351491664481193	1.14198235294118	1.2164406779661
100002953	0.567185361227881	1.04519411764706	1.19765593220339
1141	error	0.942941176470588	1.03983389830508
100015834	0.228438023948539	1.03640588235294	1.2396593220339
100004561	0.572085037056281	1.11411764705882	1.20458813559322
100020497	0.709748923626433	1.23732352941176	1.01174406779661
498	0.569631118768494	1.12964117647059	1.1161593220339
100006051	0.0935428827919759	1.72620588235294	1.19775593220339
1668	0.596663971059498	1.4669	1.71772542372881
100004523	0.646430084538902	1.03267058823529	1.01951016949153
100001604	0.200083652658971	0.921658823529412	1.6227406779661
100001002	error	0.972276470588235	1.04100677966102
100001987	0.915019991788616	2.32394705882353	2.44117966101695
100002462	0.380475799513094	1.36875882352941	1.05590169491525
466	0.0662756152173414	0.849370588235294	1.36563898305085
100000665	0.47756061792132	1.09150588235294	1.25249322033898
445	0.207224352123332	1.10892352941176	1.34727118644068
2029	0.965533826027262	1.40209411764706	1.37547627118644
100006438	0.72792757286223	1.97418235294118	2.19594237288136
100001398	0.509913232407149	1.23378235294118	1.3753813559322
235	error	1.27081176470588	1.15343898305085
100000997	0.861930694072891	1.10313529411765	1.2617779661017
