#h.l
PC(18:0/18:2)	4.61169142342704e-05
LPC(15:0)	3.02537223415568e-07
PC(16:0/12:0)	1.03583000395233e-15
PE(18:0/20:4)	2.0225073695111e-05
PE(P18:0/18:1)	2.28678523089388e-57
TAG52:5FA22:5	1.3637357902572e-23
SM(26:0)	5.66837924255621e-238
TAG53:5FA18:1	2.48074967879064e-44
TAG54:4FA22:1	1.97958405346257e-34
SM(14:0)	4.3194749767335e-12
TAG48:5FA18:2	0.00927671429879287
CE(14:1)	2.99848340156739e-07
PE(P16:0/18:2)	0.000369989986737076
PI(18:0/18:2)	4.54973733942672e-37
TAG54:4FA18:1	2.95224221367557e-06
TAG48:3FA18:3	8.31180758125848e-06
FFA(18:0)	6.7608856866433e-27
PC(14:0/18:2)	3.32418691543217e-08
PC(18:0/20:3)	0.0111361190173308
PE(P18:0/18:2)	0.00646210150977683
PE(P16:0/18:1)	6.50028981403189e-11
CE(18:4)	2.53297852467486e-107
LCER(14:0)	1.64077066094477e-24
CE(20:2)	0.0279721229525996
#h.m
LCER(20:1)	0.000679269149480589
PC(16:0/12:0)	9.21795362052072e-05
TAG52:0FA16:0	4.25763663580658e-10
TAG54:0FA18:0	0.0431292570439289
PC(15:0/18:1)	1.0098073467885e-14
TAG47:2FA18:2	0.000443383517527095
TAG54:2FA18:1	4.60149089143045e-94
TAG53:7FA18:3	6.30122053661938e-09
TAG50:3FA18:0	0.000517146250208156
TAG47:0FA16:0	0.00121931483055366
PC(18:0/20:4)	9.92470175023734e-37
PC(18:0/18:0)	0.0047954276083407
TAG52:0FA18:0	1.60936361891352e-31
TAG47:2FA14:0	0.00162902240175245
TAG51:0FA16:0	3.57453866048189e-10
DCER(16:0)	8.61360795905409e-09
TAG49:0FA15:0	1.56416116778546e-11
TAG50:0FA14:0	1.36021703399148e-06
TAG55:7FA20:4	8.06417818804283e-08
CE(14:0)	0.000913288730466891
TAG54:1FA18:0	0.00104978298372007
#h.r
LCER(20:1)	0.1488135830468
LPC(18:2)	0.074986222062169
PC(16:0/18:2)	8.54975831524761e-05
#l.m
#l.r
PC(16:0/18:1)	9.8901845179419e-49
PC(18:0/18:2)	2.93078538198284e-124
TAG60:12FA22:6	7.79451574642765e-05
SM(16:0)	1.69850697544782e-14
TAG56:8FA20:5	2.39155013602196e-08
SM(22:0)	4.94448084740348e-246
TAG50:2FA18:2	2.60271447327326e-302
FFA(12:0)	0.00735856226811111
PC(16:0/20:5)	9.8755955635753e-09
TAG54:5FA16:1	7.53144970809761e-18
TAG52:4FA16:0	0.000653560630031168
TAG52:2FA18:1	2.19010128812564e-05
TAG54:5FA16:0	2.28564441044641e-81
PC(16:0/22:5)	1.01488152691096e-101
FFA(18:0)	6.2643854293684e-35
TAG44:1FA16:0	1.01987792185404e-10
PC(16:0/18:2)	0.0409047400255529
TAG56:7FA20:5	3.35956679755969e-63
#m.r
TAG52:3FA18:2	0.000111342270586896
