chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.lc.ready.ignor.norm.qc.fillna.h.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.lc.ready.ignor.norm.qc.fillna.m.tsv
HCER	0.815643419769977	2.74368181818182	2.50805853658537
PE	0.893760295724401	159.406890909091	151.946465853659
PC	0.532709949483063	1647.82463636364	1668.17831707317
DCER	0.354725783681584	1.11688181818182	0.989124390243902
DAG	0.921664672017752	27.3779	31.1195317073171
LCER	0.515086840677466	5.63326363636364	4.64345365853659
PI	0.491426928095299	45.5362545454545	43.7195829268293
SM	0.499663604225322	471.073327272727	450.198885365854
CER	0.169694620418272	4.23961818181818	3.8172243902439
CE	2.6961366374801e-09	2670.06054545455	2644.23968292683
LPC	0.618860999912117	121.479109090909	117.954131707317
LPE	0.508929534300997	4.41030909090909	3.99181219512195
MAG	0.100210031296578	2.51809090909091	2.42877317073171
TAG	0.876835469058384	985.386590909091	1100.75999756098
FFA	7.91859440694983e-05	1599.47472727273	1646.98041463415
