chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.sc.ready.ignor.norm.qc.fillna.l.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.sc.ready.ignor.norm.qc.fillna.m.tsv
TAG52:0FA20:0	error	0.306635294117647	0.428736585365854
TAG58:6FA22:5	error	0.340252941176471	0.316385365853659
TAG50:1FA20:1	error	0.136805882352941	0.206048780487805
TAG54:6FA20:3	error	0.553882352941176	0.635375609756098
CE(24:0)	error	0.269947058823529	0.245336585365854
LCER(22:0)	error	0.199694117647059	0.190117073170732
TAG48:4FA16:1	error	0.270817647058824	0.388987804878049
TAG51:4FA16:0	error	1.18513529411765	1.22698292682927
PC(16:0/18:1)	error	189.420535294118	198.489187804878
TAG50:3FA14:1	error	0.915717647058824	1.05570975609756
CE(17:0)	error	5.99645882352941	6.71196829268293
TAG56:6FA22:6	error	0.860652941176471	0.598724390243902
PC(18:1/16:1)	error	7.21580588235294	7.80104390243902
TAG53:3FA16:0	error	0.739252941176471	0.907236585365854
TAG54:4FA20:4	error	1.71537058823529	1.99513902439024
DAG(14:0/20:4)	error	0.0289147058823529	0.0400170731707317
CE(18:2)	error	1244.94536470588	1323.6068
DAG(14:1/18:1)	error	0.152411764705882	0.151768292682927
DCER(20:0)	error	0.0545647058823529	0.0515341463414634
LCER(20:1)	error	0.0326588235294118	0.0339487804878049
TAG54:3FA16:0	error	3.68215882352941	3.93418048780488
TAG48:3FA14:0	error	1.89027647058824	2.80503170731707
TAG56:1FA18:1	error	0.314829411764706	0.402109756097561
TAG58:9FA18:1	error	0.562152941176471	0.388780487804878
PE(P18:1/22:4)	error	0.844729411764706	0.81750487804878
TAG54:4FA16:0	error	4.73074705882353	5.43093414634146
PC(18:2/16:1)	error	10.6520588235294	12.040856097561
DAG(14:0/18:1)	error	0.335035294117647	0.430563414634146
TAG46:2FA14:1	error	0.330158823529412	0.542580487804878
TAG52:4FA20:0	error	0.457052941176471	0.509814634146341
PC(18:0/18:2)	error	158.761276470588	176.922892682927
PE(P16:0/22:4)	error	2.61911176470588	2.74349024390244
TAG50:4FA16:0	error	1.19980588235294	1.72780487804878
