chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.l.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.r.tsv
LPE[FA20:1]	0.110033235162482	0.0302529411764706	0.0305949152542373
HCER[FA18:0]	error	0.0688117647058824	0.0732576271186441
PC[FA14:0]	0.22691401155096	13.9982176470588	17.0461186440678
SM[FA22:1]	0.558439546338033	32.4187235294118	34.139806779661
TAG[FA16:1]	0.00965545031731196	130.879129411765	139.545213559322
TAG[FA18:1]	0.410332781547283	1058.28321176471	1134.68457118644
DAG[FA14:0]	0.13267739621102	1.05664705882353	1.3528186440678
PC[FA20:2]	0.984125446562909	7.85261764705882	8.67586779661017
LPC[FA20:1]	error	0.310017647058824	0.319793220338983
CE[FA24:1]	0.437831671970497	0.485647058823529	0.451357627118644
CE[FA24:0]	0.373575656725945	0.269947058823529	0.258506779661017
LCER[FA18:0]	0.716080154698318	0.131911764705882	0.138442372881356
CE[FA18:3]	0.168142756358373	39.5293588235294	48.5819644067797
LCER[FA22:1]	error	0.0623470588235294	0.0675559322033898
TAG[FA14:0]	error	67.5088235294118	87.6627457627119
PE[FA18:2]	error	20.0852117647059	23.8218711864407
LPC[FA16:0]	0.695900751549751	71.1601882352941	74.6544457627119
LPC[FA17:0]	0.402356477441559	0.665952941176471	0.695689830508475
SM[FA24:0]	0.934178471911225	26.2764352941176	27.8537288135593
TAG[FA20:4]	0.0118453987269203	55.7679117647059	54.8755525423729
DAG[FA20:3]	0.845506148964175	0.495488235294118	0.492383050847458
LPC[FA22:6]	0.930240875503289	0.400920588235294	0.361476271186441
MAG[FA15:0]	error	0.118776470588235	0.133445762711864
CER[FA18:0]	0.433363749337591	0.114617647058824	0.108493220338983
LCER[FA18:1]	0.23775531583607	0.248341176470588	0.266513559322034
PI[FA18:1]	0.390252816150357	6.93272941176471	7.92180677966102
FFA[FA24:0]	0.511321777334428	3.35974117647059	3.38406779661017
SM[FA14:0]	0.967204198523596	16.0456823529412	18.5405576271186
CE[FA18:2]	0.102275196858335	1244.94536470588	1385.21618644068
FFA[FA20:5]	error	8.64130588235294	8.7516
LPE[FA20:4]	0.61578354450826	0.405994117647059	0.396945762711864
CE[FA17:0]	0.176841168109464	5.99645882352941	7.02249491525424
CE[FA18:4]	0.456402745833572	0.736347058823529	1.02622542372881
HCER[FA24:0]	0.570456002528101	0.673070588235294	0.762340677966102
PC[FA22:5]	0.8829701907771	26.1739352941176	28.0701152542373
CER[FA22:1]	0.859815535031173	0.0445176470588235	0.0467423728813559
PC[FA20:4]	0.739943770839589	362.933741176471	346.223806779661
HCER[FA22:1]	0.758539082603225	0.0489470588235294	0.0551983050847458
CER[FA20:0]	0.307790066978064	0.101435294117647	0.107345762711864
TAG[FA17:0]	0.427652145423088	13.6427764705882	15.5802694915254
Total[FA20:5]	0.274318864118979	73.2096705882353	85.8723355932203
FFA[FA22:1]	0.413119283568821	12.2386	11.9522271186441
MAG[FA18:2]	0.740039630881356	0.101258823529412	0.11278813559322
HCER[FA22:0]	0.955204794876701	0.469629411764706	0.559427118644068
MAG[FA18:1]	0.899974593436994	0.161223529411765	0.175445762711864
MAG[FA18:3]	0.528733204486326	0.0878294117647059	0.0937966101694915
TAG[FA20:1]	0.296906278110092	8.8167	9.77054915254237
FFA[FA20:0]	0.327583941398996	11.1832470588235	11.6998237288136
SM[FA18:0]	0.45091375651517	31.1978823529412	31.6708983050847
TAG[FA22:6]	0.309813745178644	28.0347764705882	26.0902745762712
Total[FA24:0]	0.857561276673697	32.6474352941176	34.5792254237288
FFA[FA18:1]	0.336045493252203	125.715105882353	119.440074576271
CE[FA14:1]	0.313646874530548	0.785405882352941	1.10856440677966
DCER[FA22:0]	error	0.1386	0.157072881355932
TAG[FA20:5]	0.968030491230225	10.4784882352941	12.9845915254237
LCER[FA16:0]	0.788331583114057	3.21068823529412	3.51067118644068
PE[FA20:4]	0.466874460098275	72.8882529411765	68.6508627118644
Total[FA12:0]	0.0726714587651208	22.6380705882353	41.8426237288136
FFA[FA20:4]	0.294805476855544	5.49374705882353	5.25124406779661
LPC[FA20:4]	0.420341670207799	2.73192352941176	2.43090677966102
CE[FA15:0]	0.0954953090285111	5.37398823529412	6.79306949152542
FFA[FA20:3]	0.460858914079684	2.1748	2.18997288135593
LCER[FA24:0]	0.257792949872358	0.162494117647059	0.195483050847458
LPC[FA18:0]	0.989481418228184	25.9845647058824	26.9666355932203
PC[FA20:5]	5.28714554950086e-05	24.7502058823529	29.7186813559322
Total[FA16:0]	0.635062871783857	3026.26411764706	3230.13644067797
CE[FA14:0]	error	18.7189	23.5306813559322
SM[FA20:0]	0.0890155576479896	39.1041882352941	46.7519016949153
DAG[FA20:2]	0.574802166711396	0.228905882352941	0.223528813559322
FFA[FA24:1]	0.361151607988605	6.20042352941176	6.08465762711864
DAG[FA22:5]	0.486152121669444	0.322	0.313745762711864
CE[FA12:0]	0.283115541483703	0.655405882352941	0.872537288135593
LPE[FA16:0]	0.256469429804806	0.829588235294118	0.89851186440678
PC[FA16:1]	0.988765997058025	27.2814529411765	30.2380491525424
DAG[FA16:1]	0.802352370568457	2.5153	2.68027627118644
FFA[FA22:4]	0.802919014970562	3.19146470588235	3.5072593220339
FFA[FA18:4]	0.683236380741355	3.105	3.09834915254237
Total[FA26:0]	0.602848668311079	0.460464705882353	0.490840677966102
Total[FA20:4]	0.711100481519668	753.618194117647	719.866894915254
