chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.sc.ready.ignor.norm.qc.fillna.h.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.sc.ready.ignor.norm.qc.fillna.l.tsv
PC(18:0/18:0)	error	1.20343636363636	1.02045882352941
CE(18:3)	error	51.1565363636364	39.5293588235294
TAG51:4FA20:4	error	0.173409090909091	0.123011764705882
TAG56:4FA20:2	error	0.661063636363636	0.792994117647059
DAG(15:0/18:2)	error	0.324927272727273	0.120764705882353
TAG46:1FA16:0	error	6.81865454545455	3.28119411764706
DAG(16:0/16:0)	error	0.878518181818182	0.638570588235294
TAG54:5FA18:2	error	38.0739	44.7254705882353
TAG42:1FA12:0	error	0.484772727272727	0.316867647058824
DAG(18:1/20:2)	error	0.142554545454545	0.161441176470588
TAG52:7FA16:0	error	0.579345454545455	0.380370588235294
TAG55:5FA18:1	error	0.315563636363636	0.299352941176471
TAG52:2FA20:0	error	0.185154545454545	0.150217647058824
TAG46:1FA14:0	error	4.71856363636364	2.64277058823529
DAG(16:1/20:2)	error	0.0718454545454545	0.0674647058823529
TAG53:5FA18:1	error	8.99972727272727	9.14773529411765
CER(18:0)	error	0.105909090909091	0.114617647058824
CE(24:1)	error	0.436963636363636	0.485647058823529
PC(18:2/20:4)	error	9.72092727272727	9.82188823529412
PC(16:0/16:0)	error	16.3526909090909	14.5198
TAG50:6FA20:4	error	0.129772727272727	0.0947058823529412
TAG52:2FA18:0	error	16.5767363636364	14.1168705882353
TAG55:2FA18:1	error	0.544536363636364	0.424911764705882
CER(24:1)	error	0.5962	0.612629411764706
PE(18:0/18:2)	error	7.3598	6.73835882352941
TAG52:0FA18:0	error	4.99246363636364	3.69765882352941
TAG50:4FA14:0	error	3.97599090909091	3.93959411764706
TAG52:2FA20:2	error	0.488554545454545	0.426658823529412
TAG58:6FA18:0	error	0.257336363636364	0.280670588235294
TAG55:6FA20:4	error	0.381436363636364	0.383723529411765
PE(P18:0/22:4)	error	3.06449090909091	2.69821176470588
TAG51:2FA18:1	error	7.81418181818182	7.00002352941176
TAG50:2FA18:2	error	31.2606727272727	27.5227529411765
TAG53:3FA18:2	error	3.27451818181818	3.26776470588235
CER(24:0)	error	2.07490909090909	1.71373529411765
DCER(22:1)	error	0.0673363636363636	0.0626058823529412
TAG46:2FA12:0	error	2.28824545454545	1.203
SM(22:1)	error	34.1290818181818	32.4187235294118
TAG48:1FA16:0	error	25.6153909090909	16.1673294117647
TAG56:3FA18:2	error	0.587236363636364	0.469352941176471
DAG(18:2/22:5)	error	0.0798909090909091	0.108041176470588
TAG57:9FA22:6	error	3.47235454545455	3.53079411764706
PC(18:1/18:1)	error	13.8246545454545	12.4156352941176
TAG52:4FA22:4	error	0.136409090909091	0.1193
PI(16:0/20:3)	error	0.489527272727273	0.341488235294118
TAG50:2FA20:2	error	0.174981818181818	0.125835294117647
TAG58:10FA22:6	error	0.687018181818182	0.953782352941177
TAG54:4FA22:1	error	0.1846	0.230829411764706
TAG42:0FA14:0	error	0.792009090909091	0.342547058823529
TAG47:0FA17:0	error	0.259390909090909	0.159270588235294
TAG48:2FA16:1	error	6.35470909090909	4.56743529411765
TAG54:3FA20:2	error	2.03737272727273	2.31077058823529
TAG42:1FA16:1	error	0.236627272727273	0.121764705882353
FFA(18:4)	error	2.92225454545455	3.105
DAG(16:0/22:6)	error	0.0741818181818182	0.0593
SM(14:0)	error	18.8468818181818	16.0456823529412
TAG47:1FA16:1	error	0.294836363636364	0.1675
TAG51:4FA15:0	error	0.906981818181818	0.854217647058824
TAG47:2FA16:1	error	0.1362	0.0855
PC(16:0/22:6)	error	52.9872545454545	55.3103176470588
LPC(17:0)	error	0.635363636363636	0.665952941176471
TAG55:3FA18:1	error	0.8636	0.756605882352941
TAG46:3FA18:2	error	0.892572727272727	0.621076470588235
TAG53:1FA17:0	error	0.736409090909091	0.551523529411765
HCER(24:0)	error	0.788854545454545	0.673070588235294
TAG53:6FA20:4	error	0.154818181818182	0.133305882352941
TAG54:3FA18:2	error	18.9417818181818	18.7392117647059
TAG48:5FA18:3	error	0.176827272727273	0.133935294117647
TAG50:2FA14:1	error	0.356363636363636	0.233464705882353
TAG52:4FA22:1	error	0.127936363636364	0.1531
TAG52:1FA16:0	error	31.3942727272727	27.8933235294118
TAG54:4FA16:1	error	0.464	0.563958823529412
TAG48:4FA12:0	error	0.828427272727273	0.689511764705882
TAG58:7FA16:0	error	0.254109090909091	0.187723529411765
TAG51:2FA16:0	error	4.86577272727273	3.97875294117647
TAG56:6FA18:3	error	0.197981818181818	0.219482352941176
LCER(16:0)	error	3.91083636363636	3.21068823529412
TAG52:6FA18:2	error	1.33535454545455	1.58987058823529
DCER(22:2)	error	0.0977727272727273	0.0892294117647059
DAG(18:0/18:3)	error	0.0659909090909091	0.0552823529411765
TAG48:2FA18:2	error	9.04242727272727	6.32531176470588
LPC(20:1)	error	0.321509090909091	0.310017647058824
TAG54:8FA20:5	error	0.341218181818182	0.338082352941177
FFA(22:0)	error	5.79472727272727	6.15085294117647
TAG53:1FA18:1	error	1.22320909090909	0.978829411764706
TAG55:6FA20:3	error	2.14968181818182	2.1904
TAG51:4FA18:3	error	0.428663636363636	0.365270588235294
TAG58:10FA22:5	error	0.0857909090909091	0.111464705882353
CE(20:0)	error	0.773790909090909	0.811505882352941
FFA(14:1)	error	3.30755454545455	3.11261176470588
TAG48:1FA16:1	error	5.17107272727273	3.23737647058824
TAG53:2FA18:0	error	1.07754545454545	0.893311764705882
TAG54:6FA18:2	error	16.4414090909091	18.5849176470588
FFA(12:0)	error	9.27123636363636	9.47616470588235
TAG51:1FA18:0	error	0.890545454545455	0.577523529411765
DAG(18:1/22:6)	error	0.154827272727273	0.169717647058824
DAG(18:1/20:3)	error	0.233627272727273	0.246794117647059
CE(20:3)	error	29.7991363636364	27.1089823529412
TAG36:0FA12:0	error	0.0795	0.082214705882353
TAG53:2FA18:2	error	0.691227272727273	0.535147058823529
TAG53:1FA16:0	error	0.557209090909091	0.4004
DAG(16:0/18:3)	error	0.163818181818182	0.141217647058824
PC(18:2/22:6)	error	1.92770909090909	1.73374117647059
PC(16:0/20:5)	error	17.0889636363636	14.8496529411765
TAG47:2FA14:0	error	0.249563636363636	0.151623529411765
PE(18:0/22:6)	error	5.40639090909091	5.33119411764706
HCER(24:1)	error	0.461381818181818	0.460111764705882
PI(18:0/16:0)	error	0.162045454545455	0.146723529411765
TAG53:4FA18:2	error	3.1609	3.40208235294118
TAG54:5FA16:1	error	0.682827272727273	0.751958823529412
PE(16:0/20:4)	error	2.50420909090909	2.53982352941176
TAG52:1FA18:0	error	25.2833454545455	21.4498529411765
PI(18:1/18:1)	error	1.6796	1.12789411764706
TAG54:5FA20:4	error	10.5154636363636	11.0131647058824
DAG(18:1/18:2)	error	7.03440909090909	8.55958235294118
TAG56:8FA18:2	error	1.79826363636364	2.02921764705882
TAG56:8FA18:1	error	0.738881818181818	0.704529411764706
TAG46:1FA16:1	error	1.96244545454545	1.016
TAG53:5FA18:3	error	0.424518181818182	0.432317647058824
DAG(18:0/18:1)	error	0.681545454545455	0.601717647058824
TAG42:1FA14:0	error	0.300163636363636	0.172
DAG(16:0/18:0)	error	0.851027272727273	0.635488235294118
TAG46:2FA16:1	error	1.305	0.744341176470588
TAG56:7FA16:1	error	0.245972727272727	0.323494117647059
PC(18:0/22:5)	error	5.21955454545455	4.62978823529412
TAG47:1FA17:0	error	0.179154545454545	0.0984647058823529
TAG49:0FA17:0	error	0.682563636363636	0.393994117647059
PC(18:0/22:4)	error	1.95418181818182	1.81224117647059
TAG54:8FA22:6	error	0.407827272727273	0.473641176470588
LCER(20:0)	error	0.0786	0.0623764705882353
TAG44:1FA14:0	error	1.22005454545455	0.639876470588235
TAG50:3FA20:3	error	0.378745454545455	0.236764705882353
TAG54:5FA18:0	error	1.2892	1.10411176470588
TAG48:1FA14:0	error	16.1160272727273	10.7324117647059
TAG40:0FA12:0	error	0.327545454545455	0.151317647058824
DAG(16:0/20:4)	error	0.237190909090909	0.211564705882353
TAG52:6FA16:1	error	1.0237	1.25261764705882
TAG54:0FA16:0	error	0.381427272727273	0.1886
CE(22:1)	error	0.2335	0.242947058823529
DAG(16:0/20:3)	error	0.101454545454545	0.0834647058823529
TAG52:4FA20:3	error	1.17502727272727	1.02318823529412
TAG51:3FA16:1	error	0.7178	0.696229411764706
TAG52:3FA20:0	error	0.373745454545455	0.414758823529412
TAG47:1FA18:1	error	0.622136363636364	0.383352941176471
TAG53:3FA17:0	error	3.14024545454545	3.20130588235294
TAG54:7FA20:5	error	1.91091818181818	1.96010588235294
TAG56:6FA20:5	error	0.553754545454545	0.487482352941176
TAG50:0FA18:0	error	7.18930909090909	4.93681176470588
TAG50:4FA18:1	error	1.39255454545455	1.25925294117647
PE(18:1/22:5)	error	0.455527272727273	0.429911764705882
TAG46:2FA18:1	error	1.89876363636364	1.37369411764706
TAG47:1FA14:0	error	0.5899	0.350282352941176
PC(18:0/18:1)	error	35.1759181818182	27.3711529411765
TAG50:0FA16:0	error	17.2118636363636	12.7400294117647
TAG54:6FA22:6	error	1.66006363636364	1.18839411764706
TAG56:7FA20:4	error	4.86798181818182	5.22559411764706
TAG52:4FA16:0	error	57.3851636363636	66.1127705882353
TAG42:1FA16:0	error	0.544554545454546	0.270997058823529
LPC(22:6)	error	0.312845454545455	0.400920588235294
PI(18:0/20:2)	error	0.246731818181818	0.197288235294118
TAG52:2FA18:1	error	244.833009090909	252.739535294118
TAG52:3FA16:1	error	19.0466636363636	22.2233470588235
TAG51:3FA18:3	error	0.2026	0.131923529411765
TAG52:7FA18:1	error	0.248309090909091	0.199458823529412
DAG(18:1/22:5)	error	0.118072727272727	0.151582352941176
TAG56:5FA20:2	error	0.566527272727273	0.700447058823529
TAG46:1FA18:0	error	0.360945454545455	0.221697058823529
TAG56:5FA20:4	error	3.24547272727273	4.1468
TAG56:2FA20:0	error	0.852654545454545	0.759247058823529
DAG(18:0/18:2)	error	0.773772727272727	0.670058823529412
DAG(16:0/20:5)	error	0.0893727272727273	0.0632647058823529
PC(18:1/20:3)	error	6.53182727272727	5.60024117647059
DAG(14:1/16:0)	error	0.101927272727273	0.122805882352941
TAG48:5FA18:2	error	0.179109090909091	0.1327
TAG54:3FA18:0	error	19.6442	19.1851529411765
TAG49:3FA16:0	error	0.249672727272727	0.171482352941176
TAG49:3FA16:1	error	0.345581818181818	0.2988
FFA(20:0)	error	10.9146545454545	11.1832470588235
PE(P18:1/18:1)	error	0.710027272727273	0.590429411764706
TAG54:8FA20:4	error	0.1895	0.169994117647059
CE(14:1)	error	1.46083636363636	0.785405882352941
SM(20:1)	error	7.5708	8.08794117647059
TAG51:0FA16:0	error	0.781654545454545	0.488711764705882
DCER(16:0)	error	0.104772727272727	0.0824411764705882
TAG56:6FA18:0	error	1.05176363636364	1.26006470588235
TAG48:4FA18:1	error	0.336690909090909	0.264735294117647
TAG50:1FA16:0	error	101.300745454545	82.9322764705882
TAG52:5FA14:0	error	0.440163636363636	0.378270588235294
PE(P16:0/18:2)	error	2.42498181818182	2.13895294117647
PE(P18:0/20:5)	error	2.98583636363636	2.27994117647059
CE(18:0)	error	38.7644727272727	33.7942529411765
PI(18:0/20:4)	error	20.7514272727273	21.8127294117647
TAG49:1FA14:0	error	0.481590909090909	0.290752941176471
PE(O16:0/20:4)	error	0.832772727272727	0.995341176470588
TAG53:3FA18:0	error	7.91500909090909	7.88411764705882
TAG56:5FA20:3	error	1.68375454545455	1.89077058823529
TAG48:0FA14:0	error	2.71638181818182	1.62665882352941
FFA(17:0)	error	221.184745454545	77.7936588235294
TAG50:5FA20:5	error	0.206254545454545	0.152870588235294
PC(16:0/14:0)	error	2.28730909090909	1.33219411764706
TAG48:2FA18:0	error	0.501636363636364	0.288423529411765
TAG50:5FA18:2	error	0.748163636363636	0.650352941176471
TAG52:7FA20:5	error	0.213854545454545	0.183017647058824
TAG48:1FA18:0	error	1.40506363636364	0.857452941176471
TAG56:6FA22:4	error	0.909672727272727	1.09629411764706
TAG52:2FA16:1	error	4.13355454545455	4.07796470588235
TAG49:0FA15:0	error	0.430481818181818	0.246229411764706
TAG46:1FA12:0	error	3.89911818181818	1.91345294117647
TAG51:3FA15:0	error	2.33197272727273	2.26282941176471
TAG54:7FA18:3	error	2.57459090909091	2.96587058823529
TAG57:2FA18:1	error	0.399772727272727	0.476611764705882
PC(16:0/20:1)	error	0.968409090909091	0.883255882352941
TAG38:0FA12:0	error	0.139709090909091	0.107923529411765
TAG49:0FA18:0	error	0.439181818181818	0.231070588235294
TAG51:2FA16:1	error	0.709836363636364	0.601023529411765
TAG54:3FA18:1	error	99.3428272727273	119.073717647059
TAG54:3FA20:3	error	0.611345454545455	0.540647058823529
TAG58:7FA18:0	error	0.291545454545455	0.300541176470588
DCER(24:1)	error	0.171509090909091	0.151758823529412
DAG(16:1/18:1)	error	0.7632	0.788423529411765
LPE(20:1)	error	0.0361090909090909	0.0302529411764706
DAG(14:0/14:0)	error	0.0386636363636364	0.0212058823529412
TAG48:2FA14:1	error	2.69711818181818	1.65055882352941
TAG56:9FA18:3	error	0.264836363636364	0.278217647058824
PE(18:0/18:0)	error	0.391536363636364	0.390347058823529
TAG50:3FA16:1	error	20.0568545454545	19.3668529411765
TAG51:1FA18:1	error	3.6185	2.65731764705882
TAG52:1FA18:1	error	37.9102	36.1927764705882
PI(18:0/18:2)	error	5.87242727272727	4.91247647058823
TAG49:1FA15:0	error	2.35597272727273	1.50243529411765
PE(P18:1/20:4)	error	8.89865454545455	10.1580470588235
TAG51:0FA17:0	error	0.506054545454545	0.313541176470588
TAG48:3FA16:0	error	2.33427272727273	1.49954705882353
CE(12:0)	error	1.38062727272727	0.655405882352941
TAG53:1FA18:0	error	0.765654545454545	0.517335294117647
CE(18:1)	error	525.505154545455	469.405341176471
PE(P18:0/20:4)	error	22.6856454545455	24.8864411764706
TAG54:3FA18:3	error	0.536554545454545	0.421741176470588
TAG54:4FA18:1	error	79.7921454545454	97.7090941176471
TAG58:8FA20:4	error	0.447890909090909	0.4693
PE(18:0/22:4)	error	1.02361818181818	0.912529411764706
TAG44:2FA18:1	error	0.425218181818182	0.322447058823529
PE(16:0/20:3)	error	0.289727272727273	0.202535294117647
TAG46:2FA14:0	error	1.75721818181818	1.07678823529412
PE(18:2/16:1)	error	0.305663636363636	0.281829411764706
TAG56:4FA16:0	error	0.291490909090909	0.275258823529412
DAG(18:1/20:4)	error	0.631127272727273	0.665864705882353
TAG52:3FA18:0	error	2.9887	2.64355882352941
TAG58:10FA20:5	error	0.257190909090909	0.203641176470588
PC(18:0/18:3)	error	2.22671818181818	1.51238823529412
TAG55:7FA18:1	error	1.09592727272727	1.02224117647059
TAG60:11FA22:5	error	0.0986454545454546	0.103835294117647
DAG(18:2/20:3)	error	0.152990909090909	0.165229411764706
TAG40:0FA16:0	error	0.4294	0.231194117647059
TAG54:5FA16:0	error	5.15963636363636	5.14706470588235
TAG58:6FA22:4	error	0.287190909090909	0.367758823529412
TAG56:4FA18:2	error	0.9342	1.01628823529412
PE(O16:0/22:5)	error	0.485354545454545	0.511873529411765
PE(O18:0/22:6)	error	1.12596363636364	1.12898823529412
SM(18:1)	error	9.32162727272727	10.9221176470588
TAG51:5FA18:3	error	0.176236363636364	0.161823529411765
