chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/2class/MLR.clp.sc.ready.ignor.norm.qc.fillna.r.tsv	/Users/m221138/RA_project/data/filled_qc_data/2class/MLR.clp.sc.ready.ignor.norm.qc.fillna.other.tsv
TAG52:0FA20:0	0.668856856812938	0.389472881355932	0.41644347826087
TAG58:6FA22:5	0.575313142221968	0.344150847457627	0.31864347826087
TAG50:1FA20:1	0.81466016342443	0.185281355932203	0.188972463768116
TAG54:6FA20:3	0.960730916344507	0.578925423728814	0.590936231884058
CE(24:0)	error	0.258506779661017	0.250611594202899
LCER(22:0)	0.0372916731256965	0.236242372881356	0.206549275362319
TAG48:4FA16:1	error	0.346157627118644	0.351014492753623
TAG51:4FA16:0	0.576782641396633	1.2264186440678	1.21626666666667
PC(16:0/18:1)	0.955462836747391	202.387127118644	198.608098550725
TAG50:3FA14:1	error	0.976572881355932	1.02566811594203
CE(17:0)	0.903244569542954	7.02249491525424	6.60594492753623
TAG56:6FA22:6	0.950435212384714	0.805052542372881	0.716504347826087
PC(18:1/16:1)	0.572277544766232	7.47060847457627	7.69960869565217
TAG53:3FA16:0	0.507858456272022	0.87261186440678	0.851508695652174
TAG54:4FA20:4	0.593689878843859	1.69132542372881	1.89705507246377
DAG(14:0/20:4)	0.126897882695701	0.0300466101694915	0.0374094202898551
CE(18:2)	0.112952035326166	1385.21618644068	1300.85595217391
DAG(14:1/18:1)	0.930781477095627	0.148618644067797	0.15083768115942
DCER(20:0)	0.0796267602991956	0.0597254237288136	0.0534652173913043
LCER(20:1)	0.293196094449617	0.0369050847457627	0.0347913043478261
TAG54:3FA16:0	0.663047084520874	3.84783898305085	3.77424492753623
TAG48:3FA14:0	error	2.60826101694915	2.5219231884058
TAG56:1FA18:1	0.649225042607025	0.382764406779661	0.40153768115942
TAG58:9FA18:1	0.627164907368761	0.578016949152542	0.446947826086956
PE(P18:1/22:4)	0.393100205518652	0.86073220338983	0.840369565217391
TAG54:4FA16:0	0.987489197776561	4.97276271186441	5.13349565217391
PC(18:2/16:1)	0.696740290542172	12.0976542372881	11.5895971014493
DAG(14:0/18:1)	0.768351510650775	0.416240677966102	0.404071014492754
TAG46:2FA14:1	0.976174645832411	0.43188813559322	0.5026
TAG52:4FA20:0	0.302850563602165	0.519557627118644	0.478011594202899
PC(18:0/18:2)	0.228970480152913	184.322423728814	174.427495652174
PE(P16:0/22:4)	error	2.80047966101695	2.75372173913043
TAG50:4FA16:0	0.603062757116981	1.52302711864407	1.54106956521739
DAG(18:1/20:1)	0.674407344613372	0.104896610169492	0.100560869565217
LPC(15:0)	0.0704264057160781	0.197710169491525	0.181650724637681
TAG48:3FA18:2	0.192500707429053	6.65219661016949	5.38493623188406
TAG52:6FA22:6	0.511390912854189	0.412005084745763	0.384757971014493
TAG56:7FA18:3	0.834132713470638	0.380276271186441	0.372924637681159
PC(18:0/22:6)	0.915102543584847	13.0204	12.6990753623188
SM(26:1)	0.788292319552826	0.550320338983051	0.546891304347826
TAG48:2FA14:0	1.4239667290127e-89	10.6841898305085	10.7305637681159
TAG48:3FA18:1	0.149069890021941	4.59306610169492	3.10608115942029
DAG(16:1/18:2)	0.741703608959549	0.886728813559322	0.940452173913043
TAG53:6FA18:3	0.426722062640035	2.84253220338983	2.84670869565217
PC(16:0/12:0)	0.317085833651072	0.5606	0.493057971014493
TAG51:5FA18:2	error	0.2469	0.204960869565217
PE(P16:0/20:4)	0.48961768071779	10.2864423728814	10.1042927536232
TAG49:1FA16:1	0.970869497193361	0.280283050847458	0.314995652173913
TAG56:5FA20:1	0.151647664672207	0.472513559322034	0.386369565217391
LPE(18:0)	0.119864628626772	1.14136949152542	1.08669275362319
FFA(20:4)	0.11279863686124	5.25124406779661	5.47141304347826
TAG46:1FA14:1	0.56862143452423	1.09680508474576	1.21285942028986
TAG46:3FA14:0	error	0.285201694915254	0.255710144927536
PE(P18:1/22:5)	0.689662670264617	0.907894915254237	0.898485507246377
TAG50:1FA14:0	0.635640686407809	3.24579491525424	3.2008347826087
TAG56:8FA20:4	0.531554298257026	2.26337966101695	2.41944637681159
TAG56:4FA20:1	0.312107311956659	1.12107627118644	0.970363768115942
MAG(18:3)	0.84168137416088	0.0937966101694915	0.0922420289855072
PE(18:0/20:4)	2.04983914113346e-163	15.6206169491525	16.1418115942029
TAG53:2FA18:1	0.781968291892312	6.11649322033898	6.11718405797101
TAG54:7FA22:5	0.541945122173138	0.257815254237288	0.24656231884058
TAG60:12FA22:6	error	0.266303389830508	0.209475362318841
PC(18:0/20:2)	0.761627999569711	1.69016610169492	1.67155942028986
LPC(18:2)	0.0355450714198802	8.52389661016949	7.43222463768116
PC(15:0/18:2)	0.368645427322472	1.24505084745763	1.13218405797101
DAG(18:1/18:1)	0.671938614556593	3.88807288135593	3.73214637681159
TAG56:4FA22:4	0.553086634900734	0.158579661016949	0.184027536231884
TAG56:9FA20:5	0.541094852911102	0.819157627118644	0.533994202898551
TAG49:2FA14:0	0.757918541882579	0.418501694915254	0.433976811594203
PC(16:0/18:3)	0.379053896726418	7.25939830508475	6.57964927536232
LPE(22:5)	0.63232591933466	0.151779661016949	0.149915942028986
TAG54:6FA20:5	0.716374746180134	2.80850338983051	2.28767826086957
TAG56:7FA22:6	0.904239623670776	5.9762593220339	5.0876884057971
TAG51:4FA16:1	0.814295044193752	0.285681355932203	0.294440579710145
TAG52:5FA20:5	0.951321387670548	0.691398305084746	0.616623188405797
SM(20:0)	0.102478307437721	46.7519016949153	41.9588434782609
