chemID	r_mean	l_mean	m_mean	h_mean	monotonic_status
HCER	2.7687118644067796	2.4689941176470587	2.508058536585366	2.7436818181818183	dynamic
PE	158.090293220339	158.36474705882353	151.94646585365854	159.40689090909092	stable
PC	1684.2167966101695	1556.183	1668.1783170731708	1647.8246363636365	dynamic
DCER	1.029864406779661	0.9667941176470588	0.9891243902439024	1.116881818181818	dynamic
DAG	29.986472881355933	27.572041176470588	31.119531707317073	27.3779	dynamic
LCER	5.031184745762712	4.533247058823529	4.643453658536585	5.633263636363636	dynamic
PI	42.983513559322034	40.83884117647059	43.71958292682927	45.53625454545455	stable
SM	465.3137322033898	437.63024705882356	450.19888536585364	471.0733272727273	stable
CER	3.9780440677966102	3.676329411764706	3.8172243902439025	4.239618181818182	dynamic
CE	2733.9334237288135	2508.892705882353	2644.239682926829	2670.0605454545457	dynamic
LPC	129.99568983050847	124.83987647058824	117.95413170731707	121.47910909090909	stable
LPE	4.330615254237288	3.9628705882352944	3.9918121951219514	4.410309090909091	dynamic
MAG	2.6779186440677964	2.5431470588235294	2.4287731707317075	2.518090909090909	stable
TAG	1093.3931576271186	982.6108058823529	1100.7599975609755	985.386590909091	dynamic
FFA	1564.4091525423728	1534.2168235294118	1646.9804146341464	1599.4747272727273	dynamic
