chemID	r_mean	l_mean	m_mean	h_mean	monotonic_status
LPE[FA20:1]	0.030594915254237288	0.030252941176470587	0.02797317073170732	0.03610909090909091	dynamic
HCER[FA18:0]	0.07325762711864407	0.06881176470588235	0.06616341463414634	0.06699090909090909	stable
PC[FA14:0]	17.046118644067796	13.998217647058823	17.491536585365854	18.075854545454547	dynamic
SM[FA22:1]	34.139806779661015	32.418723529411764	33.474978048780486	34.12908181818182	stable
TAG[FA16:1]	139.54521355932204	130.8791294117647	155.1748512195122	132.96795454545455	stable
TAG[FA18:1]	1134.6845711864407	1058.2832117647058	1123.0553146341463	1012.1793636363636	stable
DAG[FA14:0]	1.3528186440677965	1.0566470588235295	1.4460658536585367	1.4253454545454545	dynamic
PC[FA20:2]	8.67586779661017	7.852617647058824	8.684641463414634	8.4063	stable
LPC[FA20:1]	0.31979322033898305	0.3100176470588235	0.26890975609756096	0.3215090909090909	stable
CE[FA24:1]	0.4513576271186441	0.48564705882352943	0.47387560975609755	0.4369636363636364	stable
CE[FA24:0]	0.2585067796610169	0.26994705882352943	0.24533658536585365	0.2403909090909091	stable
LCER[FA18:0]	0.13844237288135594	0.13191176470588234	0.12964878048780487	0.14536363636363636	stable
CE[FA18:3]	48.58196440677966	39.529358823529414	47.70170243902439	51.15653636363636	stable
LCER[FA22:1]	0.06755593220338983	0.062347058823529415	0.06398780487804878	0.07537272727272727	stable
TAG[FA14:0]	87.66274576271186	67.50882352941177	91.47437073170732	88.90607272727273	dynamic
PE[FA18:2]	23.821871186440678	20.085211764705882	22.534863414634145	22.532327272727272	stable
LPC[FA16:0]	74.65444576271186	71.16018823529411	67.62913170731707	68.6465909090909	stable
LPC[FA17:0]	0.6956898305084745	0.6659529411764706	0.6241268292682927	0.6353636363636364	stable
SM[FA24:0]	27.85372881355932	26.276435294117647	26.81960731707317	29.7985	stable
TAG[FA20:4]	54.87555254237288	55.76791176470588	64.1740731707317	53.77306363636364	stable
DAG[FA20:3]	0.49238305084745765	0.4954882352941176	0.5730926829268292	0.48807272727272727	stable
LPC[FA22:6]	0.36147627118644066	0.40092058823529414	0.31182073170731706	0.31284545454545454	dynamic
MAG[FA15:0]	0.1334457627118644	0.11877647058823529	0.13220975609756097	0.1482181818181818	stable
CER[FA18:0]	0.10849322033898305	0.11461764705882353	0.11512682926829268	0.10590909090909091	stable
LCER[FA18:1]	0.2665135593220339	0.24834117647058823	0.2529170731707317	0.2745818181818182	stable
PI[FA18:1]	7.921806779661017	6.932729411764706	7.613212195121951	9.779427272727272	dynamic
FFA[FA24:0]	3.3840677966101693	3.3597411764705885	3.563839024390244	3.487690909090909	stable
SM[FA14:0]	18.540557627118645	16.045682352941178	17.18029024390244	18.846881818181817	stable
CE[FA18:2]	1385.216186440678	1244.9453647058824	1323.6068	1302.464609090909	stable
FFA[FA20:5]	8.7516	8.641305882352942	8.733114634146341	8.4483	stable
LPE[FA20:4]	0.3969457627118644	0.40599411764705884	0.40686585365853656	0.3825	stable
CE[FA17:0]	7.022494915254237	5.996458823529411	6.7119682926829265	7.1527	stable
CE[FA18:4]	1.0262254237288135	0.7363470588235294	0.9472487804878049	1.1607818181818181	dynamic
HCER[FA24:0]	0.7623406779661017	0.6730705882352941	0.6750024390243903	0.7888545454545455	stable
PC[FA22:5]	28.070115254237287	26.173935294117648	27.96040243902439	26.58010909090909	stable
CER[FA22:1]	0.04674237288135593	0.04451764705882353	0.04680243902439024	0.05039090909090909	stable
PC[FA20:4]	346.223806779661	362.9337411764706	366.53521219512197	313.4343272727273	stable
HCER[FA22:1]	0.05519830508474576	0.04894705882352941	0.05301951219512195	0.05149090909090909	stable
CER[FA20:0]	0.10734576271186441	0.10143529411764705	0.10469756097560975	0.10955454545454546	stable
TAG[FA17:0]	15.580269491525424	13.642776470588235	16.33770487804878	16.431454545454546	stable
Total[FA20:5]	85.87233559322034	73.2096705882353	68.08797317073171	82.46070909090909	stable
FFA[FA22:1]	11.952227118644068	12.2386	12.881243902439024	11.841436363636364	stable
MAG[FA18:2]	0.11278813559322035	0.10125882352941176	0.10258048780487805	0.09998181818181819	stable
HCER[FA22:0]	0.5594271186440678	0.4696294117647059	0.4919512195121951	0.5507181818181818	stable
MAG[FA18:1]	0.1754457627118644	0.1612235294117647	0.15794634146341463	0.1433090909090909	stable
MAG[FA18:3]	0.09379661016949152	0.08782941176470588	0.09263170731707317	0.09760909090909091	stable
TAG[FA20:1]	9.770549152542372	8.8167	9.607760975609756	8.540027272727272	stable
FFA[FA20:0]	11.69982372881356	11.183247058823529	11.675292682926829	10.914654545454546	stable
SM[FA18:0]	31.670898305084744	31.197882352941175	31.957851219512197	29.22689090909091	stable
TAG[FA22:6]	26.090274576271188	28.034776470588234	19.228451219512195	25.146027272727274	dynamic
Total[FA24:0]	34.579225423728815	32.64743529411765	33.43218292682927	36.875927272727274	stable
FFA[FA18:1]	119.44007457627119	125.71510588235294	132.44999024390245	105.671	dynamic
CE[FA14:1]	1.108564406779661	0.7854058823529412	1.054790243902439	1.4608363636363637	dynamic
DCER[FA22:0]	0.1570728813559322	0.1386	0.15245365853658538	0.18006363636363637	stable
TAG[FA20:5]	12.98459152542373	10.478488235294117	9.281587804878049	11.369418181818181	dynamic
LCER[FA16:0]	3.510671186440678	3.2106882352941177	3.3104341463414633	3.9108363636363634	stable
PE[FA20:4]	68.6508627118644	72.88825294117648	68.07287317073171	66.05531818181818	stable
Total[FA12:0]	41.84262372881356	22.638070588235294	31.308924390243902	30.995045454545455	dynamic
