	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
FFA[FA24:0]	3.2076	3.2744	2.3742	2.7061	2.58	3.085	3.1904	3.5297	3.159	2.8203	3.3715	3.3496	3.1003	2.9831	3.4964	3.5819	3.5671	3.3726	3.5387	5.8511	3.7203	3.6341	4.785	2.3996	2.7978	4.3036	2.435	3.6925	3.4703	2.8349	3.4103	3.1576	2.65	4.6469	5.8881	4.1372	3.3333	3.7984	3.7285	3.4582	2.4687	2.3357	2.8105	2.879	2.6681	2.4949	2.6321	3.6074	3.1715	2.9441	3.3792	3.6048	3.4498	4.7071	2.4625	3.6793	3.2722	3.6947	4.9778
SM[FA14:0]	11.2003	17.2899	11.203	19.8428	20.4131	15.1006	17.5658	11.3027	14.5543	16.139	10.9324	11.0141	16.0331	16.9157	19.7137	19.758	15.5705	18.7416	18.1634	21.0576	21.007	17.6273	18.5214	17.1649	15.3847	16.2902	25.6736	13.5204	13.619000000000002	22.466	23.2831	21.6865	25.2922	21.8562	18.5077	11.1973	12.8369	31.2369	26.2139	14.2221	38.6449	19.563	45.2884	26.5743	22.4575	14.4761	14.6378	11.2922	11.380999999999998	14.4752	15.1165	17.2081	14.5333	18.6918	18.8657	22.4661	25.8766	22.855	9.3705
CE[FA18:2]	867.3445	1744.53	979.9751	1580.875	1538.082	1379.616	1717.98	1065.562	1354.546	1422.517	986.5347	987.4986	1176.879	1265.99	1610.716	1555.507	1198.702	1313.8429999999996	1362.993	1140.505	1661.112	1566.474	1542.221	1630.3470000000002	1566.967	1549.516	2020.036	1170.573	1261.112	1349.352	1760.671	1698.703	1533.356	1553.546	1397.152	1249.776	1262.816	1674.0870000000002	1531.96	1019.869	1767.261	1197.737	1788.186	1303.38	1365.869	1049.748	922.2839	905.6632	1156.087	1528.085	1656.884	1390.27	1267.018	1580.531	1206.357	1344.747	1533.0279999999998	1225.637	1289.141
FFA[FA20:5]	7.7738	9.5667	8.1207	6.7399	6.4731	9.7149	9.7753	10.5329	10.6484	7.8246	10.2967	10.0726	7.4414	7.8121	10.1577	10.8371	9.535	8.0852	11.2251	13.0809	11.1017	8.1147	10.3271	6.8831	7.3964	9.9262	4.9684	10.0659	8.7298	6.6486	7.1396	7.4748	7.5066	9.2033	8.2365	6.9715	7.3587	8.467	9.7197	10.7344	8.5208	7.3136	9.469	8.9807	9.4416	6.1903	6.7628	9.9985	8.4456	7.1044	7.4253	6.7492	5.6439	10.2084	9.2723	11.163	10.0873	9.1537	11.7259
LPE[FA20:4]	0.3201	0.7316	0.3522	0.3591	0.317	0.2915	0.3057	0.2184	0.2569	0.2775	0.3823	0.2587	0.4977	0.4054	0.3876	0.3448	0.6291	0.4275	0.4453	0.555	0.3369	0.7548	0.6007	0.3198	0.3282	0.3407	0.3883	0.426	0.4525	0.4996	0.6523	0.4057	0.2986	0.2843	0.2448	0.1991	0.2144	0.4032	0.4206	0.5469	0.5136	0.5264	0.3512	0.2816	0.3291	0.2563	0.2825	0.424	0.2213	0.2377	0.2306	0.4745	0.5564	0.7442	0.3709	0.4572	0.4937	0.3174	0.4704
CE[FA17:0]	3.3255	9.2897	5.8147	4.629	5.4805	5.1134	5.6939	4.9592	6.9349	6.9077	4.4921	5.4436	5.7578	4.5782	5.9856	6.57	7.1527	7.0494	6.7332	3.8015	4.7219	7.8879	7.659	8.6654	7.9564	9.1053	10.0201	5.1873	4.9815	7.9253	9.6134	10.0835	9.1891	9.4687	6.0724	5.3002	6.8346	9.9827	8.9621	3.9671	11.5767	7.1275	18.9827	7.5263	9.9098	5.294	5.3961	4.7787	4.8496	5.829	6.7115	5.5791	5.329	6.4976	5.9676	6.3404	11.3866	8.8025	7.146
CE[FA18:4]	0.9626	0.9941	1.033	0.8081	1.0863	1.334	1.0395	0.3869	0.6717	0.7046	0.2318	0.6807	0.4394	0.8337	1.1207	1.1695	0.7416	0.8221	0.8798	0.4923	0.4203	0.8827	1.147	1.0257	0.633	2.8036	0.8341	0.4371	0.6327	0.7605	0.8705	1.3492	0.8739	1.0417	0.4619	1.4736	1.8122	1.8615	0.985	1.139	2.9084	1.197	0.7874	0.612	0.8165	0.4391	0.5375	0.4201	0.4821	1.0232	1.0452	1.1601	0.74	1.2892	1.0637	3.9617	2.563	1.151	0.4725
HCER[FA24:0]	0.3282	0.9135	0.5306	0.7597	0.8109999999999999	0.78	1.0039	0.6237	0.4579	0.8829	0.6654	0.6234	0.6577	0.8254	0.6682	0.6807	0.6403	0.6907	0.4273	0.7573	0.7433	0.6771	0.7357	0.9021	0.9308	0.6892	1.3701	0.9312	0.7705	0.7042	0.7748	1.2612	1.1728	1.073	1.1085	0.5232	0.5392	1.0624	1.1027	0.8959	1.1448	0.4672	1.3064	1.1432	0.3909	0.374	0.4115	0.3298	0.3869	1.1471	1.2266	0.7838	0.6512	0.6581	0.4378	0.4645	0.6421	0.4929	0.8236
PC[FA22:5]	19.0935	35.2409	21.949	22.5227	22.9559	24.7863	29.7951	13.3528	22.0739	24.8303	19.1254	24.5169	24.77	34.0408	58.1677	56.7114	37.9615	35.6526	21.0727	18.4915	18.6399	40.1981	33.2254	24.5349	25.0108	36.6338	37.2869	27.7072	32.0607	33.3094	31.5435	34.3962	35.0899	23.116	17.4866	15.2487	17.9036	28.9884	26.2827	21.8819	34.4821	32.3975	31.6309	22.0797	39.5133	20.9177	25.3879	12.6553	11.0845	29.1931	28.5201	21.8462	23.8183	40.9846	35.8763	33.8282	40.6795	27.9625	15.6236
CER[FA22:1]	0.0403	0.0566	0.0326	0.0356	0.0415	0.0402	0.0482	0.0286	0.0299	0.0559	0.0344	0.0394	0.0563	0.0519	0.0441	0.0486	0.0558	0.051	0.0464	0.0418	0.0393	0.0609	0.055	0.0553	0.0546	0.0414	0.0595	0.0372	0.0437	0.0356	0.0483	0.046	0.0576	0.0482	0.041	0.0262	0.0372	0.0549	0.055	0.0416	0.0892	0.0427	0.0758	0.0465	0.0551	0.0365	0.042	0.0324	0.0367	0.0484	0.0519	0.0326	0.031	0.0585	0.0564	0.0485	0.0499	0.057	0.0491
PC[FA20:4]	309.0561	483.9367	322.7283	210.6891	218.7679	227.3433	314.6051	187.0965	266.6806	199.3579	295.096	214.4817	371.9143	446.899	602.8684	481.1156	557.98	382.6856	280.2559	222.0927	229.8339	404.7049	372.7454	221.176	246.0797	509.2398	352.7512	254.1622	306.3992	539.6931	622.7419	446.0630000000001	462.2444	219.8609	186.913	164.9264	189.2443	443.2103	366.5439	414.375	375.3333	419.1608	444.386	294.0681	541.5113	342.0915	373.8894	290.7623	252.9372	300.515	312.7122	362.0052	343.2278	459.2862	406.7585	339.6265	373.8272	396.6978	249.8491
HCER[FA22:1]	0.03	0.0574	0.0362	0.0571	0.067	0.062	0.0591	0.0366	0.0485	0.0669	0.0464	0.0424	0.0526	0.0605	0.0495	0.0435	0.0467	0.0463	0.0382	0.0491	0.0474	0.0566	0.0598	0.0611	0.0481	0.0625	0.0876	0.0606	0.0562	0.0455	0.0541	0.0844	0.0778	0.0629	0.0508	0.0396	0.0441	0.0842	0.0902	0.0365	0.1105	0.0449	0.1261	0.0611	0.0459	0.037000000000000005	0.0452	0.0316	0.0285	0.0661	0.0821	0.0344	0.0401	0.0572	0.0389	0.0371	0.0461	0.0511	0.0668
CER[FA20:0]	0.0895	0.1429	0.0921	0.097	0.1089	0.0738	0.1059	0.0608	0.0642	0.1072	0.0656	0.0643	0.1247	0.1535	0.1037	0.0897	0.0882	0.1282	0.1331	0.106	0.0996	0.1313	0.1057	0.134	0.1455	0.0898	0.1309	0.0914	0.0961	0.1048	0.1122	0.1108	0.1219	0.0969	0.0856	0.0585	0.0692	0.0856	0.1053	0.0877	0.1416	0.1534	0.1343	0.0963	0.1213	0.1325	0.1108	0.0881	0.0863	0.1517	0.1736	0.0596	0.0707	0.1511	0.1405	0.1273	0.1138	0.1108	0.1076
TAG[FA17:0]	14.4999	53.0362	18.618	11.4076	11.598	8.7627	7.1941	5.6333	12.5775	16.6764	8.8514	7.4192	11.7543	8.5791	23.3562	19.5996	13.9019	12.6107	25.0878	4.5865	7.709	21.5187	17.8921	24.5223	17.2466	13.9429	28.7517	15.8995	31.0564	18.0599	17.6895	20.6048	11.1751	26.2521	11.711	6.4378	7.6727	4.5337	5.8873	4.8287	43.2823	32.1145	8.4474	5.5374	15.991	12.9108	14.4506	8.862	7.7748	11.71	12.6324	7.9301	4.481	30.9311	21.0121	34.7573	20.0456	6.2708	10.9525
Total[FA20:5]	103.5649	81.067	283.2546	33.1333	38.7006	142.7173	133.7357	75.3091	97.9882	30.8167	36.6569	78.57	48.9256	61.4415	136.7388	350.0938	62.0736	63.8629	121.8409	34.29	27.4905	62.5823	62.5344	30.8347	27.3635	122.5904	50.2274	40.9338	53.0637	66.0944	67.4669	59.8076	55.2088	251.3724	213.9892	34.9625	33.4184	159.2749	99.4896	57.6943	113.5172	85.0915	63.5569	59.667	67.3236	51.9003	55.8341	52.8785	53.0237	53.0535	54.8369	47.9885	44.81100000000001	59.62	151.4128	208.6568	122.9879	91.7849	37.3416
FFA[FA22:1]	13.2227	9.8998	6.8828	14.3288	12.8467	13.8087	11.2746	14.0659	11.4281	7.8074	14.0835	13.0167	10.401	11.8973	10.1311	11.0072	15.1381	13.5023	13.7862	16.4731	11.7485	8.3902	10.3982	13.0155	16.9993	12.2986	10.9107	18.2398	11.9471	9.1745	11.188	11.1864	11.3312	10.6949	12.119000000000002	12.3667	11.1858	9.3456	8.8392	15.13	6.4045	13.1454	9.0775	8.9124	14.1732	14.4667	13.0571	10.8481	9.0162	12.3305	12.1094	13.559	15.4822	12.8465	6.5336	9.5841	13.8767	14.0879	14.1592
MAG[FA18:2]	0.0967	0.1596	0.1823	0.0896	0.0538	0.0819	0.1166	0.1331	0.2047	0.0698	0.1883	0.1864	0.1365	0.105	0.1182	0.1475	0.099	0.096	0.1492	0.0857	0.0944	0.142	0.0904	0.1624	0.2711	0.1078	0.1076	0.1985	0.1967	0.123	0.0939	0.0699	0.0681	0.1555	0.103	0.0668	0.0666	0.0564	0.0664	0.0681	0.1637	0.0642	0.0917	0.0604	0.1274	0.0617	0.1049	0.0675	0.0828	0.065	0.0815	0.0412	0.0593	0.1519	0.1883	0.1654	0.0952	0.0755	0.0984
HCER[FA22:0]	0.2455	0.6976	0.3657	0.5189	0.5176	0.5045	0.6564	0.4408	0.3468	0.6131	0.4472	0.4297	0.467	0.5252	0.4676	0.5049	0.5523	0.6494	0.3158	0.6049	0.6513	0.5251	0.5553	0.6	0.6478	0.4671	0.9333	0.6578	0.6077	0.4934	0.5703	0.8540000000000001	0.7952	0.7454	0.9389	0.4174	0.3913	0.7262	0.7184	0.6567	0.8603	0.3131	1.0002	0.9415	0.2715	0.2966	0.2836	0.2427	0.3054	0.8671	1.0238	0.718	0.5288	0.4457	0.2954	0.3289	0.4371	0.3574	0.6656
MAG[FA18:1]	0.1765	0.2614	0.2213	0.1067	0.0688	0.1122	0.1354	0.1056	0.28800000000000003	0.0972	0.2216	0.3083	0.1491	0.1176	0.2412	0.2481	0.1737	0.1346	0.2317	0.1059	0.1591	0.1551	0.1233	0.2489	0.4058	0.2174	0.29600000000000004	0.2566	0.3711	0.221	0.2829	0.092	0.1097	0.2559	0.2184	0.0909	0.0638	0.068	0.1002	0.0923	0.3054	0.14	0.1517	0.0688	0.2146	0.0888	0.1704	0.0766	0.1017	0.1185	0.1532	0.0594	0.065	0.1598	0.4219	0.247	0.1985	0.1255	0.1512
MAG[FA18:3]	0.0488	0.1105	0.0689	0.08800000000000001	0.0659	0.0941	0.1257	0.0763	0.0902	0.1077	0.0795	0.0837	0.07	0.0914	0.0897	0.1138	0.1117	0.1398	0.0994	0.0891	0.1057	0.1078	0.0904	0.107	0.1332	0.1072	0.1048	0.0799	0.115	0.0746	0.086	0.1036	0.09	0.0977	0.0681	0.0714	0.0984	0.1199	0.099	0.0831	0.0917	0.0778	0.1447	0.1319	0.0792	0.0658	0.0804	0.0748	0.0774	0.0888	0.0866	0.0938	0.0724	0.1013	0.0782	0.1138	0.1023	0.0851	0.101
TAG[FA20:1]	9.8733	21.793000000000006	13.4218	9.1529	7.7641	5.4076	4.8678	5.9258	7.5962	10.9494	7.0479	5.6007	9.084	7.2941	20.3858	15.0585	7.4233	6.7437	19.3626	7.432	8.3917	14.0916	11.4779	13.1498	15.4777	8.1716	15.62	10.8225	24.524	9.4773	9.66	8.299	4.9006	14.2204	23.5851	3.1489	3.6491	2.2771	2.324	3.9375	16.344	17.2666	3.9867	3.579	8.7112	8.7676	10.0085	6.1421	3.6933	6.9013	7.3859	5.3095	2.9072	16.0211	11.847	13.8964	10.7417	4.0905	9.4725
FFA[FA20:0]	10.4949	11.1948	10.0183	11.5681	9.9715	9.4712	12.2825	13.1841	12.6839	9.206	12.0972	10.4238	11.8466	10.2858	10.8542	11.2544	15.2975	13.6445	10.4313	17.2852	12.8983	13.2274	14.1905	9.6731	9.8759	10.9311	13.5736	13.995	14.2302	11.1678	11.7246	9.7048	10.0655	14.3885	13.0407	12.1988	10.675999999999998	10.1443	10.8528	15.6906	9.4489	9.3288	11.1559	10.2276	11.3403	8.5171	11.1374	19.2005	12.6114	10.3628	9.4674	12.7275	11.1255	12.3632	10.254	11.4627	11.7021	10.4378	11.6734
SM[FA18:0]	18.5371	32.3109	22.9766	38.7617	38.0725	32.1171	38.9009	19.3305	25.4127	30.5015	22.3174	19.9356	28.3457	30.4683	35.4175	34.2582	25.0021	25.1647	26.735	27.9592	27.1702	28.5222	26.4007	24.8957	25.747	33.2227	42.6629	24.5331	20.6557	27.2634	31.4568	38.6787	44.6607	31.5293	24.9972	22.7649	25.0049	46.316	47.2004	26.5826	45.6337	35.313	70.0641	33.0686	37.6592	34.9472	32.183	23.8087	24.9101	38.6974	39.4058	22.6653	24.5294	26.8338	46.6663	32.3162	42.9159	40.1	24.075
TAG[FA22:6]	34.9407	28.98	110.1356	12.0503	13.2833	23.5787	28.4089	23.2795	35.4921	9.4192	11.8248	22.9539	14.1322	17.436	49.6824	67.5568	8.3683	9.0594	95.4813	5.3787	6.545	25.6063	20.2542	11.1787	10.6153	33.1133	22.914	24.4839	34.9445	17.3567	18.1404	11.6092	11.3974	74.587	73.4315	7.2184	6.5965	20.4493	21.2791	6.7504	40.5241	24.8529	16.8039	10.9409	21.3852	16.6553	16.2337	24.346	22.4433	12.8465	15.5382	8.052999999999999	8.9655	27.0974	82.8403	63.6345	21.0189	15.3947	9.8387
Total[FA24:0]	25.6069	45.7028	26.6144	32.8672	32.3015	35.1293	45.6647	21.3325	24.4451	34.1986	24.6197	23.9014	27.6034	27.0614	39.5358	39.1569	39.1916	46.3339	28.8069	41.3026	41.2121	33.2476	37.105	34.0715	35.3452	39.2638	34.3953	32.0301	32.0128	31.6899	38.4408	35.54400000000001	35.2919	39.5494	41.577	35.8676	35.8413	45.4328	42.8787	34.7228	35.5917	24.6399	43.0886	42.25100000000001	37.8332	22.8164	20.0764	29.7192	28.4523	32.3856	35.2736	40.3215	32.7734	32.4415	27.2097	34.2731	46.9172	46.5914	30.6224
FFA[FA18:1]	87.7654	103.836	83.429	45.2995	54.0065	68.7573	155.2092	53.793	114.5792	61.6368	174.8186	77.6096	195.5268	163.2527	112.4237	50.0645	204.1494	170.2649	37.6009	303.5774	233.5377	85.9724	109.2633	135.8197	121.3692	201.0762	248.5167	192.8253	109.6623	143.6753	170.3799	148.9462	176.5496	76.5222	63.9399	63.1945	58.8131	68.9852	66.6363	217.3803	116.1426	87.51	177.1624	53.6429	34.3611	34.7261	68.0781	92.2272	56.7628	170.6991	129.2788	67.342	209.7905	120.7357	139.5943	56.8606	147.997	195.844	77.5435
CE[FA14:1]	0.5831	0.8276	0.3616	0.9096	0.9705	1.3134	0.7953	0.4517	0.7292	1.8462	0.4529	0.951	0.5354	0.5945	0.8148	0.6023	1.1722	1.4304	1.4929	0.7979999999999999	0.7708	1.1781	1.6254	2.4633	1.1648	1.8101	1.0502	0.8851	1.08	1.2816	1.3481	1.7080000000000002	1.8024	0.6824	0.3132	1.2833	1.7155	1.5922	1.1807	0.9688	2.6026	1.0239	1.3848	0.7572	1.3026	0.3702	0.4192	0.4148	0.3546	1.0458	1.3034	0.7288	0.5391	1.5282	0.7516	1.0842	3.5173	2.1442	0.5962
DCER[FA22:0]	0.1231	0.2467	0.1074	0.1888	0.1223	0.1316	0.127	0.1465	0.1132	0.1992	0.0871	0.0729	0.163	0.1663	0.1877	0.1717	0.1574	0.2885	0.1955	0.1811	0.1602	0.1582	0.1794	0.142	0.1223	0.1101	0.1855	0.1257	0.2151	0.1634	0.1995	0.1562	0.1236	0.1224	0.1891	0.1625	0.1638	0.1546	0.1597	0.1357	0.2696	0.142	0.1253	0.2099	0.135	0.108	0.0878	0.1256	0.1136	0.17600000000000002	0.1311	0.1457	0.1606	0.2169	0.1669	0.2185	0.1642	0.141	0.1236
TAG[FA20:5]	23.4519	16.6946	73.4057	3.4891	3.4066	20.3612	12.9168	6.3257	9.9434	2.6694	3.3379	5.6478	7.8852	12.6937	23.3925	35.772	5.7382	5.5215	17.7939	1.293	1.5969	8.5311	8.8119	3.7077	2.878	14.0368	6.9202	7.1559	15.8239	7.4629	8.5579	5.1493	4.2292	53.5751	51.9441	3.2126	3.6733	8.0901	5.6027	5.0789	27.2948	15.3668	4.4538	4.7006	8.583	7.1969	9.0898	7.3562	7.0079	5.0251	5.6127	4.0144	3.5073	10.7447	33.3123	71.2149	12.6885	7.3357	3.8069
LCER[FA16:0]	1.1598	3.9614	2.9257	3.1133	4.0723	3.0544	3.5546	3.0421	3.3216	3.273	2.7747	2.7118	2.712	2.9666	2.3796	2.4495	3.4051	3.4758	1.8745	4.7955	4.5842	3.4502	4.4049	3.0079	3.434	4.3295	3.9023	3.6922	3.5726	1.8405	2.5562	4.8332	3.6034	5.6223	4.2123	3.8683	2.9525	4.9749	4.9323	3.0419	4.5143	2.2275	4.8396	4.0857	3.3286	2.5938	2.1307	2.4244	2.117	5.8763	6.9056	4.3279	4.5535	2.2673	2.3591	2.1457	4.0738	4.4967	4.0232
PE[FA20:4]	61.2715	94.1924	59.1519	55.7927	54.0437	51.0151	71.343	49.4724	50.6027	52.8324	48.5272	36.0043	58.7785	57.2097	68.7725	56.2006	124.8482	112.355	84.5234	57.8826	45.4387	61.9648	79.7975	52.349	67.1194	60.1586	68.9051	46.8157	71.6631	82.2175	107.2275	89.6649	94.428	45.8623	52.2847	40.6066	48.7701	79.4162	74.4728	79.5752	80.0902	92.3388	86.4839	65.0974	102.174	64.6753	63.5545	43.7609	56.3494	54.0235	83.8035	65.8087	90.6286	105.7492	64.7666	69.7213	75.4081	61.002	71.4075
Total[FA12:0]	33.4868	46.9633	29.7688	69.6745	132.045	19.8181	12.5487	9.1985	58.8486	21.8691	15.9038	15.7891	15.8682	11.5626	20.3983	15.1126	24.6447	33.6724	114.9116	18.7556	21.2272	120.8934	22.141	67.1511	22.1325	14.3152	27.6322	146.7192	462.9202	17.2323	14.300999999999998	46.4348	46.5661	143.6176	64.0171	13.9716	15.1838	13.1376	11.7429	13.6406	63.7046	26.5769	26.6705	10.9528	21.6793	11.071	34.673	12.4431	15.2254	15.7785	16.2029	16.5626	11.1132	43.6697	21.0659	34.0244	29.1959	17.4294	14.858
FFA[FA20:4]	5.2589	4.586	5.8020000000000005	3.4316	3.8299	4.9179	7.0245	5.1966	5.5738	3.7662	6.0224	5.4236	6.2691	6.1034	5.1644	4.7787	7.3331	5.8535	4.4172	6.1343	5.2044	4.3939	5.0358	3.7473	4.1145	7.9228	4.2995	7.0472	4.2492	5.2907	6.1452	5.0742	5.931	4.6572	4.0942	3.8361	3.9846	5.0585	4.7093	6.4668	5.1253	4.2039	6.853	4.0621	5.1656	3.6021	4.1517	5.1361	5.2309	5.8349	5.1602	4.1919	6.315	6.0063	6.0522	4.9553	6.507999999999999	7.7047	5.4147
LPC[FA20:4]	2.7166	3.912	2.6962	1.399	1.368	1.205	1.5184	1.6174	1.4678	1.0214	2.3516	2.7485	2.6454	3.7622	3.2732	2.9687	3.5989	2.3103	3.4156	1.6184	1.117	3.1604	2.7957	0.9655	1.2095	3.2203	2.0394	1.9521	1.8336	4.1948	4.6248	3.0353	2.1631	1.5694	2.0304	1.2216	1.2246	2.8107	2.4613	3.006	2.8207	3.8543	2.4059	1.689	2.4286	2.2734	2.3363	1.7264	2.2699	1.6294	1.706	2.7627	3.3413	3.4115	2.4701	2.4552	3.7699	2.7385	3.0843
CE[FA15:0]	3.0429	7.4896	4.1872	4.405	5.0772	5.437	5.8168	5.5885	7.1591	6.5846	4.9969	6.3853	4.4035	4.1974	5.0087	5.4155	6.6158	7.6556	6.5934	4.7112	5.4194	7.0937	8.9301	9.0795	7.4339	7.6702	8.1324	4.384	4.4047	9.2252	10.8915	11.3838	11.6762	7.8074	4.9524	4.2146	4.9786	8.8662	8.062999999999999	3.4671	11.3973	7.4292	16.3923	7.191	10.2388	4.6944	4.8187	4.7327	4.1311	6.3155	6.4924	6.6463	5.3627	5.4906	6.497000000000001	7.3106	12.7064	9.167	4.932
FFA[FA20:3]	2.2905	1.7966	2.1337	1.506	1.909	2.0788	2.775	2.3793	2.6733	1.8031	2.3346	2.1761	2.4301	2.6652	1.9654	1.6824	2.6841	2.2651	1.6753	2.6918	2.2009	1.6136	2.1995	1.8989	1.8563	3.0573	2.2802	3.1817	1.6716	2.2482	2.4969	2.2553	2.5909	1.8258	1.7358	2.1344	1.9766	1.8805	1.7372	2.8302	2.1368	1.8075	2.5636	1.7216	1.8206	1.5095	1.7015	2.154	2.0492	2.8071	2.5329	1.5869	2.5072	2.5704	2.312	1.9383	2.6747	3.1479	2.0795
LCER[FA24:0]	0.0946	0.225	0.1478	0.1609	0.2136	0.2026	0.2629	0.1395	0.1681	0.1638	0.0942	0.0795	0.1615	0.1617	0.1746	0.1691	0.2176	0.3146	0.1212	0.2771	0.2031	0.1652	0.2524	0.1685	0.1931	0.2023	0.2004	0.1988	0.2122	0.1273	0.162	0.2734	0.2934	0.2169	0.2162	0.2425	0.2314	0.2895	0.2469	0.2668	0.1966	0.1325	0.2494	0.3315	0.1438	0.1378	0.1246	0.161	0.1502	0.1929	0.2727	0.2243	0.1866	0.1549	0.1116	0.1415	0.207	0.2337	0.2687
LPC[FA18:0]	19.2506	29.4389	21.9856	32.6842	36.1521	20.9156	21.619	19.4769	21.6292	29.9108	17.6738	24.0571	17.7616	29.8744	42.1925	39.9693	25.5283	27.1391	29.4593	23.0337	24.4507	34.7244	29.8878	29.3375	29.3116	25.2235	39.3074	24.8961	25.5061	25.8436	26.6348	37.095	22.3433	21.9989	25.9643	22.2448	22.2112	28.3369	23.6974	22.6489	40.1271	35.1124	28.7201	23.2446	19.5232	15.7488	19.531	15.2465	25.1687	25.6224	33.0304	29.6183	28.6226	36.1988	26.7891	38.9899	27.7151	16.9806	33.6257
PC[FA20:5]	35.0051	25.1493	105.7056	11.2258	14.8308	60.4652	47.804	21.285	33.3603	9.4273	9.3187	26.4794	17.2601	19.9885	52.0157	120.8564	23.6958	22.895	33.1148	9.5861	6.3882	23.9766	22.9175	10.2353	7.7008	44.1634	19.5208	11.46	15.2336	26.0705	22.3439	21.0492	20.5072	84.2871	63.5283	10.1483	10.4164	66.9361	33.563	23.2325	40.1538	31.9807	18.9613	21.4243	21.3049	17.2959	18.5579	16.6266	15.2547	17.475	17.258	19.8388	19.2421	21.836	53.8883	68.9462	46.0732	34.2129	9.924
Total[FA16:0]	2732.172	4592.57	2842.536	3125.59	2980.062	2857.862	2972.048	2004.505	2756.6420000000007	3206.203	2432.362	2201.451	2785.078	2854.23	4365.184	3701.681	3001.152	2957.802	3255.488	2786.808	3072.899000000001	3966.132	4136.675	4047.834	3667.201	3945.9	4452.478	3591.1040000000007	5152.064	3326.441	3686.531	3592.651	3207.813	3369.213	2837.598	2272.955	2481.512	3224.183	2864.357	2764.621	4599.839	3611.358	3489.671	2466.958	3013.879000000001	2515.788	2681.901	2219.782	1939.947	3036.808	3097.476	2755.12	2572.534	4805.8290000000015	3573.645	4524.335999999998	4105.918	2898.026	2597.647
CE[FA14:0]	13.9625	22.1034	11.130999999999998	26.8872	28.5499	23.5674	20.4709	13.4522	24.2397	27.5525	10.6472	21.1567	12.6878	13.9137	23.3675	18.3878	18.7279	25.749	37.6036	15.9291	16.2374	26.048	32.6716	40.6986	27.4979	30.7989	26.9884	21.1305	23.406	29.1124	26.0479	41.0955	48.4501	18.0014	8.9217	15.0425	18.8667	31.9753	22.001	17.9912	39.2587	24.7874	40.2036	17.9503	34.8018	11.2053	13.7651	12.1059	10.6	21.2162	28.1328	21.0753	15.0931	25.8918	19.0203	27.964	47.0041	33.3876	11.7769
SM[FA20:0]	29.6954	61.7476	28.6101	55.3541	51.3036	31.7309	38.0751	21.2292	30.7557	48.1549	24.3799	26.9199	38.7764	44.1835	55.6275	54.8956	36.5176	50.224	44.5627	59.0865	72.7997	50.8819	58.0363	55.4023	59.6158	36.6452	68.3033	37.0038	39.8622	52.6008	56.8607	61.3299	55.0791	52.3983	48.7555	41.3166	42.0003	66.2485	55.1986	36.5315	67.8799	47.4333	63.0159	54.9712	42.9128	34.2044	31.3339	29.7735	28.5568	46.7667	46.8709	53.0572	41.4317	48.345	45.6805	60.0047	60.7638	47.8382	28.8213
DAG[FA20:2]	0.21600000000000005	0.4129	0.1745	0.1687	0.2636	0.1963	0.2254	0.1532	0.2787	0.1957	0.1262	0.1085	0.2059	0.194	0.3992	0.2924	0.1766	0.1297	0.4027	0.1331	0.2287	0.2116	0.2223	0.2135	0.2259	0.3023	0.4645	0.2297	0.2777	0.4424	0.4359	0.2339	0.2418	0.2461	0.1007	0.1081	0.1274	0.1287	0.1192	0.1198	0.2897	0.4461	0.1224	0.1072	0.1947	0.2621	0.2122	0.1275	0.1299	0.2212	0.2226	0.13	0.111	0.4083	0.2731	0.2538	0.2319	0.1152	0.1958
FFA[FA24:1]	6.4694	5.181	3.6952	7.1051	7.124	6.5765	5.6145	7.082999999999998	5.5389	4.4949	6.0947	6.9927	5.356	6.5085	5.2882	6.0263	6.9888	5.8043	7.4279	7.6431	5.8937	4.2521	5.8003	6.3467	8.2748	5.6214	5.3345	8.0987	6.7602	4.4721	5.6939	5.6383	5.5869	5.7127	6.235	7.0591	5.9255	5.2126	4.9182	6.6475	3.8346	7.255	4.878	4.9063	6.3448	7.4487	7.2707	6.7033	4.828	5.9259	6.4033	7.7107	7.3002	6.468	3.6948	5.7936	6.4549	6.1152	7.1616
