	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
LPC[FA16:0]	59.6809	89.4255	68.2228	76.8461	75.9949	56.1337	50.5793	53.865	61.532	84.5858	60.0236	72.4946	50.1847	74.2326	102.6545	89.7612	64.3631	59.8157	82.321	61.466	67.4956	93.039	91.6837	70.1089	84.6074	95.8572	98.8603	71.9439	80.0085	72.0528	71.9664	89.9089	59.6152	61.5932	72.5371	60.6838	61.1615	86.6075	71.6003	65.0774	108.8954	82.2309	80.6179	58.1015	51.3849	58.4597	68.4275	44.2813	55.1032	63.8996	82.7373	75.4535	81.0864	101.4163	83.5274	115.3715	110.0966	64.5735	98.3563
LPC[FA17:0]	0.4947	0.8909	0.805	0.4141	0.7015	0.5437	0.4226	0.5207	0.7798	0.6076	0.6308	0.713	0.4664	0.5989	0.792	0.8943	0.6857	0.6203	0.8873	0.5462	0.5386	0.9612	0.7567	0.7287	0.9222	0.5877	0.8404	0.4946	0.4697	0.8189	0.7906	1.0623	0.6023	0.6122	0.6563	0.614	0.5502	0.7965	0.6342	0.3611	1.181	0.9062	1.1236	0.6802	0.5321	0.5965	0.623	0.5561	0.7136	0.5708	0.5746	0.7143	0.7947	0.6806	0.675	0.9111	0.8624	0.5656	0.9704
SM[FA24:0]	20.5123	37.5516	21.9539	27.3193	26.9602	28.8193	38.0703	15.5866	18.9323	28.288	19.1199	18.1679	21.489	20.543000000000006	31.353	31.0779	32.2243	38.7207	22.0593	31.9072	33.556999999999995	26.351	28.9024	27.1812	28.1548	31.7933	28.0115	24.6748	24.2613	25.4185	30.4753	28.6718	29.1986	30.9248	31.3761	29.6068	30.1674	37.7608	35.4017	27.7998	28.9941	19.4214	35.8797	34.8469	32.1899	18.217	15.2765	24.2596	23.2633	26.1154	28.2288	33.3786	27.0044	24.416	22.1552	26.9745	39.9167	39.804	22.6831
TAG[FA20:4]	79.7678	114.0786	94.853	29.3432	29.1289	44.4036	35.8087	26.6996	40.1894	30.541	33.7631	23.0489	55.4105	59.3224	95.6522	57.4997	50.7905	46.1527	63.4955	17.1516	23.0325	74.3601	67.7998	46.721	40.4378	63.6937	62.2891	67.4197	110.7527	56.6782	68.9622	49.3266	42.2616	56.0816	44.0494	31.7129	35.9883	34.5804	35.1363	37.6347	139.2586	80.2235	43.1761	28.6912	74.5143	62.1726	59.1428	47.5641	41.7057	39.25	41.7377	33.2427	30.8358	117.8584	77.3628	123.8769	53.6232	33.0921	34.3096
DAG[FA20:3]	0.5489999999999999	1.0235	0.6378	0.2883	0.3468	0.3426	0.35600000000000004	0.1942	0.4579	0.2263	0.2831	0.203	0.4824	0.4284	0.9183	0.52	0.5525	0.4048	0.5513	0.249	0.3039	0.5228	0.6902	0.4662	0.4433	0.6769	0.8392	0.5773	0.9606	1.0696	0.9273	0.3876	0.4924	0.3232	0.1413	0.239	0.2621	0.1844	0.1635	0.4033	0.9995	1.0997	0.2666	0.2144	0.5877	0.5516	0.5751	0.3298	0.3391	0.4081	0.4538	0.3095	0.2748	0.922	0.7388	0.7106	0.5775	0.3424	0.2603
LPC[FA22:6]	0.4362	0.3841	0.4754	0.4302	0.3269	0.2462	0.2543	0.3547	0.3846	0.1861	0.3049	0.6497	0.2273	0.2868	0.594	0.6865	0.3496	0.2089	0.9627	0.1618	0.1865	0.4806	0.4198	0.06825	0.06825	0.3789	0.2994	0.4289	0.3415	0.5051	0.424	0.3604	0.3048	0.4848	0.5157	0.1589	0.1365	0.4863	0.5153	0.254	0.5438	0.4546	0.3206	0.1906	0.2174	0.2551	0.1963	0.2134	0.3261	0.1858	0.2299	0.257	0.36	0.2479	0.6008	0.7219	0.616	0.3274	0.3337
MAG[FA15:0]	0.1099	0.1307	0.1399	0.0906	0.0693	0.1738	0.243	0.1269	0.1786	0.1287	0.1439	0.1393	0.1265	0.1084	0.1166	0.1603	0.1314	0.1959	0.1013	0.1204	0.1029	0.1683	0.1733	0.1352	0.1561	0.1324	0.1065	0.1515	0.2307	0.1056	0.08900000000000001	0.1	0.1373	0.0895	0.0984	0.08	0.1092	0.1354	0.1384	0.1684	0.1298	0.0931	0.1121	0.1143	0.1153	0.0861	0.0933	0.2644	0.1595	0.0927	0.101	0.1056	0.0847	0.3474	0.1106	0.1192	0.1564	0.1203	0.124
CER[FA18:0]	0.0792	0.1359	0.0789	0.1144	0.1241	0.0928	0.1279	0.0544	0.06	0.111	0.0742	0.0632	0.1091	0.1326	0.1068	0.1052	0.0935	0.0915	0.1019	0.0463	0.06	0.1422	0.1111	0.1076	0.106	0.118	0.1854	0.0919	0.0941	0.0722	0.1051	0.1232	0.1434	0.1172	0.0712	0.0426	0.0699	0.0957	0.16699999999999998	0.0827	0.1312	0.1406	0.1959	0.0687	0.1287	0.1333	0.1266	0.0922	0.0867	0.2019	0.1924	0.0455	0.0528	0.1349	0.1952	0.1152	0.1222	0.127	0.1007
LCER[FA18:1]	0.2526	0.2597	0.287	0.2234	0.1896	0.251	0.256	0.2156	0.2135	0.3386	0.2343	0.2801	0.2567	0.2441	0.2672	0.2356	0.2856	0.2745	0.2081	0.258	0.2574	0.2535	0.2916	0.3406	0.3532	0.2321	0.2349	0.2852	0.3779	0.24	0.249	0.3106	0.2683	0.2827	0.304	0.2533	0.2488	0.3174	0.324	0.2908	0.3047	0.2183	0.3062	0.2904	0.29600000000000004	0.2823	0.211	0.2324	0.2412	0.2535	0.2751	0.2539	0.2275	0.1926	0.2897	0.2449	0.3007	0.3177	0.2397
PI[FA18:1]	4.9613	8.1803	4.1548	6.0179	6.5084	10.0629	4.6937	7.697999999999999	7.5839	12.5504	3.6928	5.5191	6.1241	6.2036	7.2725	5.7922	11.9979	8.7757	5.3294	13.5346	11.1625	7.8312	10.8215	10.009	9.0239	6.9994	10.9707	8.0516	11.5966	6.3866	6.3905	9.6774	7.0166	6.8444	6.8006	11.7853	11.6109	7.9877	5.2027	7.6169	11.2701	5.3754	9.5834	11.4262	3.0816	3.5064	3.4938	4.2547	4.6592	6.5839	8.3008	14.287	9.5645	9.5817	6.9493	11.8655	8.8164	6.022	8.3252
