chemID	r_mean	l_mean	m_mean	h_mean	monotonic_status
100000257	0.9825379310344827	1.1207875	1.2366525	1.6003	up
1114	1.2196070175438596	1.0632625	0.9764125	0.8653545454545455	down
100001987	2.142157894736842	1.93270625	1.320325641025641	1.0366	down
100006438	1.8936754385964913	1.59264375	1.1141157894736842	0.59614	down
100004208	1.220292857142857	1.117625	0.979785	0.8691545454545454	down
100020536	1.9354706896551723	1.7170764705882353	1.2262230769230769	1.029490909090909	down
250	1.2778736842105263	1.1162625	0.9300461538461539	0.8258090909090909	down
100020253	1.2341879310344828	1.0418	0.9574666666666667	0.86726	down
100001950	1.2651406779661016	1.01720625	0.93487	0.7766272727272727	down
100001624	1.5841928571428572	1.373925	1.192205	0.9214800000000001	down
100020578	1.6972775862068965	1.4447625	0.9816282051282051	0.91345	down
