chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
LPE[FA20:1]	0.432664155998918	0.454111465379244	0.249859942924405	0.756084087689848
HCER[FA18:0]	0.122872346636594	0.126419184606262	0.116743810148751	0.917627882576222
PC[FA14:0]	0.497296078530562	0.324673690584392	0.426118939975794	0.609033711512028
SM[FA22:1]	0.82851138773001	0.816607806097054	0.249547541092575	0.7553757957807
TAG[FA16:1]	0.583324631207893	0.823450070431179	0.245482648166861	0.734067888979399
TAG[FA18:1]	0.820762553340169	0.712339523245192	0.254525145693404	0.737355094372438
DAG[FA14:0]	0.46792463713063	0.237398469439213	0.223730114240397	0.704226002522353
PC[FA20:2]	0.979356723825791	0.714934694925033	0.332034260455641	0.68760746841383
LPC[FA20:1]	0.297321743094871	0.168855947044625	0.200175196211813	0.716814245838783
CE[FA24:1]	0.463267855065579	0.488616664762882	0.276564567979761	0.705229464324497
CE[FA24:0]	0.263781607021346	0.756761466827336	0.234357965085406	0.745306609554175
LCER[FA18:0]	0.784985556541925	0.523751933467901	0.199006783379897	0.773574128374317
CE[FA18:3]	0.917655758719641	0.563283653399063	0.342674161343881	0.702893785461248
LCER[FA22:1]	0.589557919199037	0.861439092837045	0.282654667137229	0.724013165881638
TAG[FA14:0]	0.643440756011555	0.459704785011873	0.234062475854152	0.699672219104073
PE[FA18:2]	0.934928096831032	0.897235792917817	0.283653083761795	0.712804917112444
LPC[FA16:0]	0.0530948032374062	0.013428732475782	0.146149207130835	0.676601810554731
LPC[FA17:0]	0.220909755333417	0.312220740728922	0.214398767479883	0.760074714641703
SM[FA24:0]	0.612929468331242	0.47833091002187	0.333845817136893	0.680295211781125
TAG[FA20:4]	0.528214876182329	0.770195313779386	0.239705284238124	0.727132482834211
DAG[FA20:3]	0.269769788028802	0.21095982577871	0.231371947236696	0.706991475108077
LPC[FA22:6]	0.102677800060232	0.161684192497909	0.276790454834932	0.819654900925942
MAG[FA15:0]	0.292490568028409	0.775269434149704	0.255618347703563	0.726335424244474
CER[FA18:0]	0.485401161895618	0.787298790249002	0.274297477775278	0.701670506465799
LCER[FA18:1]	0.953907450044885	0.892554459290444	0.254908090222439	0.719777343726505
PI[FA18:1]	0.25590819711163	0.144420130037828	0.431716662680957	0.882291612384738
FFA[FA24:0]	0.51834281476658	0.609342828370193	0.228431216486171	0.849474741490349
SM[FA14:0]	0.716555895544356	0.965259906573775	0.261163353539504	0.739183511957223
CE[FA18:2]	0.244933324595495	0.379604196861711	0.164283085729261	0.784479977643399
FFA[FA20:5]	0.99652934863508	0.517068931379602	0.255587882299227	0.700545980442555
LPE[FA20:4]	0.997673057972235	0.842967356110867	0.24845949320186	0.699697416044823
CE[FA17:0]	0.900232476109035	0.340277311160828	0.307695179959893	0.671277052971289
CE[FA18:4]	0.975520877955868	0.664531027981452	0.298200898141108	0.696644018141898
HCER[FA24:0]	0.435269941955433	0.493334362075552	0.206568906513948	0.813401951512862
