chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
LPE[FA20:1]	0.495904530160532	0.535444088420071	0.278050185895251	0.695186703191032
HCER[FA18:0]	0.119560506440357	0.127533209498239	0.131795692585837	0.860458484437848
PC[FA14:0]	0.501651872662262	0.341810999624355	0.453926605017386	0.566027822636957
SM[FA22:1]	0.818546159713572	0.815779001142144	0.273503581637018	0.702892469824619
TAG[FA16:1]	0.764291271898719	0.571319212630286	0.263004104367466	0.700846978741633
TAG[FA18:1]	0.70007009802943	0.541762325971053	0.282683176952091	0.696913426234981
DAG[FA14:0]	0.502031115479228	0.273819989441691	0.251328111775435	0.651394180434685
PC[FA20:2]	0.998498885606552	0.743410560202787	0.355743027935275	0.641059120784979
LPC[FA20:1]	0.25911958596909	0.133231879154233	0.216278409229979	0.667080777494382
CE[FA24:1]	0.45616567639659	0.510689310878458	0.301819249826903	0.655644799857164
CE[FA24:0]	0.28927055858089	0.791952347995027	0.262575669407223	0.688833605627734
LCER[FA18:0]	0.784839453776831	0.503449172046611	0.218243843555197	0.72096404694567
CE[FA18:3]	0.946973833960963	0.642103965816219	0.356649728236795	0.655933902862522
LCER[FA22:1]	0.50937372933875	0.743715271335697	0.325744154823008	0.674440667051015
TAG[FA14:0]	0.723382087278114	0.56131102138823	0.26394982613427	0.651019603635598
PE[FA18:2]	0.838116105902284	0.988469134170647	0.293088017417456	0.676630825111326
LPC[FA16:0]	0.0444066829464361	0.00930080237462042	0.158717138770548	0.624300443616307
LPC[FA17:0]	0.185683974984914	0.297137849560973	0.23141886800996	0.715622677368672
SM[FA24:0]	0.513774018181715	0.399916484301093	0.369889680264033	0.629722709049884
TAG[FA20:4]	0.581971733026799	0.861535766316235	0.270013255519119	0.672986985194697
DAG[FA20:3]	0.388240823288502	0.334325159450938	0.267645247906109	0.649820934874596
LPC[FA22:6]	0.0874020278023154	0.115029635785373	0.308781381538095	0.779284919975201
MAG[FA15:0]	0.255799731958975	0.715290842313403	0.282567004939691	0.676716061458917
CER[FA18:0]	0.536210339545017	0.860396343925578	0.295467108002557	0.65832783850275
LCER[FA18:1]	0.957013793121448	0.760174243314438	0.286831441066716	0.663927350584333
PI[FA18:1]	0.225165144584327	0.14338678920556	0.457661835013355	0.838092245149962
FFA[FA24:0]	0.444951917136861	0.549796270773094	0.247017799903635	0.82090154288312
SM[FA14:0]	0.69270932633216	0.94648175852699	0.284589049818025	0.692422084529538
CE[FA18:2]	0.269034766865161	0.407162535709403	0.190024439179138	0.722811784967283
FFA[FA20:5]	0.932205752617359	0.463478017383891	0.280071517405354	0.649460573901813
LPE[FA20:4]	0.918596643783325	0.736686830881544	0.273568558922982	0.630667131621676
CE[FA17:0]	0.909163040665075	0.329360398297687	0.340918258692591	0.618471343638012
CE[FA18:4]	0.989787695013944	0.752866274371054	0.314745377938462	0.653149441840865
HCER[FA24:0]	0.500983866798274	0.562374214757226	0.239737836568496	0.740979706166573
PC[FA22:5]	0.504348536136523	0.501180906027417	0.214853512238817	0.759279422272526
CER[FA22:1]	0.189247192119034	0.677606051619385	0.352163178974613	0.621128986420078
PC[FA20:4]	0.492354729648583	0.698497218949981	0.263970570668123	0.669865806658475
HCER[FA22:1]	0.363103936765231	0.342337922430523	0.190725705371325	0.776746019160662
CER[FA20:0]	0.834154566809071	0.787056369433608	0.261433956811572	0.714811246150958
TAG[FA17:0]	0.518777867751588	0.406850871066337	0.265474775813989	0.645276952117525
Total[FA20:5]	0.216374416157099	0.926874284909743	0.273549148169363	0.687590509669522
FFA[FA22:1]	0.361456276115612	0.752863736131704	0.269869222655211	0.653255912848627
MAG[FA18:2]	0.489054938253179	0.785629177569095	0.268352981277597	0.65224089512216
HCER[FA22:0]	0.312217446019145	0.426027869921124	0.226130891056289	0.724698897520719
MAG[FA18:1]	0.417662094082961	0.834402260932448	0.279691633921835	0.696906501867465
MAG[FA18:3]	0.472744245235064	0.656246885535949	0.359329784271395	0.640204303164723
TAG[FA20:1]	0.704661914224098	0.871005735509028	0.280215817857872	0.678792922819203
FFA[FA20:0]	0.487542171028981	0.711114412512239	0.261600215549064	0.698821462356084
SM[FA18:0]	0.661179270937776	0.582490334049732	0.227555592698543	0.739326963014494
TAG[FA22:6]	0.322054733526097	0.513834572676227	0.284148151450359	0.732731911643064
Total[FA24:0]	0.481372581586166	0.322423332754871	0.368379228665547	0.639872081439293
FFA[FA18:1]	0.832921685041534	0.61547458484113	0.260248731165438	0.705128415824013
CE[FA14:1]	0.145685586546296	0.0573317441888965	0.412322293185544	0.631181883657426
DCER[FA22:0]	0.20249254827491	0.0809803724985939	0.367906426758994	0.581434702137363
TAG[FA20:5]	0.188298466795098	0.450396180850271	0.305182292361345	0.726041161825196
LCER[FA16:0]	0.692779910334085	0.808191248918016	0.294508595453943	0.688582187460303
PE[FA20:4]	0.766609537480521	0.504152085071915	0.239221398600699	0.731593005565269
Total[FA12:0]	0.456106445578802	0.971392953832265	0.276114017223218	0.674382187909307
FFA[FA20:4]	0.789220172371987	0.991178996046433	0.274301807926043	0.672184363705554
LPC[FA20:4]	0.189361222103592	0.100837558025661	0.510425362430575	0.447514002872755
CE[FA15:0]	0.866387461580853	0.334321719774113	0.370704765776064	0.582853472075253
FFA[FA20:3]	0.98913257701461	0.970884790691271	0.273783544446274	0.670445877378201
LCER[FA24:0]	0.830060875048977	0.988466986329814	0.282936047550776	0.671633335917607
LPC[FA18:0]	0.171343216616678	0.0264755993029807	0.107347541228668	0.667088430040952
